id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_d4df25a7,Inm24,Zap,Desconocida,Ven,Dep,287.0,3.0,2.0,8500000.0,,-103.451651,20.567042,,3.5,2,29616.72473867596,01/04/2025,Zap|Desconocida|8500000.0|287.0|Dep
Sep25_ce8ef843,Inm24,Zap,Desconocida,Ven,Dep,51.0,2.0,,945000.0,,-103.259107,20.647437,154.0,1.0,1,18529.41176470588,01/04/2025,Zap|Desconocida|945000.0|51.0|Dep
Sep25_c79e9145,Inm24,Zap,Desconocida,Ven,Dep,81.0,2.0,1.0,2590000.0,,-103.308087,20.628414,,2.0,2,31975.30864197531,01/04/2025,Zap|Desconocida|2590000.0|81.0|Dep
Sep25_c05a8225,Inm24,Zap,Desconocida,Ven,Dep,46.0,1.0,1.0,3900000.0,,,,239.0,1.0,0,84782.60869565218,01/04/2025,Zap|Desconocida|3900000.0|46.0|Dep
Sep25_0af27ab4,Inm24,Zap,Desconocida,Ven,Dep,154.0,2.0,2.0,3990000.0,1500.0,-70.574743,-33.419908,86.0,2.0,0,25909.090909090908,01/04/2025,Zap|Desconocida|3990000.0|154.0|Dep
Sep25_ecd37397,Inm24,Zap,Desconocida,Ven,Dep,69.0,2.0,,2880679.0,,-70.574743,-33.419908,43.0,2.0,0,41748.97101449275,01/04/2025,Zap|Desconocida|2880679.0|69.0|Dep
Sep25_72636135,Inm24,Zap,Desconocida,Ven,Dep,92.0,3.0,1.0,950000.0,10.0,-103.463024,20.529015,31.0,3.0,10,10326.08695652174,01/04/2025,Zap|Desconocida|950000.0|92.0|Dep
Sep25_35a6394a,Inm24,Zap,Desconocida,Ven,Dep,140.0,2.0,1.0,10020276.0,,-77.050341,-11.83296,46.0,2.0,0,71573.4,01/04/2025,Zap|Desconocida|10020276.0|140.0|Dep
Sep25_174e9a36,Inm24,Zap,Desconocida,Ven,Dep,136.0,2.0,2.0,7500000.0,3500.0,,,,2.5,,55147.05882352941,01/04/2025,Zap|Desconocida|7500000.0|136.0|Dep
Sep25_e51f3782,Inm24,Zap,Desconocida,Ven,Dep,54.0,1.0,1.0,3697099.0,,,,,1.0,0,68464.79629629629,01/04/2025,Zap|Desconocida|3697099.0|54.0|Dep
Sep25_f50ae414,Inm24,Zap,Desconocida,Ven,Dep,72.0,2.0,1.0,1900000.0,650.0,-103.360545,20.60887,63.0,2.0,5,26388.88888888889,01/04/2025,Zap|Desconocida|1900000.0|72.0|Dep
Sep25_befcdc48,Inm24,Zap,Desconocida,Ven,Dep,105.0,2.0,2.0,6332316.0,,,,,2.0,0,60307.77142857143,01/04/2025,Zap|Desconocida|6332316.0|105.0|Dep
Sep25_5430bf85,Inm24,Zap,Desconocida,Ven,Dep,105.0,2.0,2.0,5500000.0,2400.0,,,73.0,2.0,0,52380.95238095238,01/04/2025,Zap|Desconocida|5500000.0|105.0|Dep
Sep25_079eb332,Inm24,Zap,Desconocida,Ven,Dep,95.0,3.0,2.0,3295000.0,,-103.437718,20.590447,,2.0,0,34684.21052631579,01/04/2025,Zap|Desconocida|3295000.0|95.0|Dep
Sep25_270f5762,Inm24,Zap,Desconocida,Ven,Dep,73.0,2.0,,3164696.0,1500.0,-103.406466,20.612393,328.0,2.0,0,43352.0,01/04/2025,Zap|Desconocida|3164696.0|73.0|Dep
Sep25_1b64b403,Inm24,Zap,Desconocida,Ven,Dep,80.0,2.0,1.0,1400000.0,,,,,1.0,12,17500.0,01/04/2025,Zap|Desconocida|1400000.0|80.0|Dep
Sep25_05518b8e,Inm24,Zap,Desconocida,Ven,Dep,196.0,4.0,2.0,7560000.0,,-103.475453,20.729287,250.0,4.0,0,38571.42857142857,01/04/2025,Zap|Desconocida|7560000.0|196.0|Dep
Sep25_c498577a,Inm24,Zap,Desconocida,Ven,Dep,188.0,3.0,2.0,3590000.0,2110.0,-100.212323,25.797582,,2.5,1,19095.744680851065,01/04/2025,Zap|Desconocida|3590000.0|188.0|Dep
Sep25_62ff0105,Inm24,Zap,Desconocida,Ven,Dep,131.0,3.0,2.0,4971548.0,,-103.247765,20.684761,136.0,2.5,0,37950.748091603054,01/04/2025,Zap|Desconocida|4971548.0|131.0|Dep
Sep25_aa1153a8,Inm24,Zap,Desconocida,Ven,Dep,104.0,2.0,2.0,3900000.0,500.0,,,,1.0,1,37500.0,01/04/2025,Zap|Desconocida|3900000.0|104.0|Dep
Sep25_12769183,Inm24,Zap,Desconocida,Ven,Dep,143.0,3.0,2.0,5780121.0,,,,,2.5,6,40420.42657342657,01/04/2025,Zap|Desconocida|5780121.0|143.0|Dep
Sep25_d58fb615,Inm24,Zap,Desconocida,Ven,Dep,84.0,2.0,2.0,5363581.0,,-103.471818,20.729172,,2.0,3,63852.15476190476,01/04/2025,Zap|Desconocida|5363581.0|84.0|Dep
Sep25_5c7bb4e1,Inm24,Zap,Desconocida,Ven,Dep,131.0,3.0,2.0,5150296.0,3275.0,,,67.0,2.5,10,39315.236641221374,01/04/2025,Zap|Desconocida|5150296.0|131.0|Dep
Sep25_5ebbaecd,Inm24,Zap,Desconocida,Ven,Dep,84.0,2.0,2.0,4979704.0,1000.0,-103.471818,20.729172,341.0,2.0,0,59282.19047619047,01/04/2025,Zap|Desconocida|4979704.0|84.0|Dep
Sep25_a33d0758,Inm24,Zap,Desconocida,Ven,Dep,141.0,2.0,2.0,7893950.0,,,,,2.5,0,55985.4609929078,01/04/2025,Zap|Desconocida|7893950.0|141.0|Dep
Sep25_ae4ff3ff,Inm24,Zap,Desconocida,Ven,Dep,175.0,2.0,2.0,3175000.0,,-103.435283,20.57517,171.0,2.0,0,18142.85714285714,01/04/2025,Zap|Desconocida|3175000.0|175.0|Dep
Sep25_d8615a5c,Inm24,Zap,Desconocida,Ven,Dep,89.0,2.0,2.0,3200000.0,,-103.436731,20.590068,226.0,2.0,2,35955.05617977528,01/04/2025,Zap|Desconocida|3200000.0|89.0|Dep
Sep25_57ca421f,Inm24,Zap,Desconocida,Ven,Dep,67.0,2.0,2.0,2800000.0,,-106.451816,23.251042,90.0,2.0,0,41791.0447761194,01/04/2025,Zap|Desconocida|2800000.0|67.0|Dep
Sep25_9793fad2,Inm24,Zap,Desconocida,Ven,Dep,141.0,3.0,2.0,3400000.0,,-103.479274,20.528787,95.0,3.0,0,24113.475177304965,01/04/2025,Zap|Desconocida|3400000.0|141.0|Dep
Sep25_58f6d775,Inm24,Zap,Desconocida,Ven,Dep,63.0,2.0,1.0,1650000.0,800.0,-103.460966,20.78943,58.0,2.0,1,26190.47619047619,01/04/2025,Zap|Desconocida|1650000.0|63.0|Dep
Sep25_c1eb868a,Inm24,Zap,Desconocida,Ven,Dep,86.0,2.0,2.0,5551580.0,,-103.471818,20.729172,,2.0,0,64553.25581395349,01/04/2025,Zap|Desconocida|5551580.0|86.0|Dep
Sep25_0cb6f0d3,Inm24,Zap,Desconocida,Ven,Dep,77.0,2.0,2.0,3058249.0,1700.0,-103.435283,20.57517,205.0,2.0,0,39717.51948051948,01/04/2025,Zap|Desconocida|3058249.0|77.0|Dep
Sep25_0134fcec,Inm24,Zap,Desconocida,Ven,Dep,91.0,2.0,1.0,5222235.0,,,,,2.0,0,57387.1978021978,01/04/2025,Zap|Desconocida|5222235.0|91.0|Dep
Sep25_8a6d5f24,Inm24,Zap,Desconocida,Ven,Dep,94.0,2.0,1.0,5357421.0,,,,,2.0,0,56993.84042553192,01/04/2025,Zap|Desconocida|5357421.0|94.0|Dep
Sep25_3c53affe,Inm24,Zap,Desconocida,Ven,Dep,72.0,1.0,1.0,3379260.0,1800.0,,,68.0,1.5,10,46934.16666666666,01/04/2025,Zap|Desconocida|3379260.0|72.0|Dep
Sep25_73ff442f,Inm24,Zap,Desconocida,Ven,Dep,190.0,4.0,2.0,8900000.0,3500.0,,,,4.5,5,46842.10526315789,01/04/2025,Zap|Desconocida|8900000.0|190.0|Dep
Sep25_5e2e1f1e,Inm24,Zap,Desconocida,Ven,Dep,102.0,2.0,2.0,6200000.0,,,,,2.0,6,60784.3137254902,01/04/2025,Zap|Desconocida|6200000.0|102.0|Dep
Sep25_c674f945,Inm24,Zap,Desconocida,Ven,Dep,91.0,2.0,1.0,3743000.0,,-103.415778,20.615064,50.0,2.0,0,41131.86813186813,01/04/2025,Zap|Desconocida|3743000.0|91.0|Dep
Sep25_be684079,Inm24,Zap,Desconocida,Ven,Dep,128.0,2.0,2.0,6250000.0,3104.0,,,,3.0,7,48828.125,01/04/2025,Zap|Desconocida|6250000.0|128.0|Dep
Sep25_e7b4cafc,Inm24,Zap,Desconocida,Ven,Dep,113.0,2.0,,5299000.0,,,,,1.0,0,46893.80530973451,01/04/2025,Zap|Desconocida|5299000.0|113.0|Dep
Sep25_e6016624,Inm24,Zap,Desconocida,Ven,Dep,121.0,2.0,2.0,5007488.0,,,,,2.5,1,41384.19834710744,01/04/2025,Zap|Desconocida|5007488.0|121.0|Dep
Sep25_b0f00766,Inm24,Zap,Desconocida,Ven,Dep,130.0,2.0,2.0,9600000.0,,,,,2.0,2,73846.15384615384,01/04/2025,Zap|Desconocida|9600000.0|130.0|Dep
Sep25_693a75a0,Inm24,Zap,Desconocida,Ven,Dep,62.0,2.0,1.0,2190000.0,1100.0,-103.461629,20.788436,85.0,2.0,1,35322.58064516129,01/04/2025,Zap|Desconocida|2190000.0|62.0|Dep
Sep25_d6a46a70,Inm24,Zap,Desconocida,Ven,Dep,53.0,1.0,1.0,3250000.0,1500.0,-103.404491,20.765814,142.0,1.0,2,61320.75471698113,01/04/2025,Zap|Desconocida|3250000.0|53.0|Dep
