id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_795d7aa9,Inm24,Zap,El Bajío,Ven,Dep,74.0,1.0,2.0,3313000.0,1676.0,-103.472547,20.690759,172.0,1.5,0,44770.27027027027,01/04/2025,Zap|El Bajío|3313000.0|74.0|Dep
Sep25_ee7a56b3,Inm24,Zap,El Bajío,Ven,Dep,104.0,2.0,2.0,4243000.0,2400.0,-103.472447,20.690891,,2.5,0,40798.07692307692,01/04/2025,Zap|El Bajío|4243000.0|104.0|Dep
Sep25_ff6f97cb,Inm24,Zap,El Bajío,Ven,Dep,131.0,3.0,2.0,5150296.0,1673.0,-103.473691,20.693589,,2.5,0,39315.236641221374,01/04/2025,Zap|El Bajío|5150296.0|131.0|Dep
Sep25_cd326043,Inm24,Zap,El Bajío,Ven,Dep,101.0,2.0,2.0,4122484.0,2357.0,-103.473691,20.693589,,2.5,0,40816.67326732673,01/04/2025,Zap|El Bajío|4122484.0|101.0|Dep
Sep25_9e56ed06,Inm24,Zap,El Bajío,Ven,Dep,107.0,2.0,2.0,4243000.0,2400.0,-103.472391,20.690913,79.0,2.5,0,39654.20560747664,01/04/2025,Zap|El Bajío|4243000.0|107.0|Dep
Sep25_208e2030,Inm24,Zap,El Bajío,Ven,Dep,145.0,3.0,3.0,6267000.0,2010.0,-103.472549,20.689356,250.0,2.5,0,43220.68965517241,01/04/2025,Zap|El Bajío|6267000.0|145.0|Dep
Sep25_a97175b5,Inm24,Zap,El Bajío,Ven,Dep,124.0,2.0,2.0,4903000.0,1575.0,-103.472549,20.689356,250.0,2.0,0,39540.32258064516,01/04/2025,Zap|El Bajío|4903000.0|124.0|Dep
Sep25_0988147f,Inm24,Zap,El Bajío,Ven,Dep,107.0,2.0,2.0,4358000.0,,-103.472549,20.689356,250.0,2.0,0,40728.97196261682,01/04/2025,Zap|El Bajío|4358000.0|107.0|Dep
Sep25_6511b001,Inm24,Zap,El Bajío,Ven,Dep,104.0,2.0,2.0,3970890.0,2165.0,-103.472651,20.69072,22.0,2.5,1,38181.63461538462,01/04/2025,Zap|El Bajío|3970890.0|104.0|Dep
Sep25_8c9de192,Inm24,Zap,El Bajío,Ven,Dep,74.0,1.0,1.0,3547000.0,,-103.472549,20.689356,250.0,1.5,0,47932.43243243243,01/04/2025,Zap|El Bajío|3547000.0|74.0|Dep
Sep25_a8a41a9c,Inm24,Zap,El Bajío,Ven,Dep,145.0,3.0,3.0,5777000.0,1858.0,-103.472549,20.689356,250.0,2.5,0,39841.379310344826,01/04/2025,Zap|El Bajío|5777000.0|145.0|Dep
Sep25_aff82ebe,Inm24,Zap,El Bajío,Ven,Dep,143.0,3.0,2.0,6065213.0,3820.0,-103.474979,20.689862,29.0,2.5,1,42414.07692307692,01/04/2025,Zap|El Bajío|6065213.0|143.0|Dep
Sep25_8fce5173,Inm24,Zap,El Bajío,Ven,Dep,149.0,3.0,2.0,6160328.0,3879.0,-103.474979,20.689862,16.0,2.5,1,41344.48322147651,01/04/2025,Zap|El Bajío|6160328.0|149.0|Dep
Sep25_1dcf2a21,Inm24,Zap,El Bajío,Ven,Dep,101.0,2.0,2.0,3936806.0,,-103.473326,20.690016,136.0,2.0,0,38978.27722772277,01/04/2025,Zap|El Bajío|3936806.0|101.0|Dep
Sep25_3cbdf1e1,Inm24,Zap,El Bajío,Ven,Dep,101.0,2.0,2.0,3706376.0,1500.0,-103.473326,20.690016,254.0,1.5,0,36696.79207920792,01/04/2025,Zap|El Bajío|3706376.0|101.0|Dep
Sep25_803fe561,Inm24,Zap,El Bajío,Ven,Dep,131.0,3.0,2.0,4744000.0,1500.0,-103.473326,20.690016,,2.5,0,36213.74045801527,01/04/2025,Zap|El Bajío|4744000.0|131.0|Dep
Sep25_8c070f0b,Inm24,Zap,El Bajío,Ven,Dep,71.0,1.0,2.0,3313000.0,,-103.473326,20.690016,138.0,1.5,0,46661.97183098592,01/04/2025,Zap|El Bajío|3313000.0|71.0|Dep
Sep25_5bde0ffd,Inm24,Zap,El Bajío,Ven,Dep,72.0,1.0,1.0,3700000.0,,-103.473518,20.68935,,1.5,,51388.88888888889,01/04/2025,Zap|El Bajío|3700000.0|72.0|Dep
Sep25_4908a7e7,Inm24,Zap,El Bajío,Ven,Dep,74.0,1.0,2.0,3440000.0,,-103.470953,20.688574,47.0,1.5,0,46486.48648648649,01/04/2025,Zap|El Bajío|3440000.0|74.0|Dep
Sep25_3d01b36b,Inm24,Zap,El Bajío,Ven,Dep,121.0,3.0,2.0,4480071.0,1500.0,-103.471137,20.68825,,2.5,3,37025.38016528926,01/04/2025,Zap|El Bajío|4480071.0|121.0|Dep
Sep25_e6016624,Inm24,Zap,El Bajío,Ven,Dep,121.0,2.0,2.0,5007488.0,,-103.470953,20.688574,17.0,2.5,1,41384.19834710744,01/04/2025,Zap|El Bajío|5007488.0|121.0|Dep
Sep25_e90617aa,Inm24,Zap,El Bajío,Ven,Dep,71.0,1.0,2.0,3500000.0,11.0,-103.473326,20.690016,281.0,1.5,0,49295.77464788732,01/04/2025,Zap|El Bajío|3500000.0|71.0|Dep
Sep25_ffae499e,Inm24,Zap,El Bajío,Ven,Dep,144.0,2.0,,5180000.0,1600.0,-103.473326,20.690016,,2.0,0,35972.22222222222,01/04/2025,Zap|El Bajío|5180000.0|144.0|Dep
Sep25_e27dec74,Inm24,Zap,El Bajío,Ven,Dep,101.0,2.0,2.0,3936811.0,,-103.473262,20.6908,107.0,2.5,10,38978.32673267327,01/04/2025,Zap|El Bajío|3936811.0|101.0|Dep
Sep25_a14e23f2,Inm24,Zap,El Bajío,Ven,Dep,131.0,3.0,2.0,4683000.0,,-103.473326,20.690016,,2.5,0,35748.091603053435,01/04/2025,Zap|El Bajío|4683000.0|131.0|Dep
Sep25_714a4e5b,Inm24,Zap,El Bajío,Ven,Dep,144.0,3.0,2.0,4925000.0,,-103.473326,20.690016,,2.5,3,34201.38888888889,01/04/2025,Zap|El Bajío|4925000.0|144.0|Dep
Sep25_bc69de14,Inm24,Zap,El Bajío,Ven,Dep,108.0,2.0,2.0,4800000.0,3.0,-103.464463,20.696699,81.0,2.5,5,44444.444444444445,01/04/2025,Zap|El Bajío|4800000.0|108.0|Dep
Sep25_de813659,Inm24,Zap,El Bajío,Ven,Dep,121.0,2.0,1.0,4201000.0,,-103.473326,20.690016,,2.5,0,34719.00826446281,01/04/2025,Zap|El Bajío|4201000.0|121.0|Dep
Sep25_875cfef9,Inm24,Zap,El Bajío,Ven,Dep,208.0,3.0,1.0,6967866.0,,-103.473326,20.690016,85.0,2.5,0,33499.355769230766,01/04/2025,Zap|El Bajío|6967866.0|208.0|Dep
Sep25_4c0ac131,Inm24,Zap,El Bajío,Ven,Dep,137.0,3.0,1.0,5412092.0,,-103.473326,20.690016,86.0,2.0,0,39504.32116788321,01/04/2025,Zap|El Bajío|5412092.0|137.0|Dep
Sep25_80c3f7a7,Inm24,Zap,El Bajío,Ven,Dep,137.0,3.0,1.0,5166730.0,,-103.473326,20.690016,86.0,1.0,0,37713.357664233576,01/04/2025,Zap|El Bajío|5166730.0|137.0|Dep
Sep25_a57b7d32,Inm24,Zap,El Bajío,Ven,Dep,124.0,2.0,1.0,5003488.0,,-103.473326,20.690016,,1.5,0,40350.70967741936,01/04/2025,Zap|El Bajío|5003488.0|124.0|Dep
Sep25_2e6e1881,Inm24,Zap,El Bajío,Ven,Dep,137.0,3.0,,5377552.0,,-103.473326,20.690016,86.0,2.0,0,39252.20437956204,01/04/2025,Zap|El Bajío|5377552.0|137.0|Dep
Sep25_850a7278,Inm24,Zap,El Bajío,Ven,Dep,145.0,3.0,3.0,5861050.0,3335.0,-103.473326,20.690016,81.0,2.5,0,40421.03448275862,01/04/2025,Zap|El Bajío|5861050.0|145.0|Dep
Sep25_a382274b,Inm24,Zap,El Bajío,Ven,Dep,104.0,2.0,2.0,3950000.0,1250.0,-103.470953,20.688574,239.0,2.5,0,37980.769230769234,01/04/2025,Zap|El Bajío|3950000.0|104.0|Dep
Sep25_67f342a8,Inm24,Zap,El Bajío,Ven,Dep,74.0,1.0,2.0,3380000.0,,-103.471288,20.688612,50.0,1.5,0,45675.67567567567,01/04/2025,Zap|El Bajío|3380000.0|74.0|Dep
