id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_1ca766d4,Inm24,Zap,El Campanario,Ven,Dep,89.0,2.0,1.0,3200000.0,1800.0,-103.43733,20.590475,23.0,2.0,5,35955.05617977528,01/09/2025,Zap|El Campanario|3200000.0|89.0|Dep
Sep25_500b63c0,Inm24,Zap,El Campanario,Ven,Dep,88.0,2.0,1.0,2700000.0,1300.0,-103.43733,20.590475,94.0,2.0,3,30681.81818181818,01/04/2025,Zap|El Campanario|2700000.0|88.0|Dep
Sep25_e2b0e0c0,Inm24,Zap,El Campanario,Ven,Dep,39.0,1.0,1.0,1500000.0,,-103.435472,20.594281,154.0,1.0,0,38461.53846153846,01/04/2025,Zap|El Campanario|1500000.0|39.0|Dep
Sep25_68f57450,Inm24,Zap,El Campanario,Ven,Dep,38.0,1.0,1.0,1500000.0,1700.0,-103.435796,20.594317,43.0,1.0,0,39473.68421052631,01/04/2025,Zap|El Campanario|1500000.0|38.0|Dep
Sep25_ef85f468,Inm24,Zap,El Campanario,Ven,Dep,56.0,1.0,1.0,2250000.0,1700.0,-103.435796,20.594317,33.0,1.5,0,40178.57142857143,01/04/2025,Zap|El Campanario|2250000.0|56.0|Dep
Sep25_25700c00,Inm24,Zap,El Campanario,Ven,Dep,95.0,3.0,2.0,3650000.0,3500.0,-103.435283,20.593102,10.0,2.5,1,38421.05263157895,01/04/2025,Zap|El Campanario|3650000.0|95.0|Dep
Sep25_0e813234,Inm24,Zap,El Campanario,Ven,Dep,89.0,2.0,1.0,3375000.0,,-103.43733,20.590475,45.0,2.0,2,37921.348314606745,01/04/2025,Zap|El Campanario|3375000.0|89.0|Dep
Sep25_c1af6778,Inm24,Zap,El Campanario,Ven,Dep,95.0,3.0,2.0,3490000.0,1800.0,-103.43733,20.590475,101.0,2.0,0,36736.84210526316,01/04/2025,Zap|El Campanario|3490000.0|95.0|Dep
Sep25_bff4bb40,Inm24,Zap,El Campanario,Ven,Dep,94.0,3.0,2.0,3590000.0,2100.0,-103.43733,20.590475,35.0,2.0,3,38191.48936170213,01/04/2025,Zap|El Campanario|3590000.0|94.0|Dep
Sep25_6bf0e80b,Inm24,Zap,El Campanario,Ven,Dep,88.0,2.0,2.0,3350000.0,1531.0,-103.435283,20.593102,121.0,2.0,5,38068.181818181816,01/04/2025,Zap|El Campanario|3350000.0|88.0|Dep
Sep25_3eae2138,Inm24,Zap,El Campanario,Ven,Dep,38.0,1.0,1.0,1950000.0,,-103.435472,20.594281,102.0,1.0,0,51315.78947368421,01/04/2025,Zap|El Campanario|1950000.0|38.0|Dep
Sep25_474d4cc5,Inm24,Zap,El Campanario,Ven,Dep,83.0,2.0,1.0,3080000.0,2300.0,-103.43733,20.590475,113.0,2.5,0,37108.43373493976,01/04/2025,Zap|El Campanario|3080000.0|83.0|Dep
