id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_95f5ad14,Inm24,Zap,Elite,Ven,Dep,60.0,1.0,1.0,3196000.0,1890.0,-103.459949,20.720387,73.0,2.0,3,53266.66666666666,01/04/2025,Zap|Elite|3196000.0|60.0|Dep
Sep25_7fe0d0c7,Inm24,Zap,Elite,Ven,Dep,101.0,2.0,2.0,5346499.0,3200.0,-103.460042,20.720402,,2.0,0,52935.63366336634,01/04/2025,Zap|Elite|5346499.0|101.0|Dep
Sep25_4481e136,Inm24,Zap,Elite,Ven,Dep,60.0,1.0,1.0,3450000.0,,-103.460086,20.720391,,1.5,3,57500.0,01/04/2025,Zap|Elite|3450000.0|60.0|Dep
Sep25_3284e981,Inm24,Zap,Elite,Ven,Dep,85.0,2.0,2.0,5500000.0,,-103.460096,20.720205,5.0,2.0,4,64705.882352941175,01/04/2025,Zap|Elite|5500000.0|85.0|Dep
Sep25_2abade06,Inm24,Zap,Elite,Ven,Dep,101.0,3.0,,5298099.0,3150.0,-103.4607,20.718988,318.0,2.0,0,52456.425742574254,01/04/2025,Zap|Elite|5298099.0|101.0|Dep
Sep25_87ed7588,Inm24,Zap,Elite,Ven,Dep,60.0,1.0,1.0,4000000.0,,-103.460222,20.71988,,2.0,1,66666.66666666667,01/04/2025,Zap|Elite|4000000.0|60.0|Dep
Sep25_5a3f56cd,Inm24,Zap,Elite,Ven,Dep,85.0,2.0,2.0,4750000.0,2619.0,-103.460042,20.720402,51.0,2.0,2,55882.35294117647,01/04/2025,Zap|Elite|4750000.0|85.0|Dep
Sep25_1dd59c9c,Inm24,Zap,Elite,Ven,Dep,85.0,2.0,2.0,4900000.0,,-103.459949,20.720387,194.0,2.0,5,57647.05882352941,01/04/2025,Zap|Elite|4900000.0|85.0|Dep
Sep25_66a6c77c,Inm24,Zap,Elite,Ven,Dep,86.0,2.0,2.0,3950000.0,2400.0,-103.459949,20.720387,,2.0,4,45930.232558139534,01/04/2025,Zap|Elite|3950000.0|86.0|Dep
Sep25_8d00e781,Inm24,Zap,Elite,Ven,Dep,60.0,1.0,1.0,3350000.0,1890.0,-103.460042,20.720402,,2.0,2,55833.333333333336,01/04/2025,Zap|Elite|3350000.0|60.0|Dep
Sep25_7eb6a665,Inm24,Zap,Elite,Ven,Dep,101.0,2.0,2.0,5200000.0,,-103.460042,20.720402,,2.0,2,51485.14851485149,01/04/2025,Zap|Elite|5200000.0|101.0|Dep
Sep25_7626232f,Inm24,Zap,Elite,Ven,Dep,101.0,2.0,1.0,4950000.0,3200.0,-103.460042,20.720402,312.0,2.0,3,49009.90099009901,01/04/2025,Zap|Elite|4950000.0|101.0|Dep
