id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_05551571,Inm24,Zap,El Vigía,Ven,Dep,49.0,1.0,1.0,2850000.0,1755.0,-103.391068,20.734958,16.0,1.5,10,58163.26530612245,01/04/2025,Zap|El Vigía|2850000.0|49.0|Dep
Sep25_2d98bc41,Inm24,Zap,El Vigía,Ven,Dep,49.0,1.0,1.0,2950000.0,1900.0,-103.389093,20.73475,32.0,1.0,0,60204.08163265306,01/04/2025,Zap|El Vigía|2950000.0|49.0|Dep
Sep25_727f41ed,Inm24,Zap,El Vigía,Ven,Dep,86.0,1.0,1.0,4350000.0,,-103.390921,20.734948,52.0,2.0,1,50581.395348837206,01/04/2025,Zap|El Vigía|4350000.0|86.0|Dep
Sep25_d5c0b6d3,Inm24,Zap,El Vigía,Ven,Dep,79.0,2.0,2.0,3316000.0,450.0,-103.388886,20.73482,,1.0,0,41974.6835443038,01/04/2025,Zap|El Vigía|3316000.0|79.0|Dep
Sep25_36da4fff,Inm24,Zap,El Vigía,Ven,Dep,79.0,3.0,1.0,4906000.0,,-103.389093,20.73475,342.0,2.0,0,62101.26582278481,01/04/2025,Zap|El Vigía|4906000.0|79.0|Dep
Sep25_426cb7e0,Inm24,Zap,El Vigía,Ven,Dep,49.0,1.0,1.0,2800000.0,,-103.391068,20.734958,,1.0,0,57142.857142857145,01/04/2025,Zap|El Vigía|2800000.0|49.0|Dep
Sep25_118e2055,Inm24,Zap,El Vigía,Ven,Dep,58.0,1.0,1.0,3361270.0,,-103.389093,20.734991,237.0,1.0,0,57952.93103448276,01/04/2025,Zap|El Vigía|3361270.0|58.0|Dep
Sep25_8fc3f995,Inm24,Zap,El Vigía,Ven,Dep,79.0,2.0,2.0,4300000.0,33.0,-103.390921,20.734948,,2.0,0,54430.379746835446,01/04/2025,Zap|El Vigía|4300000.0|79.0|Dep
Sep25_cb8d97db,Inm24,Zap,El Vigía,Ven,Dep,49.0,1.0,1.0,2991000.0,,-103.389093,20.73475,342.0,1.0,0,61040.81632653061,01/04/2025,Zap|El Vigía|2991000.0|49.0|Dep
Sep25_97c3cb88,Inm24,Zap,El Vigía,Ven,Dep,49.0,1.0,1.0,2768000.0,,-103.389158,20.735144,,1.0,en construcción,56489.79591836735,01/04/2025,Zap|El Vigía|2768000.0|49.0|Dep
Sep25_e9e61aad,Inm24,Zap,El Vigía,Ven,Dep,49.0,1.0,,2951040.0,,-103.390921,20.734948,11.0,1.0,0,60225.30612244898,01/04/2025,Zap|El Vigía|2951040.0|49.0|Dep
Sep25_e7ca6e34,Inm24,Zap,El Vigía,Ven,Dep,49.0,1.0,1.0,2600000.0,,-103.392612,20.73508,85.0,1.0,1,53061.22448979592,01/04/2025,Zap|El Vigía|2600000.0|49.0|Dep
