id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_919ba447,Inm24,Zap,Francisco Sarabia,Ven,Dep,89.0,3.0,2.0,3700000.0,1500.0,-103.441218,20.612589,360.0,2.0,0,41573.03370786517,01/04/2025,Zap|Francisco Sarabia|3700000.0|89.0|Dep
Sep25_3cd68f4c,Inm24,Zap,Francisco Sarabia,Ven,Dep,64.0,2.0,2.0,2540000.0,1500.0,-103.441218,20.612589,43.0,2.0,0,39687.5,01/04/2025,Zap|Francisco Sarabia|2540000.0|64.0|Dep
Sep25_50fea325,Inm24,Zap,Francisco Sarabia,Ven,Dep,58.0,2.0,2.0,2380000.0,1500.0,-103.441218,20.612589,,1.0,0,41034.48275862069,01/04/2025,Zap|Francisco Sarabia|2380000.0|58.0|Dep
Sep25_467c4c49,Inm24,Zap,Francisco Sarabia,Ven,Dep,89.0,2.0,2.0,2990000.0,,-103.43441,20.611823,0.0,2.0,10,33595.50561797753,01/04/2025,Zap|Francisco Sarabia|2990000.0|89.0|Dep
Sep25_9b24d247,Inm24,Zap,Francisco Sarabia,Ven,Dep,64.0,2.0,2.0,2690000.0,1500.0,-103.441218,20.612589,131.0,2.0,1,42031.25,01/04/2025,Zap|Francisco Sarabia|2690000.0|64.0|Dep
Sep25_581ec0e3,Inm24,Zap,Francisco Sarabia,Ven,Dep,68.0,2.0,2.0,2690000.0,1500.0,-103.441218,20.612589,256.0,1.5,1,39558.82352941176,01/04/2025,Zap|Francisco Sarabia|2690000.0|68.0|Dep
Sep25_583fbdbb,Inm24,Zap,Francisco Sarabia,Ven,Dep,89.0,2.0,2.0,3300000.0,1500.0,-103.441218,20.612589,29.0,2.0,,37078.651685393255,01/04/2025,Zap|Francisco Sarabia|3300000.0|89.0|Dep
Sep25_4e49430a,Inm24,Zap,Francisco Sarabia,Ven,Dep,58.0,2.0,2.0,2280000.0,1650.0,-103.441577,20.612615,295.0,1.0,2,39310.34482758621,01/04/2025,Zap|Francisco Sarabia|2280000.0|58.0|Dep
Sep25_c09b0074,Inm24,Zap,Francisco Sarabia,Ven,Dep,89.0,3.0,2.0,3150000.0,1500.0,-103.441218,20.612589,199.0,2.0,0,35393.25842696629,01/04/2025,Zap|Francisco Sarabia|3150000.0|89.0|Dep
Sep25_ac697082,Inm24,Zap,Francisco Sarabia,Ven,Dep,64.0,2.0,2.0,2700000.0,,-103.438991,20.611511,47.0,2.0,0,42187.5,01/04/2025,Zap|Francisco Sarabia|2700000.0|64.0|Dep
Sep25_c88ee03a,Inm24,Zap,Francisco Sarabia,Ven,Dep,58.0,2.0,2.0,2490000.0,1600.0,-103.43104,20.6088,77.0,0.5,2,42931.03448275862,01/04/2025,Zap|Francisco Sarabia|2490000.0|58.0|Dep
Sep25_9dc14211,Inm24,Zap,Francisco Sarabia,Ven,Dep,78.0,2.0,2.0,3750000.0,1200.0,-103.441218,20.612589,172.0,2.0,,48076.92307692308,01/04/2025,Zap|Francisco Sarabia|3750000.0|78.0|Dep
Sep25_9a90c328,Inm24,Zap,Francisco Sarabia,Ven,Dep,58.0,2.0,2.0,2300000.0,,-103.43104,20.6088,,1.0,0,39655.1724137931,01/04/2025,Zap|Francisco Sarabia|2300000.0|58.0|Dep
Sep25_598c9bf1,Inm24,Zap,Francisco Sarabia,Ven,Dep,65.0,2.0,2.0,2700000.0,1500.0,-103.441218,20.612589,72.0,1.5,0,41538.46153846154,01/04/2025,Zap|Francisco Sarabia|2700000.0|65.0|Dep
Sep25_bbb1cf7c,Inm24,Zap,Francisco Sarabia,Ven,Dep,76.0,2.0,2.0,3650000.0,,-103.441218,20.612589,210.0,2.0,0,48026.31578947369,01/04/2025,Zap|Francisco Sarabia|3650000.0|76.0|Dep
