id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_f364f022,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,120.0,2.0,2.0,7490000.0,3600.0,-103.415497,20.685803,66.0,2.5,3,62416.66666666666,01/04/2025,Zap|Hacienda de Las Lomas|7490000.0|120.0|Dep
Sep25_795769c9,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,95.0,2.0,2.0,6240000.0,,-103.415711,20.685775,,2.0,2,65684.21052631579,01/04/2025,Zap|Hacienda de Las Lomas|6240000.0|95.0|Dep
Sep25_d9ab904e,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,147.0,2.0,2.0,8750000.0,,-103.415497,20.685803,,2.0,2,59523.80952380953,01/04/2025,Zap|Hacienda de Las Lomas|8750000.0|147.0|Dep
Sep25_8bfb342d,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,120.0,2.0,2.0,6290000.0,,-103.415662,20.68571,,2.0,0,52416.66666666666,01/04/2025,Zap|Hacienda de Las Lomas|6290000.0|120.0|Dep
Sep25_fe0e31a7,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,220.0,3.0,3.0,13200000.0,3000.0,-103.415451,20.685852,139.0,3.5,2,60000.0,01/04/2025,Zap|Hacienda de Las Lomas|13200000.0|220.0|Dep
Sep25_32fbfce7,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,111.0,2.0,2.0,8300000.0,,-103.415497,20.685803,205.0,2.5,5,74774.77477477478,01/04/2025,Zap|Hacienda de Las Lomas|8300000.0|111.0|Dep
Sep25_317b2ad3,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,194.0,3.0,3.0,10000000.0,,-103.415662,20.68571,,3.0,0,51546.39175257732,01/04/2025,Zap|Hacienda de Las Lomas|10000000.0|194.0|Dep
Sep25_11b018a8,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,176.0,2.0,2.0,8500000.0,1500.0,-103.413995,20.685499,,2.5,0,48295.454545454544,01/04/2025,Zap|Hacienda de Las Lomas|8500000.0|176.0|Dep
Sep25_e41688e2,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,95.0,2.0,2.0,6378261.0,,-103.415662,20.68571,,2.0,0,67139.58947368422,01/04/2025,Zap|Hacienda de Las Lomas|6378261.0|95.0|Dep
Sep25_58833e98,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,125.0,3.0,2.0,7677382.0,,-103.415662,20.68571,,2.5,0,61419.056,01/04/2025,Zap|Hacienda de Las Lomas|7677382.0|125.0|Dep
Sep25_df6a4453,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,120.0,2.0,2.0,7390000.0,3700.0,-103.415497,20.685803,76.0,2.5,3,61583.333333333336,01/04/2025,Zap|Hacienda de Las Lomas|7390000.0|120.0|Dep
Sep25_c83d8bbe,Inm24,Zap,Hacienda de Las Lomas,Ven,Dep,90.0,2.0,2.0,5890000.0,,-103.415497,20.685803,219.0,2.0,,65444.444444444445,01/04/2025,Zap|Hacienda de Las Lomas|5890000.0|90.0|Dep
