id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3d7940a7,Inm24,Zap,Jardín Real,Ven,Dep,192.0,3.0,3.0,11200000.0,,-103.430655,20.731179,,3.0,0,58333.333333333336,01/09/2025,Zap|Jardín Real|11200000.0|192.0|Dep
Sep25_07137ad1,Inm24,Zap,Jardín Real,Ven,Dep,66.0,2.0,2.0,3750100.0,,-103.432495,20.740399,227.0,2.0,0,56819.69696969697,01/04/2025,Zap|Jardín Real|3750100.0|66.0|Dep
Sep25_e80af4ad,Inm24,Zap,Jardín Real,Ven,Dep,100.0,2.0,2.0,4480000.0,2964.0,-103.430618,20.74155,79.0,2.0,7,44800.0,01/04/2025,Zap|Jardín Real|4480000.0|100.0|Dep
Sep25_7e386d9f,Inm24,Zap,Jardín Real,Ven,Dep,75.0,1.0,2.0,4900000.0,,-103.430648,20.731171,10.0,1.0,3,65333.333333333336,01/04/2025,Zap|Jardín Real|4900000.0|75.0|Dep
Sep25_a413bfc0,Inm24,Zap,Jardín Real,Ven,Dep,60.0,1.0,1.0,3490000.0,2197.0,-103.428258,20.733373,,1.0,3,58166.66666666666,01/04/2025,Zap|Jardín Real|3490000.0|60.0|Dep
Sep25_815b2408,Inm24,Zap,Jardín Real,Ven,Dep,70.0,1.0,1.0,4561218.0,,-103.432495,20.740399,299.0,1.5,0,65160.25714285715,01/04/2025,Zap|Jardín Real|4561218.0|70.0|Dep
Sep25_fdb9619c,Inm24,Zap,Jardín Real,Ven,Dep,64.0,1.0,1.0,3240000.0,,-103.428258,20.733373,62.0,1.0,3,50625.0,01/04/2025,Zap|Jardín Real|3240000.0|64.0|Dep
Sep25_6deb367c,Inm24,Zap,Jardín Real,Ven,Dep,59.0,1.0,1.0,3350000.0,,-103.428258,20.733373,49.0,1.0,4,56779.661016949154,01/04/2025,Zap|Jardín Real|3350000.0|59.0|Dep
Sep25_654ddf93,Inm24,Zap,Jardín Real,Ven,Dep,121.0,3.0,2.0,4990000.0,2650.0,-103.430618,20.74155,258.0,2.0,6,41239.6694214876,01/04/2025,Zap|Jardín Real|4990000.0|121.0|Dep
Sep25_f947072c,Inm24,Zap,Jardín Real,Ven,Dep,235.0,3.0,3.0,11041500.0,,-103.430154,20.733247,220.0,3.0,0,46985.10638297872,01/04/2025,Zap|Jardín Real|11041500.0|235.0|Dep
Sep25_0a70b2a2,Inm24,Zap,Jardín Real,Ven,Dep,74.0,2.0,1.0,4924368.0,2232.0,-103.432031,20.741637,22.0,2.0,0,66545.51351351352,01/04/2025,Zap|Jardín Real|4924368.0|74.0|Dep
Sep25_de2b76e1,Inm24,Zap,Jardín Real,Ven,Dep,175.0,3.0,2.0,10900000.0,,-103.428817,20.731991,134.0,2.0,1,62285.71428571428,01/04/2025,Zap|Jardín Real|10900000.0|175.0|Dep
Sep25_512a7e54,Inm24,Zap,Jardín Real,Ven,Dep,117.0,2.0,2.0,7400000.0,,-103.431093,20.729948,288.0,2.0,2,63247.86324786325,01/04/2025,Zap|Jardín Real|7400000.0|117.0|Dep
