id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_0afedc7e,Inm24,Zap,Jocotán,Ven,Dep,42.0,1.0,1.0,2591000.0,1500.0,-103.443666,20.687182,,1.0,0,61690.47619047619,01/04/2025,Zap|Jocotán|2591000.0|42.0|Dep
Sep25_be971566,Inm24,Zap,Jocotán,Ven,Dep,74.0,2.0,2.0,7250000.0,2500.0,-103.444133,20.688506,318.0,2.0,5,97972.97297297296,01/04/2025,Zap|Jocotán|7250000.0|74.0|Dep
Sep25_1c1b30c5,Inm24,Zap,Jocotán,Ven,Dep,84.0,1.0,2.0,3250000.0,2200.0,-103.443415,20.68852,,1.0,3,38690.47619047619,01/04/2025,Zap|Jocotán|3250000.0|84.0|Dep
Sep25_b1dda3f8,Inm24,Zap,Jocotán,Ven,Dep,74.0,2.0,2.0,5800000.0,,-103.4442,20.688363,16.0,2.0,4,78378.37837837837,01/04/2025,Zap|Jocotán|5800000.0|74.0|Dep
Sep25_d4dbf31f,Inm24,Zap,Jocotán,Ven,Dep,42.0,1.0,1.0,2686742.0,,-103.444889,20.688607,,1.0,1,63970.04761904762,01/04/2025,Zap|Jocotán|2686742.0|42.0|Dep
Sep25_0bcbffe4,Inm24,Zap,Jocotán,Ven,Dep,110.0,2.0,2.0,5995000.0,2000.0,-103.444246,20.688567,,2.0,3,54500.0,01/04/2025,Zap|Jocotán|5995000.0|110.0|Dep
Sep25_75981ed7,Inm24,Zap,Jocotán,Ven,Dep,55.0,1.0,1.0,2990000.0,,-103.444486,20.687427,0.0,1.0,3,54363.63636363636,01/04/2025,Zap|Jocotán|2990000.0|55.0|Dep
Sep25_351a7ff4,Inm24,Zap,Jocotán,Ven,Dep,115.0,2.0,2.0,4590000.0,2200.0,-103.443702,20.688495,48.0,2.0,3,39913.04347826087,01/04/2025,Zap|Jocotán|4590000.0|115.0|Dep
Sep25_d811d564,Inm24,Zap,Jocotán,Ven,Dep,77.0,2.0,2.0,4100000.0,,-103.446209,20.689152,168.0,2.0,5,53246.75324675325,01/04/2025,Zap|Jocotán|4100000.0|77.0|Dep
Sep25_77e0d449,Inm24,Zap,Jocotán,Ven,Dep,63.0,1.0,1.0,2996960.0,1476.0,-103.437924,20.684647,178.0,1.0,0,47570.79365079365,01/04/2025,Zap|Jocotán|2996960.0|63.0|Dep
Sep25_0eabec53,Inm24,Zap,Jocotán,Ven,Dep,42.0,1.0,,2708593.0,,-103.442839,20.688472,193.0,1.0,0,64490.30952380953,01/04/2025,Zap|Jocotán|2708593.0|42.0|Dep
Sep25_f7806952,Inm24,Zap,Jocotán,Ven,Dep,91.0,1.0,,4101000.0,1400.0,-103.443415,20.68852,,1.0,0,45065.93406593407,01/04/2025,Zap|Jocotán|4101000.0|91.0|Dep
Sep25_06018aa4,Inm24,Zap,Jocotán,Ven,Dep,42.0,1.0,1.0,2690000.0,,-103.443666,20.687182,,1.0,0,64047.619047619046,01/04/2025,Zap|Jocotán|2690000.0|42.0|Dep
Sep25_b2d83387,Inm24,Zap,Jocotán,Ven,Dep,42.0,1.0,1.0,2633803.0,1400.0,-103.443415,20.68852,,1.0,0,62709.59523809524,01/04/2025,Zap|Jocotán|2633803.0|42.0|Dep
Sep25_f3ef1461,Inm24,Zap,Jocotán,Ven,Dep,61.0,1.0,1.0,3365264.0,,-103.435785,20.682749,,1.0,0,55168.26229508197,01/04/2025,Zap|Jocotán|3365264.0|61.0|Dep
