id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_085eee1f,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,98.0,2.0,2.0,5800000.0,,-103.413574,20.678304,45.0,2.0,0,59183.67346938775,01/04/2025,Zap|Juan Manuel Vallarta|5800000.0|98.0|Dep
Sep25_d67a42cc,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,102.0,3.0,2.0,6100000.0,,-103.413574,20.678304,45.0,2.0,0,59803.92156862745,01/04/2025,Zap|Juan Manuel Vallarta|6100000.0|102.0|Dep
Sep25_3434dd41,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,91.0,2.0,2.0,5998000.0,,-103.413574,20.678304,92.0,2.0,0,65912.08791208791,01/04/2025,Zap|Juan Manuel Vallarta|5998000.0|91.0|Dep
Sep25_5f7b991a,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,90.0,2.0,2.0,4990000.0,,-103.412348,20.678671,,2.0,5,55444.444444444445,01/04/2025,Zap|Juan Manuel Vallarta|4990000.0|90.0|Dep
Sep25_db8ab57f,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,109.0,2.0,2.0,5550000.0,,-103.411664,20.678443,230.0,2.0,5,50917.43119266055,01/04/2025,Zap|Juan Manuel Vallarta|5550000.0|109.0|Dep
Sep25_6207b8fb,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,73.0,2.0,2.0,4950000.0,,-103.413574,20.678304,31.0,2.0,0,67808.21917808219,01/04/2025,Zap|Juan Manuel Vallarta|4950000.0|73.0|Dep
Sep25_3ddd80d4,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,117.0,3.0,2.0,7655000.0,,-103.413072,20.683311,113.0,3.0,0,65427.35042735043,01/04/2025,Zap|Juan Manuel Vallarta|7655000.0|117.0|Dep
Sep25_884f47cf,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,118.0,2.0,2.0,5995000.0,3223.0,-103.413072,20.683311,21.0,2.0,0,50805.08474576271,01/04/2025,Zap|Juan Manuel Vallarta|5995000.0|118.0|Dep
Sep25_43da9e53,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,104.0,3.0,2.0,6500000.0,,-103.413575,20.67829,164.0,3.0,1,62500.0,01/04/2025,Zap|Juan Manuel Vallarta|6500000.0|104.0|Dep
Sep25_924f117a,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,176.0,2.0,2.0,8347650.0,,-103.413072,20.683311,,2.5,0,47429.829545454544,01/04/2025,Zap|Juan Manuel Vallarta|8347650.0|176.0|Dep
Sep25_e64d6da1,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,60.0,1.0,2.0,3300000.0,,-103.410371,20.679494,,1.0,0,55000.0,01/04/2025,Zap|Juan Manuel Vallarta|3300000.0|60.0|Dep
Sep25_45d6d727,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,100.0,2.0,2.0,5099999.0,,-103.411664,20.678443,105.0,2.0,6,50999.99,01/04/2025,Zap|Juan Manuel Vallarta|5099999.0|100.0|Dep
Sep25_decdd01e,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,120.0,2.0,2.0,4900000.0,,-103.412348,20.678671,342.0,2.0,0,40833.333333333336,01/04/2025,Zap|Juan Manuel Vallarta|4900000.0|120.0|Dep
Sep25_b8d758c8,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,99.0,2.0,2.0,5150000.0,2800.0,-103.411664,20.678443,96.0,2.0,5,52020.20202020202,01/04/2025,Zap|Juan Manuel Vallarta|5150000.0|99.0|Dep
Sep25_e64f7914,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,186.0,3.0,2.0,11400000.0,,-103.413072,20.683311,,3.5,4,61290.32258064516,01/04/2025,Zap|Juan Manuel Vallarta|11400000.0|186.0|Dep
Sep25_1107f9fc,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,60.0,1.0,2.0,3150000.0,,-103.41079,20.679182,,1.0,0,52500.0,01/04/2025,Zap|Juan Manuel Vallarta|3150000.0|60.0|Dep
Sep25_5b6a72d8,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,90.0,1.0,2.0,3300000.0,,-103.41079,20.679182,,1.0,0,36666.66666666666,01/04/2025,Zap|Juan Manuel Vallarta|3300000.0|90.0|Dep
Sep25_c1be4a0c,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,89.0,1.0,2.0,3700000.0,,-103.41079,20.679182,,1.0,0,41573.03370786517,01/04/2025,Zap|Juan Manuel Vallarta|3700000.0|89.0|Dep
Sep25_e716118d,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,137.0,2.0,2.0,7490000.0,4800.0,-103.411799,20.678123,116.0,2.0,5,54671.53284671533,01/04/2025,Zap|Juan Manuel Vallarta|7490000.0|137.0|Dep
Sep25_5d8d1589,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,126.0,2.0,1.0,4996750.0,,-103.412347,20.678672,46.0,2.0,1,39656.74603174603,01/04/2025,Zap|Juan Manuel Vallarta|4996750.0|126.0|Dep
Sep25_2bf61f60,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,73.0,2.0,1.0,5520158.0,,-103.413574,20.678304,16.0,2.0,0,75618.60273972603,01/04/2025,Zap|Juan Manuel Vallarta|5520158.0|73.0|Dep
Sep25_f6332f69,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,138.0,1.0,1.0,7490000.0,4800.0,-103.411799,20.678123,,2.0,5,54275.362318840576,01/04/2025,Zap|Juan Manuel Vallarta|7490000.0|138.0|Dep
Sep25_a6e07a23,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,117.0,3.0,2.0,6786000.0,3500.0,-103.413072,20.683311,66.0,3.0,0,58000.0,01/04/2025,Zap|Juan Manuel Vallarta|6786000.0|117.0|Dep
Sep25_01e8a3be,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,118.0,2.0,2.0,5723000.0,,-103.412972,20.682451,242.0,2.5,0,48500.0,01/04/2025,Zap|Juan Manuel Vallarta|5723000.0|118.0|Dep
Sep25_ec2dcc30,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,117.0,2.0,2.0,7605000.0,,-103.413072,20.683311,222.0,3.0,0,65000.0,01/04/2025,Zap|Juan Manuel Vallarta|7605000.0|117.0|Dep
Sep25_124d751c,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,137.0,3.0,1.0,5863600.0,,-103.412348,20.678671,244.0,2.0,7,42800.0,01/04/2025,Zap|Juan Manuel Vallarta|5863600.0|137.0|Dep
Sep25_63a76c0c,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,118.0,2.0,2.0,5652200.0,1500.0,-103.412972,20.682451,,2.5,0,47900.0,01/04/2025,Zap|Juan Manuel Vallarta|5652200.0|118.0|Dep
Sep25_6f095d0d,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,129.0,2.0,2.0,5500000.0,2500.0,-103.412634,20.678201,187.0,2.0,4,42635.65891472868,01/04/2025,Zap|Juan Manuel Vallarta|5500000.0|129.0|Dep
Sep25_8535e283,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,110.0,3.0,2.0,6200000.0,3860.0,-103.411664,20.678443,9.0,2.0,5,56363.63636363636,01/04/2025,Zap|Juan Manuel Vallarta|6200000.0|110.0|Dep
Sep25_b1cadc78,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,109.0,2.0,2.0,5500000.0,3000.0,-103.412348,20.678671,,2.0,5,50458.71559633027,01/04/2025,Zap|Juan Manuel Vallarta|5500000.0|109.0|Dep
Sep25_cecec21f,Inm24,Zap,Juan Manuel Vallarta,Ven,Dep,118.0,2.0,2.0,6490000.0,,-103.412972,20.682451,24.0,3.0,en construcción,55000.0,01/04/2025,Zap|Juan Manuel Vallarta|6490000.0|118.0|Dep
