id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_89cebc6e,Inm24,Zap,La Calma,Ven,Dep,57.0,1.0,1.0,3980953.0,,-103.42149,20.636182,48.0,1.0,0,69841.28070175438,01/04/2025,Zap|La Calma|3980953.0|57.0|Dep
Sep25_81296122,Inm24,Zap,La Calma,Ven,Dep,80.0,2.0,2.0,4742631.0,2320.0,-103.412358,20.636504,94.0,2.0,0,59282.8875,01/04/2025,Zap|La Calma|4742631.0|80.0|Dep
Sep25_957eb511,Inm24,Zap,La Calma,Ven,Dep,75.0,3.0,2.0,2830000.0,250.0,-103.411643,20.631642,8.0,2.0,0,37733.333333333336,01/04/2025,Zap|La Calma|2830000.0|75.0|Dep
Sep25_d70812e9,Inm24,Zap,La Calma,Ven,Dep,142.0,3.0,1.0,4850000.0,,-103.410915,20.632494,59.0,2.0,10,34154.92957746479,01/04/2025,Zap|La Calma|4850000.0|142.0|Dep
Sep25_27fc77fb,Inm24,Zap,La Calma,Ven,Dep,158.0,3.0,2.0,8810210.0,,-103.412358,20.636504,94.0,3.0,0,55760.82278481012,01/04/2025,Zap|La Calma|8810210.0|158.0|Dep
Sep25_a04cbe5b,Inm24,Zap,La Calma,Ven,Dep,61.0,1.0,1.0,3750000.0,2500.0,-103.42149,20.636182,39.0,1.0,0,61475.40983606558,01/04/2025,Zap|La Calma|3750000.0|61.0|Dep
Sep25_4f03e051,Inm24,Zap,La Calma,Ven,Dep,81.0,2.0,2.0,4742631.0,,-103.412358,20.636504,12.0,2.0,0,58551.0,01/04/2025,Zap|La Calma|4742631.0|81.0|Dep
Sep25_86850ca7,Inm24,Zap,La Calma,Ven,Dep,103.0,3.0,2.0,5000000.0,,-103.413169,20.6357,70.0,2.0,1,48543.68932038835,01/04/2025,Zap|La Calma|5000000.0|103.0|Dep
Sep25_eb261877,Inm24,Zap,La Calma,Ven,Dep,90.0,2.0,1.0,4882680.0,2688.0,-103.412358,20.636504,12.0,2.0,0,54252.0,01/04/2025,Zap|La Calma|4882680.0|90.0|Dep
Sep25_d21702bd,Inm24,Zap,La Calma,Ven,Dep,90.0,2.0,2.0,5900000.0,3691.0,-103.412358,20.636504,305.0,2.0,0,65555.55555555556,01/04/2025,Zap|La Calma|5900000.0|90.0|Dep
Sep25_37b2e964,Inm24,Zap,La Calma,Ven,Dep,78.0,3.0,2.0,3280000.0,350.0,-103.412597,20.63442,29.0,2.0,30,42051.28205128205,01/04/2025,Zap|La Calma|3280000.0|78.0|Dep
Sep25_80667de2,Inm24,Zap,La Calma,Ven,Dep,82.0,3.0,1.0,2950000.0,,-103.417048,20.634223,155.0,2.0,35,35975.60975609756,01/04/2025,Zap|La Calma|2950000.0|82.0|Dep
Sep25_153ae232,Inm24,Zap,La Calma,Ven,Dep,82.0,2.0,2.0,3500000.0,,-103.408022,20.630404,186.0,1.0,6,42682.92682926829,01/04/2025,Zap|La Calma|3500000.0|82.0|Dep
Sep25_7fbad190,Inm24,Zap,La Calma,Ven,Dep,85.0,2.0,2.0,3600000.0,1900.0,-103.40873,20.634683,33.0,2.0,4,42352.94117647059,01/04/2025,Zap|La Calma|3600000.0|85.0|Dep
Sep25_c5edc66b,Inm24,Zap,La Calma,Ven,Dep,78.0,2.0,1.0,2935000.0,,-103.420392,20.632122,9.0,1.0,28,37628.205128205125,01/04/2025,Zap|La Calma|2935000.0|78.0|Dep
Sep25_29f33c25,Inm24,Zap,La Calma,Ven,Dep,85.0,3.0,2.0,3250000.0,400.0,-103.411016,20.635152,164.0,1.0,32,38235.294117647056,01/04/2025,Zap|La Calma|3250000.0|85.0|Dep
Sep25_b1a6a878,Inm24,Zap,La Calma,Ven,Dep,75.0,2.0,2.0,2549000.0,,-103.412932,20.634244,293.0,2.0,35,33986.666666666664,01/04/2025,Zap|La Calma|2549000.0|75.0|Dep
Sep25_a407b6cf,Inm24,Zap,La Calma,Ven,Dep,99.0,2.0,2.0,3650000.0,1900.0,-103.4079,20.630162,364.0,2.0,4,36868.68686868687,01/04/2025,Zap|La Calma|3650000.0|99.0|Dep
Sep25_e8d1c55a,Inm24,Zap,La Calma,Ven,Dep,75.0,2.0,2.0,3450000.0,,-103.408022,20.630404,17.0,1.0,5,46000.0,01/04/2025,Zap|La Calma|3450000.0|75.0|Dep
Sep25_03718d17,Inm24,Zap,La Calma,Ven,Dep,82.0,3.0,2.0,2850000.0,400.0,-103.412351,20.63435,43.0,2.0,20,34756.09756097561,01/04/2025,Zap|La Calma|2850000.0|82.0|Dep
Sep25_85b24110,Inm24,Zap,La Calma,Ven,Dep,90.0,2.0,2.0,3850000.0,1900.0,-103.408022,20.630404,82.0,2.0,3,42777.77777777778,01/04/2025,Zap|La Calma|3850000.0|90.0|Dep
Sep25_a42d56a9,Inm24,Zap,La Calma,Ven,Dep,75.0,2.0,2.0,3199000.0,1850.0,-103.408022,20.630404,20.0,1.0,5,42653.333333333336,01/04/2025,Zap|La Calma|3199000.0|75.0|Dep
