id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_0ea1ee1f,Inm24,Zap,La Ceiba,Ven,Dep,85.0,2.0,1.0,6200000.0,,-103.424808,20.716197,151.0,2.0,0,72941.17647058824,01/09/2025,Zap|La Ceiba|6200000.0|85.0|Dep
Sep25_50c013fe,Inm24,Zap,La Ceiba,Ven,Dep,79.0,2.0,1.0,5490000.0,,-103.425118,20.717055,34.0,2.0,0,69493.67088607595,01/09/2025,Zap|La Ceiba|5490000.0|79.0|Dep
Sep25_0034b443,Inm24,Zap,La Ceiba,Ven,Dep,82.0,2.0,1.0,5200000.0,,-103.425292,20.717499,173.0,2.0,0,63414.634146341465,01/04/2025,Zap|La Ceiba|5200000.0|82.0|Dep
Sep25_b2327600,Inm24,Zap,La Ceiba,Ven,Dep,84.0,2.0,1.0,5300000.0,,-103.425311,20.717585,,2.0,0,63095.23809523809,01/04/2025,Zap|La Ceiba|5300000.0|84.0|Dep
Sep25_e08591a3,Inm24,Zap,La Ceiba,Ven,Dep,86.0,2.0,2.0,6650000.0,4000.0,-103.42519,20.716379,21.0,2.0,1,77325.58139534884,01/04/2025,Zap|La Ceiba|6650000.0|86.0|Dep
Sep25_281e22f0,Inm24,Zap,La Ceiba,Ven,Dep,84.0,2.0,2.0,6261000.0,,-103.42523,20.717985,87.0,2.0,0,74535.71428571429,01/04/2025,Zap|La Ceiba|6261000.0|84.0|Dep
Sep25_c5192951,Inm24,Zap,La Ceiba,Ven,Dep,79.0,2.0,2.0,5990000.0,,-103.425292,20.717499,221.0,2.0,0,75822.78481012658,01/04/2025,Zap|La Ceiba|5990000.0|79.0|Dep
Sep25_10fb5b43,Inm24,Zap,La Ceiba,Ven,Dep,84.0,2.0,1.0,5635800.0,3252.0,-103.42523,20.717985,101.0,2.0,,67092.85714285714,01/04/2025,Zap|La Ceiba|5635800.0|84.0|Dep
Sep25_f6f45408,Inm24,Zap,La Ceiba,Ven,Dep,85.0,2.0,2.0,4990000.0,,-103.424808,20.716197,,2.0,0,58705.882352941175,01/04/2025,Zap|La Ceiba|4990000.0|85.0|Dep
Sep25_d3604974,Inm24,Zap,La Ceiba,Ven,Dep,81.0,2.0,1.0,6424562.0,,-103.42523,20.717985,158.0,2.0,0,79315.58024691358,01/04/2025,Zap|La Ceiba|6424562.0|81.0|Dep
Sep25_b0329d25,Inm24,Zap,La Ceiba,Ven,Dep,84.0,1.0,,6424561.0,,-103.425351,20.716217,27.0,2.0,0,76482.86904761905,01/04/2025,Zap|La Ceiba|6424561.0|84.0|Dep
Sep25_3d7adba9,Inm24,Zap,La Ceiba,Ven,Dep,81.0,2.0,1.0,6108000.0,3075.0,-103.42523,20.717985,99.0,2.0,,75407.4074074074,01/04/2025,Zap|La Ceiba|6108000.0|81.0|Dep
