id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_96a9215e,Inm24,Zap,La Giralda,Ven,Dep,50.0,1.0,,2937828.0,1500.0,-103.407415,20.643714,94.0,1.0,0,58756.56,01/04/2025,Zap|La Giralda|2937828.0|50.0|Dep
Sep25_d8e01b0c,Inm24,Zap,La Giralda,Ven,Dep,80.0,2.0,1.0,2730000.0,300.0,-103.409937,20.643843,24.0,1.0,28,34125.0,01/04/2025,Zap|La Giralda|2730000.0|80.0|Dep
Sep25_91b83ad3,Inm24,Zap,La Giralda,Ven,Dep,90.0,2.0,2.0,4600000.0,3000.0,-103.407415,20.643714,162.0,2.0,0,51111.11111111111,01/04/2025,Zap|La Giralda|4600000.0|90.0|Dep
Sep25_5c841a38,Inm24,Zap,La Giralda,Ven,Dep,92.0,2.0,2.0,4252763.0,,-103.407415,20.643714,225.0,2.0,0,46225.684782608696,01/04/2025,Zap|La Giralda|4252763.0|92.0|Dep
Sep25_c44186ca,Inm24,Zap,La Giralda,Ven,Dep,53.0,1.0,,3013000.0,,-103.407415,20.643714,108.0,1.0,0,56849.056603773584,01/04/2025,Zap|La Giralda|3013000.0|53.0|Dep
Sep25_c8adaae0,Inm24,Zap,La Giralda,Ven,Dep,80.0,2.0,2.0,4736000.0,,-103.407415,20.643714,167.0,2.0,0,59200.0,01/04/2025,Zap|La Giralda|4736000.0|80.0|Dep
Sep25_d70dcd75,Inm24,Zap,La Giralda,Ven,Dep,103.0,3.0,2.0,5880000.0,,-103.407415,20.643714,167.0,2.0,0,57087.3786407767,01/04/2025,Zap|La Giralda|5880000.0|103.0|Dep
Sep25_82e5085e,Inm24,Zap,La Giralda,Ven,Dep,242.0,3.0,2.0,5350000.0,2800.0,-103.404874,20.64319,,3.0,1,22107.43801652893,01/04/2025,Zap|La Giralda|5350000.0|242.0|Dep
Sep25_e77644ca,Inm24,Zap,La Giralda,Ven,Dep,112.0,3.0,2.0,6462948.0,,-103.407415,20.643714,177.0,2.0,0,57704.892857142855,01/04/2025,Zap|La Giralda|6462948.0|112.0|Dep
Sep25_e07958d7,Inm24,Zap,La Giralda,Ven,Dep,102.0,2.0,2.0,5835053.0,,-103.407415,20.643714,177.0,2.0,0,57206.40196078432,01/04/2025,Zap|La Giralda|5835053.0|102.0|Dep
Sep25_ffa54366,Inm24,Zap,La Giralda,Ven,Dep,101.0,3.0,2.0,5467579.0,,-103.407627,20.643549,19.0,2.0,0,54134.44554455446,01/04/2025,Zap|La Giralda|5467579.0|101.0|Dep
Sep25_de502f23,Inm24,Zap,La Giralda,Ven,Dep,53.0,1.0,1.0,2996736.0,,-103.407415,20.643714,177.0,1.0,0,56542.188679245286,01/04/2025,Zap|La Giralda|2996736.0|53.0|Dep
Sep25_6530c6b0,Inm24,Zap,La Giralda,Ven,Dep,115.0,3.0,2.0,5700000.0,,-103.407415,20.643714,2.0,2.0,0,49565.21739130434,01/04/2025,Zap|La Giralda|5700000.0|115.0|Dep
