id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_9168f872,Inm24,Zap,Las Arboledas,Ven,Dep,72.0,2.0,1.0,2750000.0,,-103.421594,20.633156,129.0,1.0,10,38194.444444444445,01/04/2025,Zap|Las Arboledas|2750000.0|72.0|Dep
Sep25_88f0e035,Inm24,Zap,Las Arboledas,Ven,Dep,85.0,3.0,1.0,2580000.0,1.0,-103.429892,20.631162,80.0,2.0,56,30352.941176470587,01/04/2025,Zap|Las Arboledas|2580000.0|85.0|Dep
Sep25_32fbec4e,Inm24,Zap,Las Arboledas,Ven,Dep,85.0,2.0,1.0,2750000.0,,-103.428299,20.632186,197.0,1.0,2,32352.941176470587,01/04/2025,Zap|Las Arboledas|2750000.0|85.0|Dep
Sep25_5b0b3ade,Inm24,Zap,Las Arboledas,Ven,Dep,76.0,2.0,1.0,2750000.0,,-103.428499,20.632111,4.0,1.0,0,36184.21052631579,01/04/2025,Zap|Las Arboledas|2750000.0|76.0|Dep
Sep25_954f3fd2,Inm24,Zap,Las Arboledas,Ven,Dep,85.0,3.0,1.0,2650000.0,,-103.424907,20.634381,184.0,2.0,30,31176.470588235294,01/04/2025,Zap|Las Arboledas|2650000.0|85.0|Dep
Sep25_5c56bce7,Inm24,Zap,Las Arboledas,Ven,Dep,75.0,2.0,1.0,2750000.0,250.0,-103.428284,20.632202,129.0,1.0,1,36666.66666666666,01/04/2025,Zap|Las Arboledas|2750000.0|75.0|Dep
Sep25_5bc3aa33,Inm24,Zap,Las Arboledas,Ven,Dep,84.0,3.0,1.0,2590000.0,200.0,-103.428284,20.632202,,1.0,23,30833.33333333333,01/04/2025,Zap|Las Arboledas|2590000.0|84.0|Dep
Sep25_5fea1041,Inm24,Zap,Las Arboledas,Ven,Dep,90.0,2.0,1.0,4600000.0,3000.0,-103.417183,20.629661,100.0,2.0,2,51111.11111111111,01/04/2025,Zap|Las Arboledas|4600000.0|90.0|Dep
Sep25_8cccc811,Inm24,Zap,Las Arboledas,Ven,Dep,128.0,2.0,2.0,4868500.0,4694.0,-103.428688,20.632369,15.0,2.5,0,38035.15625,01/04/2025,Zap|Las Arboledas|4868500.0|128.0|Dep
Sep25_711a68fc,Inm24,Zap,Las Arboledas,Ven,Dep,77.0,2.0,1.0,2850000.0,,-103.426534,20.626964,71.0,1.0,15,37012.98701298701,01/04/2025,Zap|Las Arboledas|2850000.0|77.0|Dep
Sep25_e2b10ec4,Inm24,Zap,Las Arboledas,Ven,Dep,123.0,3.0,2.0,4605000.0,4694.0,-103.428688,20.632369,14.0,2.0,0,37439.0243902439,01/04/2025,Zap|Las Arboledas|4605000.0|123.0|Dep
Sep25_d300d223,Inm24,Zap,Las Arboledas,Ven,Dep,85.0,3.0,1.0,2290000.0,,-103.429846,20.63114,31.0,2.0,0,26941.176470588234,01/04/2025,Zap|Las Arboledas|2290000.0|85.0|Dep
Sep25_b70b2d8e,Inm24,Zap,Las Arboledas,Ven,Dep,85.0,3.0,1.0,2400000.0,,-103.429892,20.631162,184.0,2.0,35,28235.29411764706,01/04/2025,Zap|Las Arboledas|2400000.0|85.0|Dep
Sep25_bcf9705d,Inm24,Zap,Las Arboledas,Ven,Dep,77.0,2.0,1.0,2790000.0,,-103.426534,20.626964,100.0,1.0,19,36233.76623376623,01/04/2025,Zap|Las Arboledas|2790000.0|77.0|Dep
Sep25_1e66d538,Inm24,Zap,Las Arboledas,Ven,Dep,81.0,2.0,1.0,2539000.0,250.0,-103.428299,20.632186,22.0,1.0,35,31345.67901234568,01/04/2025,Zap|Las Arboledas|2539000.0|81.0|Dep
Sep25_01792dd6,Inm24,Zap,Las Arboledas,Ven,Dep,90.0,3.0,1.0,2950000.0,,-103.429892,20.631162,23.0,2.0,24,32777.77777777778,01/04/2025,Zap|Las Arboledas|2950000.0|90.0|Dep
Sep25_12f7d67a,Inm24,Zap,Las Arboledas,Ven,Dep,76.0,3.0,,2390000.0,,-103.424465,20.627559,67.0,1.0,20,31447.36842105263,01/04/2025,Zap|Las Arboledas|2390000.0|76.0|Dep
