id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_ad245d2f,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,91.0,2.0,2.0,5209000.0,,-103.424406,20.720133,62.0,2.0,3,57241.758241758245,01/04/2025,Zap|Las Lomas Golf Hábitat|5209000.0|91.0|Dep
Sep25_b90ee16d,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,132.0,2.0,2.0,6800000.0,,-103.438191,20.720096,67.0,2.5,2,51515.15151515151,01/04/2025,Zap|Las Lomas Golf Hábitat|6800000.0|132.0|Dep
Sep25_676358fd,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,185.0,3.0,3.0,15200000.0,6567.0,-103.439259,20.720019,161.0,3.5,6,82162.16216216216,01/04/2025,Zap|Las Lomas Golf Hábitat|15200000.0|185.0|Dep
Sep25_31469539,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,311.0,3.0,2.0,11990000.0,6500.0,-103.437179,20.720506,354.0,2.5,15,38553.05466237942,01/04/2025,Zap|Las Lomas Golf Hábitat|11990000.0|311.0|Dep
Sep25_b8cefd97,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,250.0,3.0,3.0,13500000.0,,-103.4385,20.71978,228.0,4.0,0,54000.0,01/04/2025,Zap|Las Lomas Golf Hábitat|13500000.0|250.0|Dep
Sep25_4d83055b,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,158.0,3.0,2.0,7500000.0,4800.0,-103.437526,20.720197,,4.0,1,47468.35443037975,01/04/2025,Zap|Las Lomas Golf Hábitat|7500000.0|158.0|Dep
Sep25_ea29b262,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,230.0,3.0,2.0,8700000.0,4500.0,-103.437179,20.720506,,4.5,15,37826.086956521736,01/04/2025,Zap|Las Lomas Golf Hábitat|8700000.0|230.0|Dep
Sep25_081edb1d,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,238.0,4.0,3.0,12500000.0,,-103.430639,20.721193,,4.5,3,52521.00840336135,01/04/2025,Zap|Las Lomas Golf Hábitat|12500000.0|238.0|Dep
Sep25_4884fad5,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,130.0,3.0,2.0,8085280.0,,-103.438506,20.719773,,3.5,0,62194.46153846154,01/04/2025,Zap|Las Lomas Golf Hábitat|8085280.0|130.0|Dep
Sep25_86aa1450,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,73.0,1.0,2.0,5600000.0,,-103.426244,20.720299,130.0,2.0,1,76712.32876712328,01/04/2025,Zap|Las Lomas Golf Hábitat|5600000.0|73.0|Dep
Sep25_6a722ac2,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,109.0,2.0,2.0,7000000.0,,-103.438082,20.718409,,2.5,1,64220.18348623853,01/04/2025,Zap|Las Lomas Golf Hábitat|7000000.0|109.0|Dep
Sep25_26fd2def,Inm24,Zap,Las Lomas Golf Hábitat,Ven,Dep,135.0,3.0,2.0,12962561.0,,-103.436967,20.714665,19.0,3.0,0,96018.97037037036,01/04/2025,Zap|Las Lomas Golf Hábitat|12962561.0|135.0|Dep
