id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_0a0938f8,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,53.0,1.0,1.0,1950000.0,,-103.40183,20.630791,38.0,1.0,0,36792.45283018868,01/04/2025,Zap|Loma Bonita Ejidal|1950000.0|53.0|Dep
Sep25_e77f31c7,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,124.0,2.0,1.0,2640000.0,,-103.405649,20.627543,,1.0,0,21290.322580645163,01/04/2025,Zap|Loma Bonita Ejidal|2640000.0|124.0|Dep
Sep25_7b875d55,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,258.0,4.0,2.0,5440000.0,,-103.406706,20.62725,,3.0,0,21085.271317829454,01/04/2025,Zap|Loma Bonita Ejidal|5440000.0|258.0|Dep
Sep25_09dda526,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,64.0,1.0,1.0,2613660.0,,-103.404885,20.62524,,1.0,0,40838.4375,01/04/2025,Zap|Loma Bonita Ejidal|2613660.0|64.0|Dep
Sep25_631910c3,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,68.0,1.0,1.0,3337114.0,,-103.404252,20.630132,,1.0,0,49075.205882352944,01/04/2025,Zap|Loma Bonita Ejidal|3337114.0|68.0|Dep
Sep25_3b42f786,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,91.0,2.0,2.0,3800000.0,1500.0,-103.404252,20.630132,328.0,2.0,0,41758.24175824176,01/04/2025,Zap|Loma Bonita Ejidal|3800000.0|91.0|Dep
Sep25_13226367,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,60.0,1.0,1.0,3100000.0,,-103.404579,20.630135,132.0,1.0,0,51666.66666666666,01/04/2025,Zap|Loma Bonita Ejidal|3100000.0|60.0|Dep
Sep25_22b6ec2f,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,134.0,2.0,1.0,2800000.0,,-103.405649,20.627543,,2.0,0,20895.5223880597,01/04/2025,Zap|Loma Bonita Ejidal|2800000.0|134.0|Dep
Sep25_3dc7b350,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,58.0,1.0,1.0,3100000.0,,-103.404252,20.630132,,1.0,0,53448.27586206896,01/04/2025,Zap|Loma Bonita Ejidal|3100000.0|58.0|Dep
Sep25_42ac7006,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,90.0,2.0,2.0,3800000.0,,-103.404252,20.630132,,2.0,0,42222.22222222222,01/04/2025,Zap|Loma Bonita Ejidal|3800000.0|90.0|Dep
Sep25_a8ab6bfa,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,91.0,2.0,2.0,3850000.0,,-103.404252,20.630132,75.0,2.0,0,42307.69230769231,01/04/2025,Zap|Loma Bonita Ejidal|3850000.0|91.0|Dep
Sep25_d6e19467,Inm24,Zap,Loma Bonita Ejidal,Ven,Dep,64.0,1.0,1.0,3503969.0,,-103.404252,20.630132,,1.0,0,54749.515625,01/04/2025,Zap|Loma Bonita Ejidal|3503969.0|64.0|Dep
