id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_d60cfccb,Inm24,Zap,Lomas Altas,Ven,Dep,238.0,3.0,2.0,14500000.0,,-103.412163,20.68428,103.0,3.5,0,60924.36974789916,01/09/2025,Zap|Lomas Altas|14500000.0|238.0|Dep
Sep25_df145bad,Inm24,Zap,Lomas Altas,Ven,Dep,68.0,2.0,1.0,2950000.0,200.0,-103.410844,20.683002,211.0,1.0,21,43382.35294117647,01/04/2025,Zap|Lomas Altas|2950000.0|68.0|Dep
Sep25_cd8a26af,Inm24,Zap,Lomas Altas,Ven,Dep,187.0,2.0,2.0,8450000.0,,-103.41,20.684879,28.0,3.5,10,45187.16577540107,01/04/2025,Zap|Lomas Altas|8450000.0|187.0|Dep
Sep25_a9582254,Inm24,Zap,Lomas Altas,Ven,Dep,100.0,3.0,2.0,4680000.0,1500.0,-103.413618,20.685918,38.0,2.0,20,46800.0,01/04/2025,Zap|Lomas Altas|4680000.0|100.0|Dep
Sep25_7f6313fc,Inm24,Zap,Lomas Altas,Ven,Dep,113.0,2.0,2.0,7600000.0,3200.0,-103.41,20.684879,17.0,2.0,6,67256.63716814159,01/04/2025,Zap|Lomas Altas|7600000.0|113.0|Dep
Sep25_ea5b49f3,Inm24,Zap,Lomas Altas,Ven,Dep,186.0,3.0,1.0,11700000.0,,-103.413833,20.685667,316.0,2.5,0,62903.22580645161,01/04/2025,Zap|Lomas Altas|11700000.0|186.0|Dep
Sep25_3fb15364,Inm24,Zap,Lomas Altas,Ven,Dep,117.0,2.0,2.0,5890000.0,2000.0,-103.413961,20.686031,53.0,2.5,,50341.88034188034,01/04/2025,Zap|Lomas Altas|5890000.0|117.0|Dep
Sep25_6e9fe951,Inm24,Zap,Lomas Altas,Ven,Dep,120.0,3.0,2.0,8500000.0,3105.0,-103.411535,20.687036,,2.5,3,70833.33333333333,01/04/2025,Zap|Lomas Altas|8500000.0|120.0|Dep
Sep25_24c6aa42,Inm24,Zap,Lomas Altas,Ven,Dep,279.0,3.0,3.0,13150000.0,7390.0,-103.412134,20.684288,49.0,3.0,6,47132.6164874552,01/04/2025,Zap|Lomas Altas|13150000.0|279.0|Dep
Sep25_0651be21,Inm24,Zap,Lomas Altas,Ven,Dep,117.0,2.0,2.0,6435000.0,,-103.414191,20.686357,,2.5,0,55000.0,01/04/2025,Zap|Lomas Altas|6435000.0|117.0|Dep
Sep25_888950a0,Inm24,Zap,Lomas Altas,Ven,Dep,73.0,2.0,2.0,3450000.0,,-103.40911,20.682341,357.0,1.0,15,47260.27397260274,01/04/2025,Zap|Lomas Altas|3450000.0|73.0|Dep
Sep25_ba560c63,Inm24,Zap,Lomas Altas,Ven,Dep,231.0,3.0,3.0,14500000.0,,-103.412099,20.684599,243.0,3.5,6,62770.56277056277,01/04/2025,Zap|Lomas Altas|14500000.0|231.0|Dep
Sep25_e0b29254,Inm24,Zap,Lomas Altas,Ven,Dep,154.0,2.0,2.0,8500000.0,,-103.410487,20.684996,325.0,2.5,15,55194.8051948052,01/04/2025,Zap|Lomas Altas|8500000.0|154.0|Dep
Sep25_adc320a7,Inm24,Zap,Lomas Altas,Ven,Dep,187.0,2.0,2.0,8451000.0,4700.0,-103.410487,20.684996,,2.5,5,45192.51336898396,01/04/2025,Zap|Lomas Altas|8451000.0|187.0|Dep
Sep25_53001ffb,Inm24,Zap,Lomas Altas,Ven,Dep,186.0,2.0,2.0,7995000.0,2955.0,-103.408701,20.687571,207.0,2.5,10,42983.87096774193,01/04/2025,Zap|Lomas Altas|7995000.0|186.0|Dep
