id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_36f266cf,Inm24,Zap,Lomas de Zapopan,Ven,Dep,62.0,2.0,1.0,1500000.0,,-103.396676,20.745738,62.0,1.0,35,24193.548387096773,01/04/2025,Zap|Lomas de Zapopan|1500000.0|62.0|Dep
Sep25_feb72c9f,Inm24,Zap,Lomas de Zapopan,Ven,Dep,55.0,2.0,1.0,1600000.0,,-103.394308,20.748371,37.0,1.0,30,29090.90909090909,01/04/2025,Zap|Lomas de Zapopan|1600000.0|55.0|Dep
Sep25_5e4ea74d,Inm24,Zap,Lomas de Zapopan,Ven,Dep,85.0,2.0,2.0,4900000.0,,-103.397387,20.740243,179.0,2.0,0,57647.05882352941,01/04/2025,Zap|Lomas de Zapopan|4900000.0|85.0|Dep
Sep25_24fae059,Inm24,Zap,Lomas de Zapopan,Ven,Dep,68.0,3.0,1.0,1690000.0,,-103.398818,20.745148,29.0,1.0,30,24852.941176470587,01/04/2025,Zap|Lomas de Zapopan|1690000.0|68.0|Dep
Sep25_e13accf3,Inm24,Zap,Lomas de Zapopan,Ven,Dep,69.0,2.0,1.0,2590000.0,,-103.396924,20.7445,217.0,2.0,0,37536.23188405797,01/04/2025,Zap|Lomas de Zapopan|2590000.0|69.0|Dep
Sep25_2c487272,Inm24,Zap,Lomas de Zapopan,Ven,Dep,69.0,2.0,1.0,2690000.0,,-103.396924,20.7445,218.0,2.0,0,38985.50724637681,01/04/2025,Zap|Lomas de Zapopan|2690000.0|69.0|Dep
Sep25_29d4570c,Inm24,Zap,Lomas de Zapopan,Ven,Dep,98.0,3.0,2.0,4100000.0,,-103.396012,20.74427,,2.0,0,41836.73469387755,01/04/2025,Zap|Lomas de Zapopan|4100000.0|98.0|Dep
Sep25_ff14ea0c,Inm24,Zap,Lomas de Zapopan,Ven,Dep,77.0,2.0,2.0,3170000.0,,-103.396012,20.74427,,2.0,0,41168.831168831166,01/04/2025,Zap|Lomas de Zapopan|3170000.0|77.0|Dep
Sep25_9279ab38,Inm24,Zap,Lomas de Zapopan,Ven,Dep,70.0,2.0,1.0,2550000.0,,-103.396012,20.74427,,2.0,5,36428.57142857143,01/04/2025,Zap|Lomas de Zapopan|2550000.0|70.0|Dep
Sep25_9ecc2fcd,Inm24,Zap,Lomas de Zapopan,Ven,Dep,55.0,2.0,1.0,1350000.0,,-103.400059,20.743773,,1.0,5,24545.454545454544,01/04/2025,Zap|Lomas de Zapopan|1350000.0|55.0|Dep
Sep25_9ce71002,Inm24,Zap,Lomas de Zapopan,Ven,Dep,52.0,2.0,1.0,1370000.0,,-103.401546,20.746005,47.0,1.0,15,26346.153846153848,01/04/2025,Zap|Lomas de Zapopan|1370000.0|52.0|Dep
Sep25_16789125,Inm24,Zap,Lomas de Zapopan,Ven,Dep,99.0,2.0,1.0,1700000.0,,-103.398567,20.744933,26.0,1.0,1,17171.717171717173,01/04/2025,Zap|Lomas de Zapopan|1700000.0|99.0|Dep
