id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_933cc51e,Inm24,Zap,Mirador del Sol,Ven,Dep,147.0,2.0,2.0,6300000.0,,-103.418352,20.648496,75.0,2.0,1,42857.142857142855,01/04/2025,Zap|Mirador del Sol|6300000.0|147.0|Dep
Sep25_e04cabc6,Inm24,Zap,Mirador del Sol,Ven,Dep,99.0,2.0,2.0,7775000.0,,-103.418547,20.652428,31.0,2.0,0,78535.35353535354,01/04/2025,Zap|Mirador del Sol|7775000.0|99.0|Dep
Sep25_f595ab64,Inm24,Zap,Mirador del Sol,Ven,Dep,45.0,1.0,1.0,2741185.0,,-103.418308,20.648493,30.0,1.0,0,60915.22222222222,01/04/2025,Zap|Mirador del Sol|2741185.0|45.0|Dep
Sep25_5478c8fd,Inm24,Zap,Mirador del Sol,Ven,Dep,141.0,2.0,2.0,5657421.0,,-103.418155,20.648593,42.0,2.0,1,40123.55319148936,01/04/2025,Zap|Mirador del Sol|5657421.0|141.0|Dep
Sep25_806b8947,Inm24,Zap,Mirador del Sol,Ven,Dep,87.0,2.0,1.0,4350000.0,1750.0,-103.424367,20.655937,30.0,1.0,2,50000.0,01/04/2025,Zap|Mirador del Sol|4350000.0|87.0|Dep
Sep25_98b00033,Inm24,Zap,Mirador del Sol,Ven,Dep,98.0,2.0,2.0,4550000.0,2500.0,-103.418352,20.648496,83.0,2.0,5,46428.57142857143,01/04/2025,Zap|Mirador del Sol|4550000.0|98.0|Dep
Sep25_5b6a6bbc,Inm24,Zap,Mirador del Sol,Ven,Dep,143.0,3.0,2.0,6649927.0,2860.0,-103.424267,20.655988,,3.5,0,46502.98601398602,01/04/2025,Zap|Mirador del Sol|6649927.0|143.0|Dep
Sep25_991f6857,Inm24,Zap,Mirador del Sol,Ven,Dep,127.0,2.0,2.0,7000000.0,3200.0,-103.418352,20.648496,79.0,2.0,5,55118.11023622047,01/04/2025,Zap|Mirador del Sol|7000000.0|127.0|Dep
Sep25_1f72cca7,Inm24,Zap,Mirador del Sol,Ven,Dep,107.0,2.0,2.0,4880000.0,,-103.418244,20.650184,211.0,2.0,0,45607.47663551402,01/04/2025,Zap|Mirador del Sol|4880000.0|107.0|Dep
Sep25_5c178292,Inm24,Zap,Mirador del Sol,Ven,Dep,114.0,2.0,2.0,5629700.0,,-103.418308,20.648493,30.0,2.0,0,49383.333333333336,01/04/2025,Zap|Mirador del Sol|5629700.0|114.0|Dep
Sep25_56bf69bd,Inm24,Zap,Mirador del Sol,Ven,Dep,108.0,2.0,2.0,4880150.0,,-103.418308,20.648493,30.0,2.0,0,45186.57407407407,01/04/2025,Zap|Mirador del Sol|4880150.0|108.0|Dep
Sep25_bf0235c5,Inm24,Zap,Mirador del Sol,Ven,Dep,70.0,1.0,1.0,4250000.0,1750.0,-103.42439,20.655948,148.0,1.0,0,60714.28571428572,01/04/2025,Zap|Mirador del Sol|4250000.0|70.0|Dep
Sep25_8dc99d94,Inm24,Zap,Mirador del Sol,Ven,Dep,70.0,1.0,1.0,4050000.0,,-103.424367,20.655937,,1.0,0,57857.142857142855,01/04/2025,Zap|Mirador del Sol|4050000.0|70.0|Dep
Sep25_2a1c564b,Inm24,Zap,Mirador del Sol,Ven,Dep,140.0,3.0,2.0,6649927.0,,-103.424267,20.655988,,3.5,0,47499.47857142857,01/04/2025,Zap|Mirador del Sol|6649927.0|140.0|Dep
Sep25_57b4825b,Inm24,Zap,Mirador del Sol,Ven,Dep,140.0,2.0,2.0,6500000.0,,-103.418352,20.648496,249.0,2.0,4,46428.57142857143,01/04/2025,Zap|Mirador del Sol|6500000.0|140.0|Dep
Sep25_8420f08f,Inm24,Zap,Mirador del Sol,Ven,Dep,103.0,2.0,2.0,5461661.0,2575.0,-103.424367,20.655937,,2.5,0,53025.83495145631,01/04/2025,Zap|Mirador del Sol|5461661.0|103.0|Dep
Sep25_b3d413e1,Inm24,Zap,Mirador del Sol,Ven,Dep,117.0,2.0,2.0,6300000.0,,-103.418046,20.647873,331.0,2.0,1,53846.15384615384,01/04/2025,Zap|Mirador del Sol|6300000.0|117.0|Dep
Sep25_21e3d272,Inm24,Zap,Mirador del Sol,Ven,Dep,111.0,2.0,,5233000.0,,-103.418352,20.648496,355.0,2.0,0,47144.14414414414,01/04/2025,Zap|Mirador del Sol|5233000.0|111.0|Dep
Sep25_431bc6d5,Inm24,Zap,Mirador del Sol,Ven,Dep,142.0,2.0,2.0,5657421.0,,-103.418308,20.648493,13.0,2.0,0,39840.99295774648,01/04/2025,Zap|Mirador del Sol|5657421.0|142.0|Dep
Sep25_2debf822,Inm24,Zap,Mirador del Sol,Ven,Dep,102.0,2.0,2.0,5300000.0,3000.0,-103.42439,20.655948,,2.5,0,51960.78431372549,01/04/2025,Zap|Mirador del Sol|5300000.0|102.0|Dep
Sep25_385d2820,Inm24,Zap,Mirador del Sol,Ven,Dep,140.0,3.0,2.0,6650000.0,3500.0,-103.42439,20.655948,,3.5,0,47500.0,01/04/2025,Zap|Mirador del Sol|6650000.0|140.0|Dep
Sep25_d6e3f2bf,Inm24,Zap,Mirador del Sol,Ven,Dep,83.0,2.0,1.0,3800000.0,,-103.418352,20.648496,106.0,1.0,0,45783.132530120485,01/04/2025,Zap|Mirador del Sol|3800000.0|83.0|Dep
