id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_a8fc5e80,Inm24,Zap,Paseos del Sol,Ven,Dep,58.0,2.0,1.0,2190000.0,,-103.428297,20.634401,102.0,1.0,25,37758.62068965517,01/04/2025,Zap|Paseos del Sol|2190000.0|58.0|Dep
Sep25_11fc46fc,Inm24,Zap,Paseos del Sol,Ven,Dep,78.0,2.0,1.0,2300000.0,,-103.428256,20.633237,2.0,1.0,20,29487.17948717949,01/04/2025,Zap|Paseos del Sol|2300000.0|78.0|Dep
Sep25_251ebe55,Inm24,Zap,Paseos del Sol,Ven,Dep,79.0,2.0,1.0,2300000.0,,-103.428256,20.633237,5.0,1.0,0,29113.92405063291,01/04/2025,Zap|Paseos del Sol|2300000.0|79.0|Dep
Sep25_d84981e7,Inm24,Zap,Paseos del Sol,Ven,Dep,65.0,2.0,1.0,2700000.0,,-103.430055,20.629453,24.0,1.0,30,41538.46153846154,01/04/2025,Zap|Paseos del Sol|2700000.0|65.0|Dep
Sep25_a995383e,Inm24,Zap,Paseos del Sol,Ven,Dep,73.0,2.0,2.0,3100000.0,2000.0,-103.43464,20.631072,141.0,2.0,0,42465.75342465754,01/04/2025,Zap|Paseos del Sol|3100000.0|73.0|Dep
Sep25_e6e0acb2,Inm24,Zap,Paseos del Sol,Ven,Dep,80.0,2.0,1.0,2590000.0,,-103.436164,20.641509,,1.0,20,32375.0,01/04/2025,Zap|Paseos del Sol|2590000.0|80.0|Dep
Sep25_e6396d4b,Inm24,Zap,Paseos del Sol,Ven,Dep,82.0,2.0,1.0,2590000.0,,-103.437594,20.640226,28.0,1.0,30,31585.36585365853,01/04/2025,Zap|Paseos del Sol|2590000.0|82.0|Dep
Sep25_84401ca9,Inm24,Zap,Paseos del Sol,Ven,Dep,118.0,3.0,2.0,4899500.0,,-103.434761,20.630499,21.0,2.0,0,41521.18644067797,01/04/2025,Zap|Paseos del Sol|4899500.0|118.0|Dep
Sep25_1066bd00,Inm24,Zap,Paseos del Sol,Ven,Dep,128.0,2.0,2.0,4941500.0,,-103.434761,20.630499,306.0,2.5,3,38605.46875,01/04/2025,Zap|Paseos del Sol|4941500.0|128.0|Dep
Sep25_aa1dfb4c,Inm24,Zap,Paseos del Sol,Ven,Dep,123.0,3.0,2.0,4674500.0,,-103.434761,20.630499,,2.0,0,38004.06504065041,01/04/2025,Zap|Paseos del Sol|4674500.0|123.0|Dep
Sep25_af1df4d0,Inm24,Zap,Paseos del Sol,Ven,Dep,58.0,2.0,1.0,2050000.0,,-103.428329,20.634255,27.0,1.0,25,35344.8275862069,01/04/2025,Zap|Paseos del Sol|2050000.0|58.0|Dep
Sep25_37ed15e4,Inm24,Zap,Paseos del Sol,Ven,Dep,78.0,2.0,1.0,2550000.0,,-103.423803,20.636011,,1.0,40,32692.30769230769,01/04/2025,Zap|Paseos del Sol|2550000.0|78.0|Dep
Sep25_6461b9aa,Inm24,Zap,Paseos del Sol,Ven,Dep,60.0,2.0,1.0,2350000.0,,-103.431003,20.639571,22.0,1.0,10,39166.66666666666,01/04/2025,Zap|Paseos del Sol|2350000.0|60.0|Dep
Sep25_5943c10b,Inm24,Zap,Paseos del Sol,Ven,Dep,60.0,2.0,1.0,1950000.0,,-103.43623,20.640104,290.0,1.0,30,32500.0,01/04/2025,Zap|Paseos del Sol|1950000.0|60.0|Dep
Sep25_820ba90b,Inm24,Zap,Paseos del Sol,Ven,Dep,58.0,2.0,1.0,2100000.0,,-103.431935,20.63873,188.0,1.0,20,36206.89655172414,01/04/2025,Zap|Paseos del Sol|2100000.0|58.0|Dep
Sep25_c9a82a8c,Inm24,Zap,Paseos del Sol,Ven,Dep,67.0,2.0,1.0,2050000.0,,-103.424226,20.637525,13.0,1.0,0,30597.014925373136,01/04/2025,Zap|Paseos del Sol|2050000.0|67.0|Dep
Sep25_135d6a5d,Inm24,Zap,Paseos del Sol,Ven,Dep,80.0,2.0,1.0,2300000.0,,-103.429503,20.637353,1.0,1.0,31,28750.0,01/04/2025,Zap|Paseos del Sol|2300000.0|80.0|Dep
Sep25_31fb31dd,Inm24,Zap,Paseos del Sol,Ven,Dep,69.0,2.0,1.0,2100000.0,,-103.436088,20.640385,170.0,1.0,25,30434.78260869565,01/04/2025,Zap|Paseos del Sol|2100000.0|69.0|Dep
Sep25_f7c04344,Inm24,Zap,Paseos del Sol,Ven,Dep,200.0,4.0,1.0,20000000.0,,-103.429589,20.637413,41.0,3.0,0,100000.0,01/04/2025,Zap|Paseos del Sol|20000000.0|200.0|Dep
Sep25_953aa011,Inm24,Zap,Paseos del Sol,Ven,Dep,77.0,2.0,1.0,2200000.0,,-103.429349,20.640388,57.0,1.0,42,28571.42857142857,01/04/2025,Zap|Paseos del Sol|2200000.0|77.0|Dep
Sep25_a16b02aa,Inm24,Zap,Paseos del Sol,Ven,Dep,56.0,1.0,1.0,2550000.0,,-103.435408,20.631008,66.0,1.5,0,45535.71428571428,01/04/2025,Zap|Paseos del Sol|2550000.0|56.0|Dep
