id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_57f662a7,Inm24,Zap,Poniente,Ven,Dep,104.0,2.0,2.0,5495000.0,3300.0,-103.421918,20.722816,,2.0,1,52836.53846153846,01/09/2025,Zap|Poniente|5495000.0|104.0|Dep
Sep25_ae8445d9,Inm24,Zap,Poniente,Ven,Dep,152.0,3.0,2.0,7800000.0,1.0,-103.422818,20.722873,113.0,2.0,3,51315.78947368421,01/09/2025,Zap|Poniente|7800000.0|152.0|Dep
Sep25_35c69792,Inm24,Zap,Poniente,Ven,Dep,64.0,1.0,1.0,4150000.0,,-103.422212,20.72263,92.0,1.0,1,64843.75,01/09/2025,Zap|Poniente|4150000.0|64.0|Dep
Sep25_d81649f6,Inm24,Zap,Poniente,Ven,Dep,129.0,2.0,3.0,5900000.0,,-103.422108,20.72276,,2.0,2,45736.43410852713,01/09/2025,Zap|Poniente|5900000.0|129.0|Dep
Sep25_01c23cc0,Inm24,Zap,Poniente,Ven,Dep,75.0,2.0,2.0,6150000.0,,-103.426657,20.721612,27.0,2.0,2,82000.0,01/09/2025,Zap|Poniente|6150000.0|75.0|Dep
Sep25_5774d4c9,Inm24,Zap,Poniente,Ven,Dep,208.0,3.0,2.0,13800000.0,6255.0,-103.421846,20.722811,25.0,4.5,1,66346.15384615384,01/04/2025,Zap|Poniente|13800000.0|208.0|Dep
Sep25_c44721bc,Inm24,Zap,Poniente,Ven,Dep,105.0,2.0,2.0,7200000.0,2000.0,-103.430323,20.724412,,2.5,0,68571.42857142857,01/04/2025,Zap|Poniente|7200000.0|105.0|Dep
Sep25_15bbdfb1,Inm24,Zap,Poniente,Ven,Dep,114.0,3.0,2.0,8800000.0,5200.0,-103.422212,20.72263,213.0,2.0,2,77192.98245614035,01/04/2025,Zap|Poniente|8800000.0|114.0|Dep
Sep25_209f792b,Inm24,Zap,Poniente,Ven,Dep,151.0,3.0,2.0,8799000.0,,-103.426373,20.724032,177.0,2.5,5,58271.52317880795,01/04/2025,Zap|Poniente|8799000.0|151.0|Dep
Sep25_36d72f95,Inm24,Zap,Poniente,Ven,Dep,91.0,2.0,2.0,6650000.0,,-103.42221,20.722706,43.0,2.0,2,73076.92307692308,01/04/2025,Zap|Poniente|6650000.0|91.0|Dep
Sep25_450275e1,Inm24,Zap,Poniente,Ven,Dep,139.0,2.0,2.0,8350000.0,4000.0,-103.426371,20.72103,162.0,2.5,0,60071.94244604316,01/04/2025,Zap|Poniente|8350000.0|139.0|Dep
Sep25_b503fdf1,Inm24,Zap,Poniente,Ven,Dep,194.0,2.0,2.0,8900000.0,3000.0,-103.430458,20.724688,322.0,2.5,12,45876.28865979381,01/04/2025,Zap|Poniente|8900000.0|194.0|Dep
Sep25_f15d415a,Inm24,Zap,Poniente,Ven,Dep,73.0,1.0,2.0,5600000.0,2562.0,-103.426406,20.721012,161.0,1.5,1,76712.32876712328,01/04/2025,Zap|Poniente|5600000.0|73.0|Dep
Sep25_f7e25d3e,Inm24,Zap,Poniente,Ven,Dep,151.0,3.0,2.0,7700000.0,,-103.422212,20.72263,,2.0,0,50993.377483443706,01/04/2025,Zap|Poniente|7700000.0|151.0|Dep
Sep25_59ddcd10,Inm24,Zap,Poniente,Ven,Dep,60.0,2.0,2.0,4800000.0,,-103.426371,20.72103,16.0,2.0,0,80000.0,01/04/2025,Zap|Poniente|4800000.0|60.0|Dep
Sep25_4c13afe9,Inm24,Zap,Poniente,Ven,Dep,60.0,1.0,1.0,3625000.0,1800.0,-103.422108,20.72276,240.0,1.0,0,60416.66666666666,01/04/2025,Zap|Poniente|3625000.0|60.0|Dep
Sep25_0363114d,Inm24,Zap,Poniente,Ven,Dep,125.0,2.0,2.0,6650000.0,,-103.422212,20.72263,,2.0,0,53200.0,01/04/2025,Zap|Poniente|6650000.0|125.0|Dep
Sep25_1c0f52fe,Inm24,Zap,Poniente,Ven,Dep,114.0,3.0,2.0,7700000.0,,-103.42221,20.722706,43.0,2.0,2,67543.85964912281,01/04/2025,Zap|Poniente|7700000.0|114.0|Dep
Sep25_04771d49,Inm24,Zap,Poniente,Ven,Dep,109.0,2.0,2.0,6800000.0,3200.0,-103.422212,20.72263,113.0,2.0,5,62385.32110091744,01/04/2025,Zap|Poniente|6800000.0|109.0|Dep
Sep25_1e85b4cf,Inm24,Zap,Poniente,Ven,Dep,108.0,2.0,2.0,7200000.0,,-103.426498,20.720983,266.0,2.5,1,66666.66666666667,01/04/2025,Zap|Poniente|7200000.0|108.0|Dep
Sep25_2d53967b,Inm24,Zap,Poniente,Ven,Dep,60.0,1.0,1.0,3550000.0,,-103.42221,20.722706,,1.0,0,59166.66666666666,01/04/2025,Zap|Poniente|3550000.0|60.0|Dep
Sep25_cc75c590,Inm24,Zap,Poniente,Ven,Dep,115.0,3.0,2.0,5499000.0,3000.0,-103.422825,20.722401,,2.0,2,47817.391304347824,01/04/2025,Zap|Poniente|5499000.0|115.0|Dep
Sep25_436d7caa,Inm24,Zap,Poniente,Ven,Dep,92.0,2.0,2.0,6100000.0,,-103.426371,20.72103,,2.0,0,66304.34782608696,01/04/2025,Zap|Poniente|6100000.0|92.0|Dep
Sep25_528cada9,Inm24,Zap,Poniente,Ven,Dep,150.0,3.0,1.0,9800000.0,4500.0,-103.426974,20.721484,53.0,2.5,2,65333.333333333336,01/04/2025,Zap|Poniente|9800000.0|150.0|Dep
Sep25_48eb9afa,Inm24,Zap,Poniente,Ven,Dep,69.0,2.0,2.0,5200000.0,2500.0,-103.426974,20.721484,33.0,2.0,,75362.31884057971,01/04/2025,Zap|Poniente|5200000.0|69.0|Dep
Sep25_e377552b,Inm24,Zap,Poniente,Ven,Dep,73.0,1.0,2.0,5950000.0,,-103.426705,20.72103,240.0,2.0,,81506.8493150685,01/04/2025,Zap|Poniente|5950000.0|73.0|Dep
Sep25_4a98808b,Inm24,Zap,Poniente,Ven,Dep,150.0,3.0,2.0,6900000.0,,-103.422212,20.72263,245.0,2.0,1,46000.0,01/04/2025,Zap|Poniente|6900000.0|150.0|Dep
Sep25_27bc1464,Inm24,Zap,Poniente,Ven,Dep,68.0,2.0,2.0,5200000.0,2405.0,-103.426406,20.721012,55.0,2.0,,76470.58823529411,01/04/2025,Zap|Poniente|5200000.0|68.0|Dep
Sep25_c0bfdb5e,Inm24,Zap,Poniente,Ven,Dep,110.0,2.0,2.0,5910700.0,3000.0,-103.430323,20.724412,341.0,2.0,0,53733.63636363636,01/04/2025,Zap|Poniente|5910700.0|110.0|Dep
Sep25_12ec20e9,Inm24,Zap,Poniente,Ven,Dep,182.0,3.0,2.0,7800000.0,,-103.422212,20.72263,,2.5,1,42857.142857142855,01/04/2025,Zap|Poniente|7800000.0|182.0|Dep
Sep25_20221599,Inm24,Zap,Poniente,Ven,Dep,77.0,2.0,2.0,5850000.0,6050000.0,-103.426406,20.721012,206.0,2.0,,75974.02597402598,01/04/2025,Zap|Poniente|5850000.0|77.0|Dep
Sep25_c9a1c5dd,Inm24,Zap,Poniente,Ven,Dep,143.0,3.0,2.0,6200000.0,,-103.426373,20.724032,228.0,3.0,4,43356.64335664336,01/04/2025,Zap|Poniente|6200000.0|143.0|Dep
Sep25_d1ef9ecc,Inm24,Zap,Poniente,Ven,Dep,108.0,2.0,2.0,7400000.0,,-103.426406,20.721012,206.0,2.5,,68518.51851851853,01/04/2025,Zap|Poniente|7400000.0|108.0|Dep
Sep25_de5ca300,Inm24,Zap,Poniente,Ven,Dep,85.0,2.0,2.0,4800000.0,,-103.430568,20.725066,93.0,2.5,2,56470.58823529412,01/04/2025,Zap|Poniente|4800000.0|85.0|Dep
Sep25_79e9e0b3,Inm24,Zap,Poniente,Ven,Dep,199.0,2.0,2.0,8500000.0,,-103.422108,20.72276,234.0,2.0,0,42713.56783919598,01/04/2025,Zap|Poniente|8500000.0|199.0|Dep
Sep25_63e9cb2c,Inm24,Zap,Poniente,Ven,Dep,100.0,2.0,2.0,5100000.0,,-103.422212,20.72263,205.0,2.0,2,51000.0,01/04/2025,Zap|Poniente|5100000.0|100.0|Dep
Sep25_2c2ea52b,Inm24,Zap,Poniente,Ven,Dep,105.0,2.0,2.0,8000000.0,,-103.426974,20.721484,51.0,2.5,0,76190.47619047618,01/04/2025,Zap|Poniente|8000000.0|105.0|Dep
Sep25_13575982,Inm24,Zap,Poniente,Ven,Dep,128.0,2.0,3.0,6200000.0,3500.0,-103.422108,20.72276,70.0,2.0,5,48437.5,01/04/2025,Zap|Poniente|6200000.0|128.0|Dep
Sep25_ed74db44,Inm24,Zap,Poniente,Ven,Dep,93.0,2.0,2.0,5450000.0,,-103.422108,20.72276,354.0,2.0,4,58602.15053763441,01/04/2025,Zap|Poniente|5450000.0|93.0|Dep
