id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_09a107f9,Inm24,Zap,Puerta del Valle,Ven,Dep,85.0,2.0,2.0,4550000.0,,-103.420312,20.724888,199.0,2.0,0,53529.41176470588,01/04/2025,Zap|Puerta del Valle|4550000.0|85.0|Dep
Sep25_1da816e1,Inm24,Zap,Puerta del Valle,Ven,Dep,85.0,2.0,2.0,5870000.0,1500.0,-103.42021,20.724877,90.0,2.0,0,69058.82352941176,01/04/2025,Zap|Puerta del Valle|5870000.0|85.0|Dep
Sep25_68e0c142,Inm24,Zap,Puerta del Valle,Ven,Dep,85.0,2.0,2.0,5165600.0,2100.0,-103.420218,20.725473,260.0,2.0,0,60771.76470588235,01/04/2025,Zap|Puerta del Valle|5165600.0|85.0|Dep
Sep25_f6c7864d,Inm24,Zap,Puerta del Valle,Ven,Dep,114.0,3.0,2.0,6500000.0,2750.0,-103.420312,20.724888,241.0,3.0,0,57017.54385964912,01/04/2025,Zap|Puerta del Valle|6500000.0|114.0|Dep
Sep25_92f958ce,Inm24,Zap,Puerta del Valle,Ven,Dep,61.0,1.0,2.0,4450000.0,2750.0,-103.42021,20.724877,34.0,1.0,0,72950.81967213115,01/04/2025,Zap|Puerta del Valle|4450000.0|61.0|Dep
Sep25_2e085f28,Inm24,Zap,Puerta del Valle,Ven,Dep,114.0,3.0,2.0,6390000.0,,-103.420312,20.724888,,3.0,0,56052.63157894737,01/04/2025,Zap|Puerta del Valle|6390000.0|114.0|Dep
Sep25_b40aaaaa,Inm24,Zap,Puerta del Valle,Ven,Dep,85.0,2.0,2.0,5940000.0,2100.0,-103.420312,20.724888,61.0,2.0,0,69882.35294117648,01/04/2025,Zap|Puerta del Valle|5940000.0|85.0|Dep
Sep25_e259737e,Inm24,Zap,Puerta del Valle,Ven,Dep,61.0,1.0,2.0,4500000.0,1500.0,-103.420312,20.724888,224.0,2.0,0,73770.4918032787,01/04/2025,Zap|Puerta del Valle|4500000.0|61.0|Dep
Sep25_98704c36,Inm24,Zap,Puerta del Valle,Ven,Dep,85.0,2.0,2.0,5100000.0,2100.0,-103.420312,20.724888,244.0,2.0,2,60000.0,01/04/2025,Zap|Puerta del Valle|5100000.0|85.0|Dep
Sep25_46e25b8d,Inm24,Zap,Puerta del Valle,Ven,Dep,104.0,2.0,2.0,6690000.0,,-103.421557,20.724849,199.0,2.0,2,64326.92307692308,01/04/2025,Zap|Puerta del Valle|6690000.0|104.0|Dep
Sep25_7e8af201,Inm24,Zap,Puerta del Valle,Ven,Dep,85.0,2.0,2.0,5166000.0,2750.0,-103.420312,20.724888,234.0,2.0,0,60776.470588235294,01/04/2025,Zap|Puerta del Valle|5166000.0|85.0|Dep
Sep25_da1297fa,Inm24,Zap,Puerta del Valle,Ven,Dep,85.0,2.0,2.0,5599000.0,2000.0,-103.420312,20.724888,330.0,2.0,0,65870.58823529411,01/04/2025,Zap|Puerta del Valle|5599000.0|85.0|Dep
Sep25_600f16e4,Inm24,Zap,Puerta del Valle,Ven,Dep,112.0,3.0,2.0,7450000.0,2750.0,-103.419934,20.724885,24.0,3.0,0,66517.85714285714,01/04/2025,Zap|Puerta del Valle|7450000.0|112.0|Dep
Sep25_d1285390,Inm24,Zap,Puerta del Valle,Ven,Dep,114.0,3.0,2.0,7300000.0,2750.0,-103.42021,20.724877,32.0,3.0,0,64035.08771929824,01/04/2025,Zap|Puerta del Valle|7300000.0|114.0|Dep
