id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_084e9ff8,Inm24,Zap,Puerta Las Lomas,Ven,Dep,98.0,2.0,2.0,8700000.0,,-103.437796,20.703538,,2.0,1,88775.51020408163,01/09/2025,Zap|Puerta Las Lomas|8700000.0|98.0|Dep
Sep25_1663c2dd,Inm24,Zap,Puerta Las Lomas,Ven,Dep,97.0,2.0,1.0,8295000.0,3000.0,-103.437796,20.703538,99.0,2.0,0,85515.46391752578,01/04/2025,Zap|Puerta Las Lomas|8295000.0|97.0|Dep
Sep25_71ce8a3e,Inm24,Zap,Puerta Las Lomas,Ven,Dep,188.0,3.0,2.0,14800000.0,6900.0,-103.43647,20.705434,126.0,3.5,4,78723.40425531915,01/04/2025,Zap|Puerta Las Lomas|14800000.0|188.0|Dep
Sep25_5911c42a,Inm24,Zap,Puerta Las Lomas,Ven,Dep,72.0,1.0,1.0,5985000.0,,-103.435934,20.706533,65.0,1.0,0,83125.0,01/04/2025,Zap|Puerta Las Lomas|5985000.0|72.0|Dep
Sep25_18cb29ea,Inm24,Zap,Puerta Las Lomas,Ven,Dep,98.0,2.0,1.0,8702000.0,,-103.436632,20.704918,,2.0,0,88795.91836734694,01/04/2025,Zap|Puerta Las Lomas|8702000.0|98.0|Dep
Sep25_8057f7fe,Inm24,Zap,Puerta Las Lomas,Ven,Dep,94.0,2.0,1.0,8805419.0,,-103.435411,20.703584,,2.0,0,93674.67021276597,01/04/2025,Zap|Puerta Las Lomas|8805419.0|94.0|Dep
Sep25_6c552c03,Inm24,Zap,Puerta Las Lomas,Ven,Dep,136.0,3.0,2.0,13100488.0,,-103.435934,20.706533,183.0,3.0,0,96327.11764705884,01/04/2025,Zap|Puerta Las Lomas|13100488.0|136.0|Dep
Sep25_f4174048,Inm24,Zap,Puerta Las Lomas,Ven,Dep,166.0,3.0,2.0,14950000.0,,-103.436491,20.705402,,3.5,5,90060.24096385542,01/04/2025,Zap|Puerta Las Lomas|14950000.0|166.0|Dep
Sep25_55e4f7c2,Inm24,Zap,Puerta Las Lomas,Ven,Dep,95.0,2.0,1.0,8295000.0,,-103.437796,20.703538,85.0,2.0,,87315.78947368421,01/04/2025,Zap|Puerta Las Lomas|8295000.0|95.0|Dep
Sep25_022647fc,Inm24,Zap,Puerta Las Lomas,Ven,Dep,98.0,2.0,2.0,8805419.0,2500.0,-103.437796,20.703538,186.0,3.0,0,89851.21428571429,01/04/2025,Zap|Puerta Las Lomas|8805419.0|98.0|Dep
