id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3c81fffd,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,89.0,2.0,2.0,3100000.0,,-103.441518,20.611425,209.0,2.5,0,34831.4606741573,01/09/2025,Zap|Santa Ana Tepetitlán|3100000.0|89.0|Dep
Sep25_64e3f6c3,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,87.0,2.0,2.0,2850000.0,600.0,-103.447451,20.614612,,1.5,0,32758.62068965517,01/04/2025,Zap|Santa Ana Tepetitlán|2850000.0|87.0|Dep
Sep25_7402ed7c,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,87.0,3.0,2.0,2795000.0,650.0,-103.447451,20.614612,,2.0,0,32126.436781609194,01/04/2025,Zap|Santa Ana Tepetitlán|2795000.0|87.0|Dep
Sep25_79ace5d6,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,54.0,2.0,1.0,1590000.0,,-103.451199,20.618969,44.0,2.0,0,29444.444444444445,01/04/2025,Zap|Santa Ana Tepetitlán|1590000.0|54.0|Dep
Sep25_d7b1bad0,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,67.0,2.0,2.0,2680000.0,650.0,-103.447451,20.614612,,1.5,0,40000.0,01/04/2025,Zap|Santa Ana Tepetitlán|2680000.0|67.0|Dep
Sep25_76388d1e,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,139.0,2.0,2.0,1950000.0,550.0,-103.447256,20.614724,,2.0,0,14028.776978417269,01/04/2025,Zap|Santa Ana Tepetitlán|1950000.0|139.0|Dep
Sep25_63b7b46f,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,86.0,2.0,2.0,3000000.0,600.0,-103.456596,20.62097,92.0,1.0,0,34883.72093023256,01/04/2025,Zap|Santa Ana Tepetitlán|3000000.0|86.0|Dep
Sep25_1f54239c,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,57.0,2.0,2.0,2450000.0,,-103.445418,20.61457,24.0,1.0,0,42982.45614035088,01/04/2025,Zap|Santa Ana Tepetitlán|2450000.0|57.0|Dep
Sep25_da1fe3cc,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,148.0,2.0,2.0,2750000.0,,-103.447152,20.614812,305.0,1.0,0,18581.08108108108,01/04/2025,Zap|Santa Ana Tepetitlán|2750000.0|148.0|Dep
Sep25_124f832a,Inm24,Zap,Santa Ana Tepetitlán,Ven,Dep,168.0,2.0,2.0,3060000.0,,-103.447152,20.614812,,1.0,0,18214.285714285717,01/04/2025,Zap|Santa Ana Tepetitlán|3060000.0|168.0|Dep
