id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_0d455c72,Inm24,Zap,Sin Nombre,Ven,Dep,76.0,1.0,2.0,6750000.0,2100.0,-103.439454,20.703857,,1.0,0,88815.78947368421,01/09/2025,Zap|Sin Nombre|6750000.0|76.0|Dep
Sep25_e3d0b671,Inm24,Zap,Sin Nombre,Ven,Dep,98.0,2.0,2.0,6387699.0,,-103.411546,20.677986,234.0,2.5,0,65180.60204081632,01/04/2025,Zap|Sin Nombre|6387699.0|98.0|Dep
Sep25_65160a78,Inm24,Zap,Sin Nombre,Ven,Dep,72.0,2.0,2.0,5268638.0,,-103.411546,20.677986,14.0,2.0,0,73175.52777777778,01/04/2025,Zap|Sin Nombre|5268638.0|72.0|Dep
Sep25_52c8cacf,Inm24,Zap,Sin Nombre,Ven,Dep,90.0,2.0,2.0,4650000.0,3200.0,-103.443116,20.663874,20.0,2.0,5,51666.66666666666,01/04/2025,Zap|Sin Nombre|4650000.0|90.0|Dep
Sep25_925ec280,Inm24,Zap,Sin Nombre,Ven,Dep,104.0,3.0,1.0,6517029.0,,-103.411546,20.677986,234.0,4.0,0,62663.74038461538,01/04/2025,Zap|Sin Nombre|6517029.0|104.0|Dep
Sep25_71b7ddeb,Inm24,Zap,Sin Nombre,Ven,Dep,72.0,2.0,1.0,5333246.0,,-103.415332,20.677738,235.0,2.0,0,74072.86111111111,01/04/2025,Zap|Sin Nombre|5333246.0|72.0|Dep
Sep25_81265da1,Inm24,Zap,Sin Nombre,Ven,Dep,132.0,2.0,2.0,8000000.0,,-103.428985,20.708521,100.0,2.0,2,60606.06060606061,01/04/2025,Zap|Sin Nombre|8000000.0|132.0|Dep
Sep25_79f2820e,Inm24,Zap,Sin Nombre,Ven,Dep,77.0,2.0,1.0,5099000.0,2000.0,-103.442712,20.663821,119.0,2.0,0,66220.77922077922,01/04/2025,Zap|Sin Nombre|5099000.0|77.0|Dep
Sep25_ff62096d,Inm24,Zap,Sin Nombre,Ven,Dep,75.0,2.0,1.0,5250000.0,,-103.442712,20.663821,117.0,2.0,0,70000.0,01/04/2025,Zap|Sin Nombre|5250000.0|75.0|Dep
Sep25_0b3c6728,Inm24,Zap,Sin Nombre,Ven,Dep,78.0,2.0,2.0,2942559.0,,-103.472518,20.781751,,2.0,0,37725.11538461538,01/04/2025,Zap|Sin Nombre|2942559.0|78.0|Dep
