id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_38fdcc98,Inm24,Zap,Solares,Ven,Dep,76.0,2.0,2.0,5451000.0,,-103.463408,20.726667,226.0,2.0,0,71723.68421052632,01/04/2025,Zap|Solares|5451000.0|76.0|Dep
Sep25_20a77a0e,Inm24,Zap,Solares,Ven,Dep,86.0,2.0,2.0,6149899.0,,-103.463408,20.726667,226.0,2.0,0,71510.45348837209,01/04/2025,Zap|Solares|6149899.0|86.0|Dep
Sep25_dcb29639,Inm24,Zap,Solares,Ven,Dep,107.0,2.0,2.0,5499000.0,2500.0,-103.459307,20.726045,137.0,2.0,0,51392.52336448598,01/04/2025,Zap|Solares|5499000.0|107.0|Dep
Sep25_77fb1162,Inm24,Zap,Solares,Ven,Dep,56.0,1.0,1.0,3986860.0,,-103.463408,20.726667,226.0,1.0,0,71193.92857142857,01/04/2025,Zap|Solares|3986860.0|56.0|Dep
Sep25_7e8d7325,Inm24,Zap,Solares,Ven,Dep,68.0,2.0,2.0,4878812.0,,-103.463408,20.726667,226.0,2.0,0,71747.23529411765,01/04/2025,Zap|Solares|4878812.0|68.0|Dep
Sep25_4b8e33d1,Inm24,Zap,Solares,Ven,Dep,80.0,2.0,,4450000.0,4000.0,-103.456083,20.725787,22.0,2.0,0,55625.0,01/04/2025,Zap|Solares|4450000.0|80.0|Dep
Sep25_1cbdb9f0,Inm24,Zap,Solares,Ven,Dep,85.0,2.0,2.0,4241500.0,,-103.45973,20.723008,257.0,2.0,,49900.0,01/04/2025,Zap|Solares|4241500.0|85.0|Dep
Sep25_09ee5a47,Inm24,Zap,Solares,Ven,Dep,114.0,2.0,2.0,5100000.0,,-103.460096,20.722508,206.0,2.5,0,44736.84210526316,01/04/2025,Zap|Solares|5100000.0|114.0|Dep
Sep25_4e399ceb,Inm24,Zap,Solares,Ven,Dep,56.0,2.0,1.0,3800000.0,2830.0,-103.453408,20.725927,29.0,2.0,0,67857.14285714286,01/04/2025,Zap|Solares|3800000.0|56.0|Dep
Sep25_0c56c6ff,Inm24,Zap,Solares,Ven,Dep,101.0,2.0,2.0,5346499.0,,-103.459519,20.723578,,2.0,0,52935.63366336634,01/04/2025,Zap|Solares|5346499.0|101.0|Dep
Sep25_47189532,Inm24,Zap,Solares,Ven,Dep,130.0,3.0,2.0,5967943.0,,-103.460499,20.722907,,2.5,0,45907.25384615385,01/04/2025,Zap|Solares|5967943.0|130.0|Dep
Sep25_6021de5c,Inm24,Zap,Solares,Ven,Dep,114.0,2.0,2.0,4890000.0,2770.0,-103.460096,20.722508,,2.5,3,42894.73684210526,01/04/2025,Zap|Solares|4890000.0|114.0|Dep
Sep25_9cfc7595,Inm24,Zap,Solares,Ven,Dep,60.0,2.0,1.0,3690000.0,,-103.453274,20.726074,,2.0,,61500.0,01/04/2025,Zap|Solares|3690000.0|60.0|Dep
Sep25_a5319e6a,Inm24,Zap,Solares,Ven,Dep,41.0,1.0,1.0,2890000.0,2000.0,-103.456083,20.725787,20.0,1.0,0,70487.80487804877,01/04/2025,Zap|Solares|2890000.0|41.0|Dep
Sep25_e077c339,Inm24,Zap,Solares,Ven,Dep,106.0,2.0,2.0,5615000.0,,-103.460499,20.722907,,2.5,0,52971.698113207545,01/04/2025,Zap|Solares|5615000.0|106.0|Dep
Sep25_5d8b567d,Inm24,Zap,Solares,Ven,Dep,80.0,2.0,1.0,4690000.0,4000.0,-103.4535,20.72599,65.0,2.0,0,58625.0,01/04/2025,Zap|Solares|4690000.0|80.0|Dep
