id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_bb3e2dd1,Inm24,Zap,Valle Real,Ven,Dep,333.0,4.0,2.0,23000000.0,,-103.432772,20.725471,,4.5,5,69069.06906906907,01/09/2025,Zap|Valle Real|23000000.0|333.0|Dep
Sep25_19646385,Inm24,Zap,Valle Real,Ven,Dep,150.0,2.0,2.0,7490000.0,4500.0,-103.436315,20.720949,102.0,2.0,,49933.333333333336,01/09/2025,Zap|Valle Real|7490000.0|150.0|Dep
Sep25_16e49e4f,Inm24,Zap,Valle Real,Ven,Dep,243.0,3.0,3.0,15500000.0,,-103.441167,20.72345,25.0,4.0,15,63786.00823045267,01/09/2025,Zap|Valle Real|15500000.0|243.0|Dep
Sep25_d5078305,Inm24,Zap,Valle Real,Ven,Dep,168.0,3.0,2.0,7072008.0,,-103.445372,20.723281,,3.5,0,42095.28571428572,01/09/2025,Zap|Valle Real|7072008.0|168.0|Dep
Sep25_8055fe30,Inm24,Zap,Valle Real,Ven,Dep,113.0,3.0,2.0,7400000.0,,-103.434643,20.726013,77.0,2.0,3,65486.72566371682,01/04/2025,Zap|Valle Real|7400000.0|113.0|Dep
Sep25_571eab95,Inm24,Zap,Valle Real,Ven,Dep,104.0,2.0,1.0,6800000.0,3000.0,-103.434331,20.726615,8.0,2.0,0,65384.61538461538,01/04/2025,Zap|Valle Real|6800000.0|104.0|Dep
Sep25_6087ac63,Inm24,Zap,Valle Real,Ven,Dep,313.0,3.0,4.0,21800000.0,14300.0,-103.435026,20.724884,31.0,4.5,1,69648.56230031949,01/04/2025,Zap|Valle Real|21800000.0|313.0|Dep
Sep25_3da1e8ee,Inm24,Zap,Valle Real,Ven,Dep,98.0,2.0,1.0,7199400.0,,-103.445554,20.724716,17.0,2.0,0,73463.26530612246,01/04/2025,Zap|Valle Real|7199400.0|98.0|Dep
Sep25_402c0f41,Inm24,Zap,Valle Real,Ven,Dep,110.0,2.0,2.0,6280000.0,,-103.445592,20.723445,13.0,2.0,3,57090.90909090909,01/04/2025,Zap|Valle Real|6280000.0|110.0|Dep
Sep25_4207929d,Inm24,Zap,Valle Real,Ven,Dep,208.0,3.0,2.0,10250000.0,,-103.434364,20.726332,,3.0,4,49278.84615384616,01/04/2025,Zap|Valle Real|10250000.0|208.0|Dep
Sep25_b00fdeb3,Inm24,Zap,Valle Real,Ven,Dep,141.0,2.0,2.0,7390000.0,5148.0,-103.43523,20.725689,11.0,2.0,3,52411.34751773049,01/04/2025,Zap|Valle Real|7390000.0|141.0|Dep
Sep25_b0469fb6,Inm24,Zap,Valle Real,Ven,Dep,151.0,3.0,2.0,8880619.0,,-103.435028,20.725174,,3.5,0,58812.046357615895,01/04/2025,Zap|Valle Real|8880619.0|151.0|Dep
Sep25_8cf89af5,Inm24,Zap,Valle Real,Ven,Dep,151.0,3.0,2.0,9279821.0,,-103.435026,20.724884,101.0,5.5,0,61455.76821192053,01/04/2025,Zap|Valle Real|9279821.0|151.0|Dep
Sep25_b6820912,Inm24,Zap,Valle Real,Ven,Dep,209.0,3.0,2.0,9000000.0,,-103.433537,20.72572,287.0,3.5,0,43062.2009569378,01/04/2025,Zap|Valle Real|9000000.0|209.0|Dep
Sep25_a4d0d8bb,Inm24,Zap,Valle Real,Ven,Dep,126.0,2.0,1.0,7761585.0,,-103.435026,20.724884,102.0,3.0,0,61599.88095238096,01/04/2025,Zap|Valle Real|7761585.0|126.0|Dep
Sep25_40bf8d33,Inm24,Zap,Valle Real,Ven,Dep,208.0,3.0,2.0,9900000.0,,-103.433537,20.72572,,3.5,4,47596.15384615384,01/04/2025,Zap|Valle Real|9900000.0|208.0|Dep
Sep25_d0163b97,Inm24,Zap,Valle Real,Ven,Dep,168.0,3.0,2.0,10900000.0,4100.0,-103.436315,20.720949,53.0,2.5,0,64880.95238095238,01/04/2025,Zap|Valle Real|10900000.0|168.0|Dep
Sep25_4115fbd0,Inm24,Zap,Valle Real,Ven,Dep,145.0,3.0,2.0,9927356.0,,-103.435026,20.724884,9.0,3.5,1,68464.52413793103,01/04/2025,Zap|Valle Real|9927356.0|145.0|Dep
Sep25_dd37b156,Inm24,Zap,Valle Real,Ven,Dep,120.0,2.0,2.0,6300000.0,,-103.433537,20.72572,234.0,2.5,5,52500.0,01/04/2025,Zap|Valle Real|6300000.0|120.0|Dep
Sep25_9dcb72a4,Inm24,Zap,Valle Real,Ven,Dep,130.0,3.0,3.0,7900000.0,4800.0,-103.447018,20.724183,,4.0,1,60769.230769230766,01/04/2025,Zap|Valle Real|7900000.0|130.0|Dep
Sep25_38868783,Inm24,Zap,Valle Real,Ven,Dep,523.0,4.0,4.0,37000000.0,,-103.442898,20.723581,,4.5,4,70745.69789674952,01/04/2025,Zap|Valle Real|37000000.0|523.0|Dep
Sep25_34a4b486,Inm24,Zap,Valle Real,Ven,Dep,105.0,2.0,2.0,8355826.0,,-103.435026,20.724884,9.0,2.5,1,79579.29523809523,01/04/2025,Zap|Valle Real|8355826.0|105.0|Dep
Sep25_db991ae2,Inm24,Zap,Valle Real,Ven,Dep,276.0,3.0,2.0,15826869.0,,-103.435026,20.724884,8.0,3.5,1,57343.72826086957,01/04/2025,Zap|Valle Real|15826869.0|276.0|Dep
Sep25_1c4c3a68,Inm24,Zap,Valle Real,Ven,Dep,114.0,2.0,2.0,9535424.0,,-103.436597,20.721274,16.0,2.0,0,83644.0701754386,01/04/2025,Zap|Valle Real|9535424.0|114.0|Dep
Sep25_f738c512,Inm24,Zap,Valle Real,Ven,Dep,224.0,3.0,4.0,12950000.0,6500.0,-103.445389,20.72368,,3.5,7,57812.5,01/04/2025,Zap|Valle Real|12950000.0|224.0|Dep
Sep25_a3552ea6,Inm24,Zap,Valle Real,Ven,Dep,116.0,2.0,2.0,7900000.0,,-103.435328,20.725723,269.0,2.0,,68103.44827586207,01/04/2025,Zap|Valle Real|7900000.0|116.0|Dep
Sep25_998691ad,Inm24,Zap,Valle Real,Ven,Dep,283.0,3.0,1.0,11299999.0,,-103.441167,20.72345,,4.0,12,39929.325088339225,01/04/2025,Zap|Valle Real|11299999.0|283.0|Dep
