id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_2b9b6d42,Inm24,Zap,Villa Verona,Ven,Dep,46.0,1.0,1.0,3708296.0,,-103.446325,20.701899,11.0,1.0,0,80615.13043478261,01/04/2025,Zap|Villa Verona|3708296.0|46.0|Dep
Sep25_584a0199,Inm24,Zap,Villa Verona,Ven,Dep,136.0,2.0,2.0,10688966.0,,-103.445448,20.701965,143.0,2.5,0,78595.33823529411,01/04/2025,Zap|Villa Verona|10688966.0|136.0|Dep
Sep25_96c211d1,Inm24,Zap,Villa Verona,Ven,Dep,186.0,3.0,3.0,12840584.0,,-103.44551,20.70199,130.0,2.0,0,69035.39784946236,01/04/2025,Zap|Villa Verona|12840584.0|186.0|Dep
Sep25_d00b63a4,Inm24,Zap,Villa Verona,Ven,Dep,85.0,1.0,1.0,6312701.0,,-103.445448,20.701965,59.0,1.0,0,74267.07058823529,01/04/2025,Zap|Villa Verona|6312701.0|85.0|Dep
Sep25_e14e62fa,Inm24,Zap,Villa Verona,Ven,Dep,45.0,1.0,1.0,3778000.0,2500.0,-103.446436,20.702306,254.0,1.0,0,83955.55555555556,01/04/2025,Zap|Villa Verona|3778000.0|45.0|Dep
Sep25_2f5f516f,Inm24,Zap,Villa Verona,Ven,Dep,105.0,2.0,2.0,8417017.0,,-103.44551,20.70199,22.0,2.0,0,80162.06666666667,01/04/2025,Zap|Villa Verona|8417017.0|105.0|Dep
Sep25_333cc68e,Inm24,Zap,Villa Verona,Ven,Dep,172.0,3.0,2.0,9980000.0,,-103.445659,20.702336,7.0,3.5,0,58023.25581395349,01/04/2025,Zap|Villa Verona|9980000.0|172.0|Dep
Sep25_9b4326f5,Inm24,Zap,Villa Verona,Ven,Dep,147.0,2.0,2.0,10092087.0,,-103.44551,20.70199,131.0,2.5,0,68653.6530612245,01/04/2025,Zap|Villa Verona|10092087.0|147.0|Dep
Sep25_f43b32cc,Inm24,Zap,Villa Verona,Ven,Dep,107.0,2.0,2.0,8590000.0,,-103.445077,20.7019,202.0,2.0,0,80280.3738317757,01/04/2025,Zap|Villa Verona|8590000.0|107.0|Dep
Sep25_b48e1345,Inm24,Zap,Villa Verona,Ven,Dep,57.0,1.0,1.0,4382000.0,,-103.445921,20.700439,,1.0,0,76877.19298245614,01/04/2025,Zap|Villa Verona|4382000.0|57.0|Dep
Sep25_81997f0e,Inm24,Zap,Villa Verona,Ven,Dep,116.0,2.0,2.0,9211103.0,,-103.44551,20.70199,131.0,2.0,0,79406.06034482758,01/04/2025,Zap|Villa Verona|9211103.0|116.0|Dep
Sep25_f55e35cd,Inm24,Zap,Villa Verona,Ven,Dep,59.0,1.0,1.0,4426749.0,,-103.446436,20.702306,,1.5,0,75029.64406779662,01/04/2025,Zap|Villa Verona|4426749.0|59.0|Dep
Sep25_df7515e8,Inm24,Zap,Villa Verona,Ven,Dep,84.0,1.0,1.0,6312701.0,,-103.44551,20.70199,131.0,1.5,0,75151.20238095238,01/04/2025,Zap|Villa Verona|6312701.0|84.0|Dep
Sep25_64b02072,Inm24,Zap,Villa Verona,Ven,Dep,137.0,2.0,2.0,8601761.0,,-103.445465,20.70195,,2.0,0,62786.57664233576,01/04/2025,Zap|Villa Verona|8601761.0|137.0|Dep
Sep25_ba62c4f5,Inm24,Zap,Villa Verona,Ven,Dep,78.0,2.0,2.0,5860000.0,,-103.446017,20.700821,,2.0,0,75128.20512820513,01/04/2025,Zap|Villa Verona|5860000.0|78.0|Dep
Sep25_80bdc4e0,Inm24,Zap,Villa Verona,Ven,Dep,95.0,3.0,1.0,5900000.0,2600.0,-103.446616,20.702344,,1.5,0,62105.26315789474,01/04/2025,Zap|Villa Verona|5900000.0|95.0|Dep
Sep25_3cbccef9,Inm24,Zap,Villa Verona,Ven,Dep,310.0,3.0,2.0,17000000.0,7500.0,-103.445643,20.701909,16.0,4.5,5,54838.70967741936,01/04/2025,Zap|Villa Verona|17000000.0|310.0|Dep
Sep25_1a3475c9,Inm24,Zap,Villa Verona,Ven,Dep,46.0,1.0,1.0,3800000.0,,-103.446396,20.702293,234.0,1.0,0,82608.69565217392,01/04/2025,Zap|Villa Verona|3800000.0|46.0|Dep
