id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_a6b1d374,Inm24,Zap,Zapopan Centro,Ven,Dep,67.0,2.0,1.0,3100000.0,2000.0,-103.387657,20.730263,99.0,2.0,0,46268.65671641791,01/04/2025,Zap|Zapopan Centro|3100000.0|67.0|Dep
Sep25_caa2681a,Inm24,Zap,Zapopan Centro,Ven,Dep,64.0,2.0,1.0,3100000.0,,-103.387539,20.730599,22.0,2.0,0,48437.5,01/04/2025,Zap|Zapopan Centro|3100000.0|64.0|Dep
Sep25_de009999,Inm24,Zap,Zapopan Centro,Ven,Dep,62.0,1.0,1.0,2491945.0,,-103.387544,20.730612,,1.0,0,40192.66129032258,01/04/2025,Zap|Zapopan Centro|2491945.0|62.0|Dep
Sep25_15ceabf1,Inm24,Zap,Zapopan Centro,Ven,Dep,58.0,1.0,1.0,2295000.0,1700.0,-103.387871,20.730347,,1.5,0,39568.96551724138,01/04/2025,Zap|Zapopan Centro|2295000.0|58.0|Dep
Sep25_cda4e85e,Inm24,Zap,Zapopan Centro,Ven,Dep,57.0,2.0,1.0,2770000.0,26.0,-103.387544,20.730612,15.0,1.5,0,48596.491228070176,01/04/2025,Zap|Zapopan Centro|2770000.0|57.0|Dep
Sep25_c72e25f0,Inm24,Zap,Zapopan Centro,Ven,Dep,68.0,2.0,1.0,2785000.0,,-103.387544,20.730612,290.0,2.0,0,40955.882352941175,01/04/2025,Zap|Zapopan Centro|2785000.0|68.0|Dep
Sep25_0da7490b,Inm24,Zap,Zapopan Centro,Ven,Dep,59.0,1.0,1.0,2824605.0,,-103.387544,20.730612,12.0,1.0,en construcción,47874.661016949154,01/04/2025,Zap|Zapopan Centro|2824605.0|59.0|Dep
Sep25_e2c208a2,Inm24,Zap,Zapopan Centro,Ven,Dep,64.0,2.0,1.0,2900000.0,,-103.387544,20.730612,,2.0,0,45312.5,01/04/2025,Zap|Zapopan Centro|2900000.0|64.0|Dep
Sep25_d8d88b74,Inm24,Zap,Zapopan Centro,Ven,Dep,52.0,1.0,1.0,2320000.0,,-103.387904,20.729975,,1.0,0,44615.38461538462,01/04/2025,Zap|Zapopan Centro|2320000.0|52.0|Dep
Sep25_b060e0b3,Inm24,Zap,Zapopan Centro,Ven,Dep,55.0,1.0,1.0,2424000.0,1000.0,-103.387544,20.730612,,1.0,0,44072.72727272727,01/04/2025,Zap|Zapopan Centro|2424000.0|55.0|Dep
