id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_3c2a7dea,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,1200.0,4.0,6.0,60000000.0,,-103.417484,20.71465,,4.0,,50000.0,01/04/2025,Zap|Puerta de Hierro|60000000.0|1200.0|Terreno / Lote
Sep25_71bb5d5e,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,800.0,4.0,4.0,35000000.0,10000.0,-103.417748,20.710615,,6.5,,43750.0,01/04/2025,Zap|Puerta de Hierro|35000000.0|800.0|Terreno / Lote
Sep25_063984db,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,550.0,3.0,6.0,23990000.0,,-103.41727,20.720324,,4.5,,43618.181818181816,01/04/2025,Zap|Puerta de Hierro|23990000.0|550.0|Terreno / Lote
Sep25_fca55d3f,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,405.0,3.0,4.0,28490000.0,,-103.417905,20.71031,,7.0,0,70345.67901234567,01/04/2025,Zap|Puerta de Hierro|28490000.0|405.0|Terreno / Lote
Sep25_57bf76b0,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,398.0,4.0,4.0,22900000.0,,-103.416748,20.711508,,4.5,0,57537.68844221105,01/04/2025,Zap|Puerta de Hierro|22900000.0|398.0|Terreno / Lote
Sep25_a32a2c56,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,570.0,4.0,8.0,33000000.0,,-103.41939,20.71553,,5.5,0,57894.73684210526,01/04/2025,Zap|Puerta de Hierro|33000000.0|570.0|Terreno / Lote
Sep25_030d6653,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,457.0,4.0,6.0,21900000.0,,-103.41,20.711558,,4.5,,47921.22538293216,01/04/2025,Zap|Puerta de Hierro|21900000.0|457.0|Terreno / Lote
Sep25_6fab204f,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,680.0,5.0,8.0,27890000.0,,-103.417117,20.711655,,6.0,0,41014.705882352944,01/04/2025,Zap|Puerta de Hierro|27890000.0|680.0|Terreno / Lote
Sep25_44485f92,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,344.0,4.0,2.0,17990000.0,,-103.420389,20.712006,,3.5,,52296.51162790698,01/04/2025,Zap|Puerta de Hierro|17990000.0|344.0|Terreno / Lote
Sep25_65570c1e,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,1103.0,4.0,6.0,41000000.0,,-103.416286,20.711456,,4.5,,37171.3508612874,01/04/2025,Zap|Puerta de Hierro|41000000.0|1103.0|Terreno / Lote
Sep25_00c88bce,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,405.0,3.0,2.0,20000000.0,,-103.416748,20.711508,,3.5,,49382.71604938272,01/04/2025,Zap|Puerta de Hierro|20000000.0|405.0|Terreno / Lote
Sep25_456698f2,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,398.0,4.0,4.0,21900000.0,,-103.420389,20.712006,,4.5,0,55025.125628140704,01/04/2025,Zap|Puerta de Hierro|21900000.0|398.0|Terreno / Lote
Sep25_2054cccd,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,450.0,4.0,4.0,22000000.0,,-103.41727,20.720324,,4.5,,48888.88888888889,01/04/2025,Zap|Puerta de Hierro|22000000.0|450.0|Terreno / Lote
Sep25_5cebccba,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,1108.0,5.0,7.0,67000000.0,,-103.417117,20.711655,,8.0,,60469.31407942238,01/04/2025,Zap|Puerta de Hierro|67000000.0|1108.0|Terreno / Lote
Sep25_1a5c9c17,Inm24,Zap,Puerta de Hierro,Ven,Terreno / Lote,1000.0,3.0,4.0,37990000.0,,-103.417117,20.711655,,3.0,,37990.0,01/04/2025,Zap|Puerta de Hierro|37990000.0|1000.0|Terreno / Lote
