id,PaginaWeb,Ciudad,Fecha_Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,Colonia,longitud,latitud,tiempo_publicacion,Banos_totales,estacionamientos_icon,recamaras_icon,antiguedad_icon,PxM2
Zap-Virr_Cas-100K-619_04-05-06_VECOR-10343-20693,Inm24,Zap,,Cas,619.0,4.0,6.0,Ren,100000.0,,Virreyes,-103.439193,20.693203,35.0,5.0,6.0,4.0,18.0,161.55088852988692
Zap-Vall_Cas-027M-604_05-05-06_VECOR-10345-20722,Inm24,Zap,,Cas,604.0,5.0,6.0,Ven,27750000.0,2500.0,Valle Real,-103.451285,20.722235,66.0,5.5,6.0,5.0,13.0,45943.708609271525
Zap-Puer_Cas-095K-481_03-04-04_ALTUR-10341-20715,Inm24,Zap,,Cas,481.0,3.0,4.0,Ren,95000.0,,Puerta de Hierro,-103.41939,20.71553,8.0,4.5,4.0,3.0,15.0,197.50519750519751
Zap-Coto_CasC-017K-158_03-02-02_GuiaE-10341-20788,Inm24,Zap,,CasC,158.0,3.0,2.0,Ren,17893.0,,Coto F2 Norte Sienna,-103.413864,20.788189,66.0,2.5,2.0,3.0,3.0,113.24683544303798
Zap-Vall_Cas-110K-604_05-05-06_VECOR-10345-20724,Inm24,Zap,,Cas,604.0,5.0,6.0,Ren,110000.0,,Valle Real,-103.451245,20.72403,1.0,5.5,6.0,5.0,13.0,182.11920529801324
Zap-Puer_CasC-060K-300_03-04-03_HHASE-10342-20717,Inm24,Zap,,CasC,300.0,3.0,3.0,Ren,60000.0,2750.0,Puerta de Hierro,-103.421742,20.717687,57.0,4.5,3.0,3.0,25.0,200.0
Zap-Pont_Cas-085K-725_04-04-04_GRUPO-10341-20713,Inm24,Zap,,Cas,725.0,4.0,4.0,Ren,85000.0,5000.0,Pontevedra,-103.412118,20.713781,113.0,4.5,4.0,4.0,1.0,117.24137931034483
Zap-Puer_Cas-180K-1000_05-07-09_ALTUR-10341-20715,Inm24,Zap,,Cas,1000.0,5.0,9.0,Ren,180000.0,,Puerta de Hierro,-103.41939,20.71553,3.0,7.0,9.0,5.0,10.0,180.0
Gdl-Colo_Cas-045K-285_03-02-03_Remax-10338-20704,Inm24,Gdl,,Cas,285.0,3.0,3.0,Ren,45000.0,,Colomos Providencia,-103.384722,20.7043,163.0,2.5,3.0,3.0,35.0,157.89473684210526
Zap-LasL_CasC-130K-590_05-06-06_GuiaE-10344-20711,Inm24,Zap,,CasC,590.0,5.0,6.0,Ren,130000.0,9000.0,Las Lomas Golf Hábitat,-103.442631,20.711884,,6.0,6.0,5.0,12.0,220.33898305084745
Zap-Puer_Cas-035M-481_03-03-04_GRUPO-10342-20720,Inm24,Zap,,Cas,481.0,3.0,4.0,Ven,35000000.0,3500.0,Puerta de Hierro,-103.421345,20.72017,13.0,3.5,4.0,3.0,15.0,72765.07276507276
Zap-Sant_CasC-119K-870_04-05-06_Aleja-10341-20701,Inm24,Zap,,CasC,870.0,4.0,6.0,Ren,119000.0,,Santa Isabel,-103.41271,20.701587,29.0,5.5,6.0,4.0,20.0,136.7816091954023
