id,PaginaWeb,Ciudad,Fecha_Scrap,tipo_propiedad,area_m2,precio,mantenimiento,Colonia,balcon,terraza,roof_garden,jardin,patio,bodega,sotano,despensa,closet,estudio,vestidor,cuarto_tv,biblioteca,bar,desayunador,cuarto_servicio,cuarto_lavado,doble_altura,loft,penthouse,duplex,alberca,jacuzzi,sauna,vapor,gimnasio,spa,home_theater,cava,cancha_tenis,cancha_squash,cancha_padel,cancha_futbol,cancha_basquet,area_juegos,ping_pong,billar,jardin_privado,asador,area_parrillas,fogata,kiosco,seguridad,caseta,portero,circuito_cerrado,alarma,intercomunicador,elevador,montacargas,escaleras_electricas,aire_acondicionado,calefaccion,chimenea,ventilacion,cocina_integral,linea_blanca,lavavajillas,horno,microondas,refrigerador,estufa,campana,internet,cable,telefono,gas_natural,cisterna,planta_emergencia,ups,salon_eventos,salon_usos_multiples,salon_fiestas,co_working,business_center,sala_juntas,auditorio,vista_panoramica,frente_al_mar,pet_friendly,acceso_discapacitados,smart_home,paneles_solares,amueblado,semi_amueblado,sin_muebles,obra_nueva,remodelado,obra_gris,a_estrenar,esquina,planta_baja,ultimo_piso,frente,servicio_limpieza,administracion,conserje,operacion,PxM2
Gdl-Vall_Dep-023K-083_02-02-01_GuiaE-10339-20676,Inm24,Gdl,01/09/2025,Dep,83.0,23650.0,0,Vallarta San Jorge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,284.93975903614455
Gdl-Prov_Dep-034K-120_02-02-02_Inmob-10337-20701,Inm24,Gdl,01/09/2025,Dep,120.0,34000.0,0,Providencia,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,283.3333333333333
Gdl-Jard_Dep-028K-127_02-02-02_Lemon-10338-20666,Inm24,Gdl,01/09/2025,Dep,127.0,28500.0,0,Jardines del Bosque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,224.40944881889763
Gdl-Ayun_Dep-022K-077_02-02-02_GRUPO-10337-20690,Inm24,Gdl,01/09/2025,Dep,77.0,22000.0,0,Ayuntamiento,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,285.7142857142857
Gdl-Colo_Dep-026K-070_02-02-00_GRUPO-10338-20710,Inm24,Gdl,01/09/2025,Dep,70.0,26500.0,0,Colomos Providencia,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,378.57142857142856
Gdl-Colo_Dep-027K-093_02-02-02_GRUPO-10338-20710,Inm24,Gdl,01/09/2025,Dep,93.0,27500.0,0,Colomos Providencia,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,295.6989247311828
Gdl-Arco_Dep-027K-086_01-02-02_Inmob-10337-20671,Inm24,Gdl,01/09/2025,Dep,86.0,27000.0,0,Arcos Vallarta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,313.95348837209303
Gdl-Coun_Dep-050K-186_03-04-03_ÚNICA-10336-20703,Inm24,Gdl,01/09/2025,Dep,186.0,50000.0,0,Country Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,268.81720430107526
Gdl-Arco_Dep-018K-076_02-02-01_CERTE-10337-20667,Inm24,Gdl,01/09/2025,Dep,76.0,18900.0,0,Arcos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,248.68421052631578
Gdl-Ital_Dep-027K-095_02-02-02_REPRO-10337-20696,Inm24,Gdl,01/09/2025,Dep,95.0,27500.0,0,Italia Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ren,289.4736842105263
