id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Zap-Puer_Cas-095K-481_03-04-04_ALTUR-10341-20715,Inm24,Zap,Puerta de Hierro,Ren,Cas,481,3,4,95000,,-103.41939,20.71553,8,4.5,15,197.5051975
Zap-Coto_CasC-017K-158_03-02-02_GuiaE-10341-20788,Inm24,Zap,Coto F2 Norte Sienna,Ren,CasC,158,3,2,17893,,-103.413864,20.788189,66,2.5,3,113.2468354
Zap-Vall_Cas-110K-604_05-05-06_VECOR-10345-20724,Inm24,Zap,Valle Real,Ren,Cas,604,5,6,110000,,-103.451245,20.72403,1,5.5,13,182.1192053
Zap-Puer_CasC-060K-300_03-04-03_HHASE-10342-20717,Inm24,Zap,Puerta de Hierro,Ren,CasC,300,3,3,60000,2750,-103.421742,20.717687,57,4.5,25,200
Zap-Pont_Cas-085K-725_04-04-04_GRUPO-10341-20713,Inm24,Zap,Pontevedra,Ren,Cas,725,4,4,85000,5000,-103.412118,20.713781,113,4.5,1,117.2413793
Gdl-Colo_Cas-045K-285_03-02-03_Remax-10338-20704,Inm24,Gdl,Colomos Providencia,Ren,Cas,285,3,3,45000,,-103.384722,20.7043,163,2.5,35,157.8947368
Zap-LasL_CasC-130K-590_05-06-06_GuiaE-10344-20711,Inm24,Zap,Las Lomas Golf Hábitat,Ren,CasC,590,5,6,130000,9000,-103.442631,20.711884,,6,12,220.3389831
Zap-Puer_Cas-035M-481_03-03-04_GRUPO-10342-20720,Inm24,Zap,Puerta de Hierro,Ven,Cas,481,3,4,35000000,3500,-103.421345,20.72017,13,3.5,15,72765.07277
Zap-Vill_CasC-016K-094_04-03-02_Palom-10342-20654,Inm24,Zap,Villas del Tepeyac,Ren,CasC,94,4,2,16500,,-103.425106,20.654055,0,3,25,175.5319149
Zap-Puer_Cas-095K-481_03-03-04_Capit-10342-20719,Inm24,Zap,Puerta de Hierro,Ren,Cas,481,3,4,95000,,-103.421597,20.719789,22,3.5,0,197.5051975
Zap-Coto_CasC-016K-108_03-03-02_GRUPO-10342-20782,Inm24,Zap,Coto Abie,Ren,CasC,108,3,2,16000,800,-103.422113,20.782322,17,3,0,148.1481481
Zap-Cami_Cas-022K-180_03-03-01_ABRIE-10341-20673,Inm24,Zap,Camino Real,Ren,Cas,180,3,1,22500,,-103.410954,20.673193,15,3,0,125
Zap-Sola_Cas-033K-214_04-04-02_ALIMA-10346-20724,Inm24,Zap,Solares Antara,Ren,Cas,214,4,2,33000,,-103.46698,20.724905,42,4,16,154.2056075
Zap-Prad_Cas-033K-250_04-02-02_Habit-10341-20655,Inm24,Zap,Prados Tepeyac,Ren,Cas,250,4,2,33000,,-103.413485,20.655954,2,2.5,15,132
Zap-Tepe_Cas-027K-230_03-02-02_Mural-10341-20658,Inm24,Zap,Tepeyac Casino,Ren,Cas,230,3,2,27000,,-103.416583,20.658655,14,2.5,0,117.3913043
Zap-Vall_Cas-023K-220_04-05-02_GB00-10343-20783,Inm24,Zap,Valle Imperial,Ren,Cas,220,4,2,23000,,-103.437203,20.783904,1,5.5,0,104.5454545
Zap-Puer_CasC-130K-550_05-06-05_CONST-10343-20706,Inm24,Zap,Puerta Las Lomas,Ren,CasC,550,5,5,130000,,-103.43585,20.706436,22,6,5,236.3636364
Zap-Puer_CasC-120K-460_04-05-04_Marer-10343-20707,Inm24,Zap,Puerta Las Lomas,Ren,CasC,460,4,4,120000,,-103.436672,20.707306,29,5.5,7,260.8695652
Zap-LaCe_CasC-120K-500_04-05-04_Grupo-10342-20716,Inm24,Zap,La Ceiba,Ren,CasC,500,4,4,120000,3661,-103.425205,20.716158,39,5,,240
Zap-LasF_Cas-060K-196_05-04-04_TOPTE-10342-20622,Inm24,Zap,Las Fuentes,Ren,Cas,196,5,4,60000,,-103.424667,20.622377,3,4.5,10,306.122449
Zap-Vict_Cas-037K-290_04-02-02_LEVAN-10339-20649,Inm24,Zap,Victoria,Ren,Cas,290,4,2,37000,,-103.399214,20.649463,34,2.5,31,127.5862069
