Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ren,Cas,Agrícola,1,17500.0,17500.0,17500.0,130.0,130.0,130.0,134.6153846153846,134.6153846153846,134.6153846153846
Sep25,Zap,Ren,Cas,Agua Blanca Sur,1,17500.0,17500.0,17500.0,89.0,89.0,89.0,196.6292134831461,196.6292134831461,196.6292134831461
Sep25,Zap,Ren,Cas,Altagracia,1,23500.0,23500.0,23500.0,211.0,211.0,211.0,111.3744075829384,111.3744075829384,111.3744075829384
Sep25,Zap,Ren,Cas,Arauca I,1,68000.0,68000.0,68000.0,293.0,293.0,293.0,232.08191126279863,232.08191126279863,232.08191126279863
Sep25,Zap,Ren,Cas,Arauca II,1,57500.0,57500.0,57500.0,300.0,300.0,300.0,191.66666666666663,191.66666666666663,191.66666666666663
Sep25,Zap,Ren,Cas,Arboreto Residencial,1,12500.0,12500.0,12500.0,97.0,97.0,97.0,128.8659793814433,128.8659793814433,128.8659793814433
Sep25,Zap,Ren,Cas,Arcos de Guadalupe,3,28000.0,41666.666666666664,59000.0,215.0,329.6666666666667,508.0,105.26315789473684,132.716358741571,176.74418604651163
Sep25,Zap,Ren,Cas,Armonía,1,18000.0,18000.0,18000.0,110.0,110.0,110.0,163.63636363636363,163.63636363636363,163.63636363636363
Sep25,Zap,Ren,Cas,Ayamonte,2,90000.0,114500.0,139000.0,600.0,713.5,827.0,150.0,159.03869407496978,168.07738814993954
Sep25,Zap,Ren,Cas,Base Aérea Militar No 5,2,29000.0,47000.0,65000.0,220.0,377.0,534.0,121.72284644194757,126.7705141300647,131.8181818181818
Sep25,Zap,Ren,Cas,Bellissimo,1,13000.0,13000.0,13000.0,124.0,124.0,124.0,104.83870967741936,104.83870967741936,104.83870967741936
Sep25,Zap,Ren,Cas,Bosques Vallarta,2,33000.0,33500.0,34000.0,210.0,228.5,247.0,137.6518218623482,147.39733950260268,157.14285714285714
Sep25,Zap,Ren,Cas,Bosques de San Gonzalo,1,13000.0,13000.0,13000.0,114.0,114.0,114.0,114.03508771929825,114.03508771929825,114.03508771929825
Sep25,Zap,Ren,Cas,Camino Real,1,22500.0,22500.0,22500.0,180.0,180.0,180.0,125.0,125.0,125.0
Sep25,Zap,Ren,Cas,Canteras del Centinela,1,16000.0,16000.0,16000.0,100.0,100.0,100.0,160.0,160.0,160.0
Sep25,Zap,Ren,Cas,Centro,1,29500.0,29500.0,29500.0,180.0,180.0,180.0,163.88888888888889,163.88888888888889,163.88888888888889
Sep25,Zap,Ren,Cas,Chapalita Sur,2,60000.0,62500.0,65000.0,281.0,360.5,440.0,136.36363636363637,183.84018117114204,231.3167259786477
Sep25,Zap,Ren,Cas,Ciudad Bugambilias,1,60000.0,60000.0,60000.0,450.0,450.0,450.0,133.33333333333334,133.33333333333334,133.33333333333334
Sep25,Zap,Ren,Cas,Ciudad Granja,6,33000.0,40416.666666666664,43000.0,187.0,245.33333333333334,300.0,140.0,168.54321180284668,220.51282051282053
Sep25,Zap,Ren,Cas,Ciudad del Sol,4,35900.0,63725.0,95000.0,292.0,460.5,650.0,119.66666666666669,135.262205830699,146.15384615384616
Sep25,Zap,Ren,Cas,Colegio del Aire,1,16000.0,16000.0,16000.0,100.0,100.0,100.0,160.0,160.0,160.0
Sep25,Zap,Ren,Cas,Colinas El Centinela,1,16500.0,16500.0,16500.0,90.0,90.0,90.0,183.33333333333331,183.33333333333331,183.33333333333331
Sep25,Zap,Ren,Cas,Colinas de San Javier,2,69500.0,94250.0,119000.0,400.0,466.0,532.0,173.75,198.71710526315786,223.68421052631575
Sep25,Zap,Ren,Cas,Conjunto Patria,1,65000.0,65000.0,65000.0,600.0,600.0,600.0,108.33333333333331,108.33333333333331,108.33333333333331
Sep25,Zap,Ren,Cas,Coto Abie,1,19000.0,19000.0,19000.0,108.0,108.0,108.0,175.92592592592592,175.92592592592592,175.92592592592592
Sep25,Zap,Ren,Cas,Coto Alva 2,1,13600.0,13600.0,13600.0,99.0,99.0,99.0,137.37373737373738,137.37373737373738,137.37373737373738
Sep25,Zap,Ren,Cas,Coto Amalfi,1,12000.0,12000.0,12000.0,89.0,89.0,89.0,134.8314606741573,134.8314606741573,134.8314606741573
Sep25,Zap,Ren,Cas,Coto Las Ventanas,1,15000.0,15000.0,15000.0,147.0,147.0,147.0,102.04081632653062,102.04081632653062,102.04081632653062
Sep25,Zap,Ren,Cas,Coto Zoi,1,19000.0,19000.0,19000.0,130.0,130.0,130.0,146.15384615384616,146.15384615384616,146.15384615384616
Sep25,Zap,Ren,Cas,De Los Fresnos,1,16500.0,16500.0,16500.0,96.0,96.0,96.0,171.875,171.875,171.875
Sep25,Zap,Ren,Cas,Del Parque,1,36000.0,36000.0,36000.0,215.0,215.0,215.0,167.4418604651163,167.4418604651163,167.4418604651163
Sep25,Zap,Ren,Cas,Del Valle,1,24000.0,24000.0,24000.0,183.0,183.0,183.0,131.14754098360655,131.14754098360655,131.14754098360655
Sep25,Zap,Ren,Cas,El Campestre,2,10500.0,12000.0,13500.0,84.0,99.5,115.0,117.3913043478261,121.19565217391305,125.0
Sep25,Zap,Ren,Cas,El Colli Urbano,2,19000.0,19250.0,19500.0,117.0,126.0,135.0,144.44444444444446,153.4188034188034,162.39316239316238
Sep25,Zap,Ren,Cas,El Real,5,22000.0,24700.0,26000.0,140.0,165.6,195.0,123.07692307692308,151.57671276092327,178.32167832167832
Sep25,Zap,Ren,Cas,Elite,1,24000.0,24000.0,24000.0,163.0,163.0,163.0,147.23926380368098,147.23926380368098,147.23926380368098
Sep25,Zap,Ren,Cas,Foret,1,19500.0,19500.0,19500.0,146.0,146.0,146.0,133.56164383561645,133.56164383561645,133.56164383561645
Sep25,Zap,Ren,Cas,Hogares del Batan,1,18000.0,18000.0,18000.0,170.0,170.0,170.0,105.88235294117646,105.88235294117646,105.88235294117646
Sep25,Zap,Ren,Cas,Infonavit El Garabato,1,12500.0,12500.0,12500.0,96.0,96.0,96.0,130.20833333333334,130.20833333333334,130.20833333333334
Sep25,Zap,Ren,Cas,Jacarandas,1,46000.0,46000.0,46000.0,400.0,400.0,400.0,115.0,115.0,115.0
Sep25,Zap,Ren,Cas,Jardines Universidad,1,40000.0,40000.0,40000.0,200.0,200.0,200.0,200.0,200.0,200.0
Sep25,Zap,Ren,Cas,Jardines Vallarta,2,30000.0,31500.0,33000.0,250.0,268.0,286.0,115.3846153846154,117.69230769230771,120.0
Sep25,Zap,Ren,Cas,Jardines de Guadalupe,1,36500.0,36500.0,36500.0,227.0,227.0,227.0,160.7929515418502,160.7929515418502,160.7929515418502
Sep25,Zap,Ren,Cas,Jardines de San Ignacio,2,39500.0,44750.0,50000.0,300.0,357.5,415.0,120.48192771084338,126.07429718875503,131.66666666666666
Sep25,Zap,Ren,Cas,Jardines del Ixtepete,1,12500.0,12500.0,12500.0,79.0,79.0,79.0,158.22784810126583,158.22784810126583,158.22784810126583
Sep25,Zap,Ren,Cas,Jardines del Sol,1,50000.0,50000.0,50000.0,480.0,480.0,480.0,104.16666666666669,104.16666666666669,104.16666666666669
Sep25,Zap,Ren,Cas,Jardines del Valle,1,15000.0,15000.0,15000.0,120.0,120.0,120.0,125.0,125.0,125.0
Sep25,Zap,Ren,Cas,Jardín Real,3,30000.0,36300.0,41000.0,152.0,238.0,306.0,123.8562091503268,160.4602934009861,197.3684210526316
Sep25,Zap,Ren,Cas,Jocotán,1,29000.0,29000.0,29000.0,140.0,140.0,140.0,207.14285714285717,207.14285714285717,207.14285714285717
Sep25,Zap,Ren,Cas,La Aurora,1,15000.0,15000.0,15000.0,80.0,80.0,80.0,187.5,187.5,187.5
Sep25,Zap,Ren,Cas,La Calma,1,32500.0,32500.0,32500.0,312.0,312.0,312.0,104.16666666666669,104.16666666666669,104.16666666666669
Sep25,Zap,Ren,Cas,La Cima,3,25000.0,25666.666666666668,27000.0,220.0,225.33333333333334,236.0,105.9322033898305,114.09861325115564,122.72727272727272
