Colonia,Gdl_Ren_Dep_n,Gdl_Ren_Dep_precio_mean,Gdl_Ren_Dep_precio_min,Gdl_Ren_Dep_precio_max,Gdl_Ren_Dep_area_m2_mean,Gdl_Ren_Dep_PxM2_mean,Gdl_Ven_CasC_n,Gdl_Ven_CasC_precio_mean,Gdl_Ven_CasC_precio_min,Gdl_Ven_CasC_precio_max,Gdl_Ven_CasC_area_m2_mean,Gdl_Ven_CasC_PxM2_mean,Gdl_Ven_Cas_n,Gdl_Ven_Cas_precio_mean,Gdl_Ven_Cas_precio_min,Gdl_Ven_Cas_precio_max,Gdl_Ven_Cas_area_m2_mean,Gdl_Ven_Cas_PxM2_mean,Gdl_Ven_Dep_n,Gdl_Ven_Dep_precio_mean,Gdl_Ven_Dep_precio_min,Gdl_Ven_Dep_precio_max,Gdl_Ven_Dep_area_m2_mean,Gdl_Ven_Dep_PxM2_mean,Gdl_Ven_LocC_n,Gdl_Ven_LocC_precio_mean,Gdl_Ven_LocC_precio_min,Gdl_Ven_LocC_precio_max,Gdl_Ven_LocC_area_m2_mean,Gdl_Ven_LocC_PxM2_mean,Gdl_Ven_Ofc_n,Gdl_Ven_Ofc_precio_mean,Gdl_Ven_Ofc_precio_min,Gdl_Ven_Ofc_precio_max,Gdl_Ven_Ofc_area_m2_mean,Gdl_Ven_Ofc_PxM2_mean,Gdl_Ven_Terreno____n,Gdl_Ven_Terreno____precio_mean,Gdl_Ven_Terreno____precio_min,Gdl_Ven_Terreno____precio_max,Gdl_Ven_Terreno____area_m2_mean,Gdl_Ven_Terreno____PxM2_mean,Zap_Ren_Dep_n,Zap_Ren_Dep_precio_mean,Zap_Ren_Dep_precio_min,Zap_Ren_Dep_precio_max,Zap_Ren_Dep_area_m2_mean,Zap_Ren_Dep_PxM2_mean,Zap_Ven_CasC_n,Zap_Ven_CasC_precio_mean,Zap_Ven_CasC_precio_min,Zap_Ven_CasC_precio_max,Zap_Ven_CasC_area_m2_mean,Zap_Ven_CasC_PxM2_mean,Zap_Ven_Cas_n,Zap_Ven_Cas_precio_mean,Zap_Ven_Cas_precio_min,Zap_Ven_Cas_precio_max,Zap_Ven_Cas_area_m2_mean,Zap_Ven_Cas_PxM2_mean,Zap_Ven_Dep_n,Zap_Ven_Dep_precio_mean,Zap_Ven_Dep_precio_min,Zap_Ven_Dep_precio_max,Zap_Ven_Dep_area_m2_mean,Zap_Ven_Dep_PxM2_mean,Zap_Ven_LocC_n,Zap_Ven_LocC_precio_mean,Zap_Ven_LocC_precio_min,Zap_Ven_LocC_precio_max,Zap_Ven_LocC_area_m2_mean,Zap_Ven_LocC_PxM2_mean,Zap_Ven_Ofc_n,Zap_Ven_Ofc_precio_mean,Zap_Ven_Ofc_precio_min,Zap_Ven_Ofc_precio_max,Zap_Ven_Ofc_area_m2_mean,Zap_Ven_Ofc_PxM2_mean,Zap_Ven_Terreno____n,Zap_Ven_Terreno____precio_mean,Zap_Ven_Terreno____precio_min,Zap_Ven_Terreno____precio_max,Zap_Ven_Terreno____area_m2_mean,Zap_Ven_Terreno____PxM2_mean
1 de Mayo,,,,,,,,,,,,,1.0,1724904.0,1724904.0,1724904.0,271.0,6364.959409594096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 de Marzo,,,,,,,,,,,,,1.0,3980000.0,3980000.0,3980000.0,110.0,36181.81818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 de Septiembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13000.0,13000.0,13000.0,75.0,173.33333333333334,,,,,,,,,,,,,7.0,3667142.857142857,3490000.0,3800000.0,93.28571428571428,39309.98681787976,,,,,,,,,,,,,,,,,,
5 de Mayo,,,,,,,,,,,,,1.0,2490000.0,2490000.0,2490000.0,200.0,12450.0,,,,,,,1.0,4380000.0,4380000.0,4380000.0,183.0,23934.4262295082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 de Julio,,,,,,,,,,,,,5.0,3100000.0,2500000.0,5500000.0,156.6,21828.26852090308,,,,,,,1.0,18800000.0,18800000.0,18800000.0,688.0,27325.58139534884,,,,,,,1.0,5800000.0,5800000.0,5800000.0,353.0,16430.594900849857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Joaquín,,,,,,,,,,,,,3.0,3563333.333333333,2500000.0,5690000.0,179.33333333333334,19911.15946701053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5458333.333333333,3995000.0,6190000.0,100.66666666666669,54174.75247524752,,,,,,,,,,,,,,,,,,
Agraria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6890000.0,6890000.0,6890000.0,169.0,40769.230769230766,1.0,8200000.0,8200000.0,8200000.0,293.0,27986.348122866893,1.0,6600000.0,6600000.0,6600000.0,373.0,17694.369973190347,5.0,10794188.2,8771328.0,12618936.0,129.6,84921.49097659017,,,,,,
Agrícola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,45000000.0,45000000.0,45000000.0,538.0,83643.12267657992,2.0,4592500.0,2195000.0,6990000.0,204.5,28587.40920096852,,,,,,,,,,,,,2.0,4485483.5,2800000.0,6170967.0,195.0,22282.04582259845
Agua Blanca Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7990000.0,7990000.0,7990000.0,284.0,28133.802816901407,,,,,,,,,,,,,,,,,,,,,,,,
