Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Gdl,Ren,Cas,Alcalde Barranquitas,1,19500.0,19500.0,19500.0,182.0,182.0,182.0,107.14285714285714,107.14285714285714,107.14285714285714
Sep25,Gdl,Ren,Cas,Arcos Vallarta,1,26500.0,26500.0,26500.0,220.0,220.0,220.0,120.45454545454544,120.45454545454544,120.45454545454544
Sep25,Gdl,Ren,Cas,Colinas de San Javier,1,95000.0,95000.0,95000.0,830.0,830.0,830.0,114.4578313253012,114.4578313253012,114.4578313253012
Sep25,Gdl,Ren,Cas,Colomos Providencia,4,31500.0,51375.0,75000.0,285.0,375.25,520.0,103.84615384615384,138.9149524017945,187.5
Sep25,Gdl,Ren,Cas,Country Club,5,70000.0,98400.0,132000.0,307.0,491.4,600.0,116.66666666666669,205.01674727733356,240.0
Sep25,Gdl,Ren,Cas,Independencia Oriente,1,38000.0,38000.0,38000.0,245.0,245.0,245.0,155.10204081632654,155.10204081632654,155.10204081632654
Sep25,Gdl,Ren,Cas,Jardines Plaza del Sol,1,51000.0,51000.0,51000.0,365.0,365.0,365.0,139.72602739726028,139.72602739726028,139.72602739726028
Sep25,Gdl,Ren,Cas,Jardines del Bosque,2,33000.0,56500.0,80000.0,302.0,484.0,666.0,109.27152317880795,114.69582164946404,120.12012012012012
Sep25,Gdl,Ren,Cas,La Esperanza (La Federacha),1,25000.0,25000.0,25000.0,194.0,194.0,194.0,128.8659793814433,128.8659793814433,128.8659793814433
Sep25,Gdl,Ren,Cas,Ladrón de Guevara,4,20000.0,36250.0,55000.0,171.0,270.5,380.0,105.6338028169014,132.31825727192665,161.94331983805668
Sep25,Gdl,Ren,Cas,Mexicaltzingo,1,10000.0,10000.0,10000.0,97.0,97.0,97.0,103.09278350515464,103.09278350515464,103.09278350515464
Sep25,Gdl,Ren,Cas,Miguel Hidalgo,1,10000.0,10000.0,10000.0,94.0,94.0,94.0,106.38297872340424,106.38297872340424,106.38297872340424
Sep25,Gdl,Ren,Cas,Moderna,1,44500.0,44500.0,44500.0,266.0,266.0,266.0,167.29323308270676,167.29323308270676,167.29323308270676
Sep25,Gdl,Ren,Cas,Monraz,3,48500.0,62833.333333333336,75000.0,350.0,441.0,560.0,117.43341404358354,145.69209039548022,185.7142857142857
Sep25,Gdl,Ren,Cas,Panorámica de Huentitán,1,18000.0,18000.0,18000.0,133.0,133.0,133.0,135.33834586466165,135.33834586466165,135.33834586466165
Sep25,Gdl,Ren,Cas,Prados Providencia,4,35000.0,53750.0,75000.0,261.0,424.75,589.0,119.04761904761904,127.17170732655775,134.09961685823754
Sep25,Gdl,Ren,Cas,Providencia,2,40000.0,67500.0,95000.0,381.0,540.5,700.0,104.98687664041996,120.35058117735284,135.71428571428572
Sep25,Gdl,Ren,Cas,Providencia 2a Sección,2,44000.0,46500.0,49000.0,275.0,307.5,340.0,144.11764705882354,152.05882352941177,160.0
Sep25,Gdl,Ren,Cas,Providencia 3a Sección,1,50000.0,50000.0,50000.0,320.0,320.0,320.0,156.25,156.25,156.25
Sep25,Gdl,Ren,Cas,Providencia 4a Sección,1,42000.0,42000.0,42000.0,272.0,272.0,272.0,154.41176470588235,154.41176470588235,154.41176470588235
Sep25,Gdl,Ren,Cas,San Elías,1,10500.0,10500.0,10500.0,100.0,100.0,100.0,105.0,105.0,105.0
Sep25,Gdl,Ren,Cas,Vallarta Norte,2,95000.0,102500.0,110000.0,440.0,456.0,472.0,215.9090909090909,224.47996918335903,233.05084745762716
Sep25,Gdl,Ren,Cas,Villaseñor (Santa Teresita),4,15000.0,30750.0,55000.0,110.0,240.25,430.0,114.0,130.386366727248,143.2748538011696
Sep25,Gdl,Ren,Cas,Zona Centro,1,50000.0,50000.0,50000.0,439.0,439.0,439.0,113.89521640091117,113.89521640091117,113.89521640091117
