Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_representativo,precio_min,precio_max,precio_skew,precio_metodo,area_m2_representativo,area_m2_min,area_m2_max,area_m2_skew,area_m2_metodo,PxM2_representativo,PxM2_min,PxM2_max,PxM2_skew,PxM2_metodo
Sep25,Gdl,Ren,Dep,Alcalde Barranquitas,8,16750.0,8000.0,32000.0,1.231815217076342,mediana_rango,68.0,50.0,93.0,0.08000064352817302,mediana_rango,242.6470588235294,119.40298507462688,355.55555555555554,-0.34058438729782375,mediana_rango
Sep25,Gdl,Ren,Dep,Americana,41,21824.39024390244,8000.0,33000.0,0.10254317965491458,media_desv,80.0,37.0,230.0,1.9926409701388785,mediana_IQR,276.8750010189003,143.47826086956522,488.8888888888889,0.48368577273655233,media_desv
Sep25,Gdl,Ren,Dep,Arcos,7,19000.0,18200.0,22000.0,1.5963811209397472,mediana_rango,66.0,54.0,80.0,-0.16550956562820504,mediana_rango,276.8181818181818,247.5,338.46153846153845,0.22477938633797567,mediana_rango
Sep25,Gdl,Ren,Dep,Arcos Vallarta,52,23120.19230769231,14700.0,34000.0,0.2517921143540058,media_desv,82.0,38.0,150.0,0.7961279658161431,mediana_IQR,288.64245378178487,152.0,460.0,0.22659319082291188,media_desv
Sep25,Gdl,Ren,Dep,Ayuntamiento,16,20950.0,14300.0,30000.0,0.4718354544477965,mediana_IQR,77.0,36.0,120.0,0.47467066043995704,mediana_IQR,285.7142857142857,233.33333333333331,563.3829787234042,0.9318938208487655,mediana_IQR
Sep25,Gdl,Ren,Dep,Chapalita,15,19000.0,6500.0,31000.0,-0.17780621409127476,mediana_IQR,54.0,44.0,165.0,2.1138244586576787,mediana_IQR,279.4117647058824,122.64150943396228,480.0,0.11371442289360742,mediana_IQR
Sep25,Gdl,Ren,Dep,Colinas de San Javier,9,32500.0,24000.0,35000.0,-0.5449215415664564,mediana_rango,100.0,70.0,200.0,0.873157383227186,mediana_rango,283.3333333333333,165.0,350.0,-0.4277949690201009,mediana_rango
Sep25,Gdl,Ren,Dep,Colomos Providencia,50,25900.0,18500.0,98000.0,2.3834083497995167,mediana_IQR,75.5,50.0,350.0,2.409763807727311,mediana_IQR,322.8704275743466,152.94117647058823,457.6271186440678,-0.22702390538386433,media_desv
Sep25,Gdl,Ren,Dep,Country Club,33,34000.0,14000.0,100000.0,3.0061873795030043,mediana_IQR,140.0,41.0,345.0,1.6011531190184254,mediana_IQR,275.3164556962025,158.3710407239819,463.4146341463415,0.5494805365634242,mediana_IQR
Sep25,Gdl,Ren,Dep,El Retiro,7,13500.0,11000.0,17000.0,0.35203887674570317,mediana_rango,60.0,47.0,80.0,0.3910562715121421,mediana_rango,257.5757575757576,166.66666666666666,287.2340425531915,-0.6296576958285981,mediana_rango
Sep25,Gdl,Ren,Dep,Italia Providencia,10,26225.0,16200.0,49000.0,0.826214863793028,mediana_IQR,98.5,40.0,150.0,-0.3652421036496192,mediana_IQR,296.9107551487414,170.0,405.0,-0.45842550957376776,mediana_IQR
Sep25,Gdl,Ren,Dep,Jardines del Bosque,18,28750.0,13000.0,35000.0,-0.7339795821308196,mediana_IQR,114.0,70.0,220.0,1.123679508794774,mediana_IQR,243.63131079203333,81.81818181818181,321.10091743119267,-0.9586123952206734,mediana_IQR
Sep25,Gdl,Ren,Dep,La Aurora,8,10750.0,9500.0,13000.0,0.34856349147466403,mediana_rango,67.0,59.0,120.0,1.5884407015361404,mediana_rango,173.1691368788143,79.16666666666667,216.66666666666663,-0.773311814299477,mediana_rango
Sep25,Gdl,Ren,Dep,Ladrón de Guevara,42,25750.0,16000.0,75000.0,2.7293331795990805,mediana_IQR,94.0,37.0,303.0,1.9965305976149321,mediana_IQR,281.0751416070573,144.11764705882354,434.2105263157895,0.1504294982575399,media_desv
Sep25,Gdl,Ren,Dep,Lomas del Country,21,22000.0,8200.0,55000.0,2.774510945462344,mediana_IQR,60.0,35.0,310.0,3.9996011828946174,mediana_IQR,350.0,177.4193548387097,430.7837837837838,-0.6161964775237483,mediana_IQR
Sep25,Gdl,Ren,Dep,Moderna,14,18400.0,13500.0,26000.0,0.6920815435669446,mediana_IQR,63.5,43.0,180.0,1.9851332655923555,mediana_IQR,301.29672006102214,108.33333333333331,441.86046511627904,-0.4282759791831239,mediana_IQR
Sep25,Gdl,Ren,Dep,Monraz,10,29750.0,18000.0,40000.0,-0.17442097630446834,mediana_IQR,119.5,43.0,160.0,-0.32410052733062267,mediana_IQR,268.7455954897815,162.5,418.6046511627907,0.30496021107892407,mediana_IQR
