Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_representativo,precio_min,precio_max,precio_skew,precio_metodo,area_m2_representativo,area_m2_min,area_m2_max,area_m2_skew,area_m2_metodo,PxM2_representativo,PxM2_min,PxM2_max,PxM2_skew,PxM2_metodo
Sep25,Gdl,Ven,Cas,Americana,11,9500000.0,5700000.0,20500000.0,1.1331122975885817,mediana_IQR,272.0,99.0,521.0,0.8381732952069826,mediana_IQR,39583.33333,31358.88502,70707.07071,2.293458733160727,mediana_IQR
Sep25,Gdl,Ven,Cas,Artesanos (Sagrada Familia y/o Jesús),5,4500000.0,3420000.0,7350000.0,1.7464887277005707,mediana_rango,180.0,122.0,195.0,-0.8683475072297364,mediana_rango,26666.66667,23076.92308,40833.33333,1.7580074297564023,mediana_rango
Sep25,Gdl,Ven,Cas,Chapalita,12,11120000.0,6500000.0,29900000.0,2.4532355486694937,mediana_IQR,310.5,180.0,801.0,2.1275218654093835,mediana_IQR,35630.213045,25000.0,54950.0,0.829809208221658,mediana_IQR
Sep25,Gdl,Ven,Cas,Colomos Providencia,9,12495000.0,6200000.0,43990000.0,2.58045236699882,mediana_rango,270.0,150.0,670.0,0.8176375912141929,mediana_rango,48148.14815,26357.14286,65656.71642,0.030875390954797563,mediana_rango
Sep25,Gdl,Ven,Cas,Del Fresno,6,3076000.0,2450000.0,4150000.0,0.522740870454801,mediana_rango,177.0,119.0,229.0,-0.604196262455132,mediana_rango,16530.329685,14000.0,25210.08403,1.0692666321491846,mediana_rango
Sep25,Gdl,Ven,Cas,Del Sur,5,4200000.0,2790000.0,7950000.0,1.510075076291248,mediana_rango,194.0,116.0,238.0,-0.7577178730375406,mediana_rango,24051.72414,16958.76289,33403.36134,0.6764424256260952,mediana_rango
Sep25,Gdl,Ven,Cas,Independencia,5,6600000.0,2450000.0,9900000.0,-0.29916851105392145,mediana_rango,276.0,99.0,307.0,-0.9146330319862832,mediana_rango,27966.10169,23913.04348,32247.557,0.053565528203754986,mediana_rango
Sep25,Gdl,Ven,Cas,Independencia Oriente,8,4600000.0,3800000.0,7980000.0,1.879498062761159,mediana_rango,192.5,131.0,294.0,0.37886967910128494,mediana_rango,23926.47059,15384.61538,43135.13514,0.8791022877481535,mediana_rango
Sep25,Gdl,Ven,Cas,Insurgentes,6,3500000.0,1820000.0,6980000.0,1.1872949748494745,mediana_rango,200.5,74.0,261.0,-0.9186747098472249,mediana_rango,19238.888890000002,12260.5364,39659.09091,1.5392972269289906,mediana_rango
Sep25,Gdl,Ven,Cas,Italia Providencia,5,11500000.0,11500000.0,12300000.0,1.2577882373436318,mediana_rango,322.0,269.0,360.0,0.03582473894151593,mediana_rango,38198.75776,33055.55556,42750.92937,-0.10659897357294106,mediana_rango
Sep25,Gdl,Ven,Cas,Jardines Alcalde,6,7300000.0,6013000.0,9800000.0,1.2581647394610418,mediana_rango,217.5,160.0,338.0,0.5455980646167933,mediana_rango,32931.384855,24350.64935,38125.0,-0.20380196046164123,mediana_rango
Sep25,Gdl,Ven,Cas,Jardines Plaza del Sol,5,7800000.0,7500000.0,12800000.0,1.421106478899539,mediana_rango,239.0,220.0,414.0,1.9627392772323864,mediana_rango,32635.98326,23913.04348,47407.40741,0.9140521777908406,mediana_rango
Sep25,Gdl,Ven,Cas,Jardines de La Paz,7,4995000.0,3490000.0,7390000.0,0.6563133203020018,mediana_rango,170.0,84.0,423.0,1.0203608762557954,mediana_rango,28968.25397,17373.52246,41547.61905,0.344150895050668,mediana_rango
Sep25,Gdl,Ven,Cas,Jardines del Bosque,20,9675000.0,3160000.0,15800000.0,0.12597385327422192,mediana_IQR,335.0,97.0,600.0,0.06595419519294667,mediana_IQR,29793.148025000002,16500.0,42288.78049,0.011412631802780581,mediana_IQR
Sep25,Gdl,Ven,Cas,Jardines del Country,8,5920000.0,4950000.0,10100000.0,2.0893090168079786,mediana_rango,225.0,144.0,286.0,-0.2075823897767143,mediana_rango,30818.09465,22115.38462,43680.55556,0.7230209866780449,mediana_rango
Sep25,Gdl,Ven,Cas,La Esperanza (La Federacha),8,5500000.0,2200000.0,5900000.0,-0.9213001669960978,mediana_rango,294.0,175.0,375.0,-0.3291734424819276,mediana_rango,17868.02721,10416.66667,21153.84615,-0.771027693892712,mediana_rango
