Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Gdl,Ven,Cas,1 de Mayo,1,1724904.0,1724904.0,1724904.0,271.0,271.0,271.0,6364.95941,6364.95941,6364.95941
Sep25,Gdl,Ven,Cas,18 de Marzo,1,3980000.0,3980000.0,3980000.0,110.0,110.0,110.0,36181.81818,36181.81818,36181.81818
Sep25,Gdl,Ven,Cas,5 de Mayo,1,2490000.0,2490000.0,2490000.0,200.0,200.0,200.0,12450.0,12450.0,12450.0
Sep25,Gdl,Ven,Cas,8 de Julio,4,2500000.0,2500000.0,2500000.0,100.0,107.5,120.0,20833.33333,23390.151514999998,25000.0
Sep25,Gdl,Ven,Cas,Aaron Joaquín,1,5690000.0,5690000.0,5690000.0,240.0,240.0,240.0,23708.33333,23708.33333,23708.33333
Sep25,Gdl,Ven,Cas,Alcalde Barranquitas,2,6990000.0,7245000.0,7500000.0,201.0,265.5,330.0,21181.81818,29247.625509999998,37313.43284
Sep25,Gdl,Ven,Cas,Aldama Tetlán,3,2360000.0,2646666.6666666665,2850000.0,91.0,141.0,212.0,13443.39623,20709.154053333335,25934.06593
Sep25,Gdl,Ven,Cas,Americana,11,5700000.0,10927272.727272727,20500000.0,99.0,273.0,521.0,31358.88502,41679.614158181816,70707.07071
Sep25,Gdl,Ven,Cas,Arboledas Sur,2,2190000.0,2290000.0,2390000.0,50.0,50.0,50.0,43800.0,45800.0,47800.0
Sep25,Gdl,Ven,Cas,Arcos Vallarta,2,7800000.0,10900000.0,14000000.0,367.0,483.0,599.0,21253.40599,22312.84657,23372.28715
Sep25,Gdl,Ven,Cas,Artesanos (Sagrada Familia y/o Jesús),5,3420000.0,4754000.0,7350000.0,122.0,168.4,195.0,23076.92308,28337.32661,40833.33333
Sep25,Gdl,Ven,Cas,Atlas,2,2650000.0,2675000.0,2700000.0,100.0,121.5,143.0,18531.46853,22765.734265,27000.0
Sep25,Gdl,Ven,Cas,Autocinema,2,3300000.0,4582083.0,5864166.0,156.0,165.5,175.0,21153.84615,27331.683075,33509.52
Sep25,Gdl,Ven,Cas,Ayuntamiento,1,3300000.0,3300000.0,3300000.0,87.0,87.0,87.0,37931.03448,37931.03448,37931.03448
Sep25,Gdl,Ven,Cas,Beatriz Hernández,1,2890000.0,2890000.0,2890000.0,150.0,150.0,150.0,19266.66667,19266.66667,19266.66667
Sep25,Gdl,Ven,Cas,Belisario Domínguez,2,2200000.0,3025000.0,3850000.0,114.0,298.5,483.0,7971.014493,13634.6300515,19298.24561
Sep25,Gdl,Ven,Cas,Blanco y Cuellar,1,3570000.0,3570000.0,3570000.0,220.0,220.0,220.0,16227.27273,16227.27273,16227.27273
Sep25,Gdl,Ven,Cas,Bosques de La Victoria,2,9840000.0,10070000.0,10300000.0,468.0,468.0,468.0,21025.64103,21517.094019999997,22008.54701
Sep25,Gdl,Ven,Cas,Chapalita,12,6500000.0,12006333.333333334,29900000.0,180.0,345.0833333333333,801.0,25000.0,35574.256485833335,54950.0
Sep25,Gdl,Ven,Cas,Chapultepec Country,1,6000000.0,6000000.0,6000000.0,198.0,198.0,198.0,30303.0303,30303.0303,30303.0303
Sep25,Gdl,Ven,Cas,Circunvalación Belisario,4,870000.0,2420000.0,3800000.0,31.0,113.75,181.0,14917.12707,23129.46877,28064.51613
Sep25,Gdl,Ven,Cas,Circunvalación Oblatos,3,3000000.0,4730000.0,7890000.0,72.0,248.33333333333334,480.0,16437.5,25067.53742333333,41666.66667
Sep25,Gdl,Ven,Cas,Colinas de Huentitán,1,3080000.0,3080000.0,3080000.0,90.0,90.0,90.0,34222.22222,34222.22222,34222.22222
Sep25,Gdl,Ven,Cas,Colinas de San Javier,4,15490000.0,28592500.0,45000000.0,405.0,553.25,731.0,38246.91358,50281.47306999999,61559.50752
Sep25,Gdl,Ven,Cas,Colomos Providencia,9,6200000.0,14595000.0,43990000.0,150.0,336.1111111111111,670.0,26357.14286,44046.45944222222,65656.71642
Sep25,Gdl,Ven,Cas,Colon Industrial,2,4490000.0,5995000.0,7500000.0,233.0,259.0,285.0,19270.38627,22793.08787,26315.78947
