Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Gdl,Ven,Dep,Alcalde Barranquitas,8,2200000.0,3299076.875,4400000.0,63.0,75.25,90.0,32835.8209,43481.710387499996,51223.8806
Sep25,Gdl,Ven,Dep,Americana,83,1730484.0,4519095.469879518,8300000.0,30.0,72.33734939759036,140.0,40714.28571,64836.857259036144,106169.0141
Sep25,Gdl,Ven,Dep,Analco,1,1302000.0,1302000.0,1302000.0,56.0,56.0,56.0,23250.0,23250.0,23250.0
Sep25,Gdl,Ven,Dep,Arcos,15,2657000.0,3438195.533333333,4700000.0,43.0,63.733333333333334,106.0,40000.0,55791.83858266667,72888.88889
Sep25,Gdl,Ven,Dep,Arcos Vallarta,96,1835350.0,4817848.958333333,15232689.0,33.0,79.1875,154.0,33375.0,62894.744535,119942.4331
Sep25,Gdl,Ven,Dep,Artesanos (Sagrada Familia y/o Jesús),19,1999000.0,3360883.052631579,5200000.0,50.0,74.63157894736842,140.0,37142.85714,45643.77927578947,52457.94737
Sep25,Gdl,Ven,Dep,Atlas,3,3281218.0,3413797.0,3619940.0,76.0,80.0,82.0,40014.85366,42703.63254333333,44145.60976
Sep25,Gdl,Ven,Dep,Ayuntamiento,15,2468829.0,4156526.533333333,5900000.0,40.0,83.46666666666667,128.0,44594.59459,50757.149396,66976.725
Sep25,Gdl,Ven,Dep,Barragán Hernández,3,1656910.0,2270052.3333333335,2738247.0,45.0,58.333333333333336,69.0,35000.0,38903.17243333333,44889.29508
Sep25,Gdl,Ven,Dep,Blanco y Cuellar,1,1600000.0,1600000.0,1600000.0,47.0,47.0,47.0,34042.55319,34042.55319,34042.55319
Sep25,Gdl,Ven,Dep,Bosques de La Victoria,3,2400000.0,2633333.3333333335,2850000.0,59.0,82.0,122.0,21721.31148,35415.14381,43846.15385
Sep25,Gdl,Ven,Dep,Centro,1,5791250.0,5791250.0,5791250.0,102.0,102.0,102.0,56776.96078,56776.96078,56776.96078
Sep25,Gdl,Ven,Dep,Chapalita,36,2668666.0,5500125.305555556,11162611.0,41.0,85.44444444444444,178.0,37640.44944,67316.79677138888,120408.1633
Sep25,Gdl,Ven,Dep,Chapultepec Country,18,2670112.0,5263957.111111111,6980000.0,39.0,92.77777777777777,130.0,46153.84615,57776.09297222222,68464.41026
Sep25,Gdl,Ven,Dep,Circunvalación Américas,16,3640075.0,6799318.5,9273000.0,57.0,101.5625,144.0,60391.75969,68019.0379525,86791.22535
Sep25,Gdl,Ven,Dep,Circunvalación Vallarta,12,2694384.0,4534780.833333333,6335000.0,40.0,74.08333333333333,110.0,39090.90909,62404.008884166666,75446.26667
Sep25,Gdl,Ven,Dep,Colinas de San Javier,12,4850000.0,7001232.666666667,9755896.0,81.0,119.5,175.0,48306.45161,58833.32031333333,72805.19403
Sep25,Gdl,Ven,Dep,Colomos,8,4512500.0,6907227.875,8880000.0,71.0,127.625,176.0,48528.40909,55344.77396875,64197.53086
Sep25,Gdl,Ven,Dep,Colomos Providencia,100,3161934.0,6754925.4,15089000.0,51.0,99.87,190.0,37153.28467,69170.2321982,100766.6935
Sep25,Gdl,Ven,Dep,Country Club,36,2783401.0,8156813.611111111,13900000.0,53.0,128.0,190.0,47368.42105,64023.65899888889,86875.0
Sep25,Gdl,Ven,Dep,Del Bosque,7,1490000.0,2288347.0,3968429.0,48.0,52.142857142857146,58.0,28653.84615,44459.14109714286,82675.60417
Sep25,Gdl,Ven,Dep,Del Fresno,8,1600000.0,2546613.25,4096842.0,36.0,64.625,101.0,26666.66667,41022.8525375,51858.75949
Sep25,Gdl,Ven,Dep,Dr. Valentín Gómez Farías,3,1296000.0,1506666.6666666667,1628000.0,50.0,50.0,50.0,25920.0,30133.333333333332,32560.0
Sep25,Gdl,Ven,Dep,El Dean,1,2477000.0,2477000.0,2477000.0,57.0,57.0,57.0,43456.14035,43456.14035,43456.14035
Sep25,Gdl,Ven,Dep,El Manantial,2,2172480.0,2297639.0,2422798.0,65.0,70.0,75.0,32303.97333,32863.37128,33422.76923
Sep25,Gdl,Ven,Dep,El Rastro,4,1646000.0,2024000.0,2450000.0,45.0,61.0,76.0,31818.18182,33491.53376,36577.77778
Sep25,Gdl,Ven,Dep,El Retiro,22,1544000.0,2119946.4545454546,2910000.0,33.0,48.59090909090909,70.0,35428.57143,44730.466577727275,66136.36364
Sep25,Gdl,Ven,Dep,El Rosario,1,1910000.0,1910000.0,1910000.0,56.0,56.0,56.0,34107.14286,34107.14286,34107.14286
Sep25,Gdl,Ven,Dep,El Sauz,2,1250000.0,1472500.0,1695000.0,50.0,51.5,53.0,23584.90566,28742.452830000002,33900.0
Sep25,Gdl,Ven,Dep,El Verde (Planetario),2,930000.0,1756088.5,2582177.0,59.0,81.5,104.0,15762.71186,20295.668429999998,24828.625
Sep25,Gdl,Ven,Dep,Fidel Velázquez,10,1538000.0,3047300.0,3950000.0,77.0,84.4,103.0,14932.03883,36660.44190399999,43406.59341
Sep25,Gdl,Ven,Dep,Fovissste Estadio,1,1385000.0,1385000.0,1385000.0,54.0,54.0,54.0,25648.14815,25648.14815,25648.14815
Sep25,Gdl,Ven,Dep,Fábrica de Atemajac,1,1890000.0,1890000.0,1890000.0,68.0,68.0,68.0,27794.11765,27794.11765,27794.11765
Sep25,Gdl,Ven,Dep,Hormiguero,1,1870000.0,1870000.0,1870000.0,63.0,63.0,63.0,29682.53968,29682.53968,29682.53968
Sep25,Gdl,Ven,Dep,Huentitán El Alto,2,1950000.0,2100000.0,2250000.0,58.0,59.0,60.0,32500.0,35646.551725,38793.10345
Sep25,Gdl,Ven,Dep,Huentitán El Bajo,11,1640000.0,2120000.0,2510000.0,38.0,50.0,62.0,31538.46154,43483.29783363637,56578.94737
Sep25,Gdl,Ven,Dep,Independencia,1,2366833.0,2366833.0,2366833.0,55.0,55.0,55.0,43033.32727,43033.32727,43033.32727
Sep25,Gdl,Ven,Dep,Independencia Oriente,2,2670000.0,2970000.0,3270000.0,74.0,80.5,87.0,36081.08108,36833.64399,37586.2069
