Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Gdl,Ven,LocC,5 de Mayo,1,4380000.0,4380000.0,4380000.0,183.0,183.0,183.0,23934.42623,23934.42623,23934.42623
Sep25,Gdl,Ven,LocC,8 de Julio,1,18800000.0,18800000.0,18800000.0,688.0,688.0,688.0,27325.5814,27325.5814,27325.5814
Sep25,Gdl,Ven,LocC,Americana,7,1390000.0,14108528.714285715,30450000.0,33.0,324.85714285714283,559.0,26452.90581,43692.44436714285,54569.89247
Sep25,Gdl,Ven,LocC,Analco,2,2430000.0,4205000.0,5980000.0,255.0,283.0,311.0,9529.411765,14378.8537925,19228.29582
Sep25,Gdl,Ven,LocC,Arcos,1,8500000.0,8500000.0,8500000.0,126.0,126.0,126.0,67460.31746,67460.31746,67460.31746
Sep25,Gdl,Ven,LocC,Arcos Vallarta,6,2697000.0,8789325.0,15590000.0,41.0,221.16666666666666,408.0,19801.5873,44210.122643333336,65780.4878
Sep25,Gdl,Ven,LocC,Artesanos (Sagrada Familia y/o Jesús),3,3500000.0,10342666.666666666,21228000.0,42.0,359.0,791.0,25819.67213,45329.97358666667,83333.33333
Sep25,Gdl,Ven,LocC,Barragán Hernández,1,3300000.0,3300000.0,3300000.0,130.0,130.0,130.0,25384.61538,25384.61538,25384.61538
Sep25,Gdl,Ven,LocC,Belisario Domínguez,1,12800000.0,12800000.0,12800000.0,369.0,369.0,369.0,34688.34688,34688.34688,34688.34688
Sep25,Gdl,Ven,LocC,Benito Juárez,1,3000000.0,3000000.0,3000000.0,168.0,168.0,168.0,17857.14286,17857.14286,17857.14286
Sep25,Gdl,Ven,LocC,Bosques de La Victoria,1,5000000.0,5000000.0,5000000.0,270.0,270.0,270.0,18518.51852,18518.51852,18518.51852
Sep25,Gdl,Ven,LocC,Centro,2,12955000.0,17307500.0,21660000.0,356.0,368.5,381.0,34002.62467,47422.66065,60842.69663
Sep25,Gdl,Ven,LocC,Chapalita,1,17000000.0,17000000.0,17000000.0,344.0,344.0,344.0,49418.60465,49418.60465,49418.60465
Sep25,Gdl,Ven,LocC,Colinas de San Javier,2,1800000.0,2195000.0,2590000.0,33.0,42.0,51.0,50784.31373,52664.88414,54545.45455
Sep25,Gdl,Ven,LocC,Colomos Providencia,1,13500000.0,13500000.0,13500000.0,180.0,180.0,180.0,75000.0,75000.0,75000.0
Sep25,Gdl,Ven,LocC,Del Fresno,2,22000000.0,23400000.0,24800000.0,650.0,883.0,1116.0,19713.26165,28933.5539,38153.84615
Sep25,Gdl,Ven,LocC,Del Sur,1,2850000.0,2850000.0,2850000.0,187.0,187.0,187.0,15240.64171,15240.64171,15240.64171
Sep25,Gdl,Ven,LocC,El Carmen,1,4244526.0,4244526.0,4244526.0,90.0,90.0,90.0,47161.4,47161.4,47161.4
Sep25,Gdl,Ven,LocC,El Rastro,5,3884197.0,7485337.0,11790203.0,106.0,203.4,323.0,36432.23353,36779.771654,37763.47826
Sep25,Gdl,Ven,LocC,El Rosario,1,4500000.0,4500000.0,4500000.0,291.0,291.0,291.0,15463.91753,15463.91753,15463.91753
Sep25,Gdl,Ven,LocC,Ferrocarril,1,1650000.0,1650000.0,1650000.0,99.0,99.0,99.0,16666.66667,16666.66667,16666.66667
Sep25,Gdl,Ven,LocC,Hermosa Provincia,1,3200000.0,3200000.0,3200000.0,107.0,107.0,107.0,29906.54206,29906.54206,29906.54206
Sep25,Gdl,Ven,LocC,Hernández Romo,1,2500000.0,2500000.0,2500000.0,186.0,186.0,186.0,13440.86022,13440.86022,13440.86022
Sep25,Gdl,Ven,LocC,Independencia Oriente,1,7710000.0,7710000.0,7710000.0,221.0,221.0,221.0,34886.87783,34886.87783,34886.87783
Sep25,Gdl,Ven,LocC,Insurgentes,3,1880000.0,4540000.0,8000000.0,70.0,134.0,232.0,16120.68966,40992.61084,80000.0
Sep25,Gdl,Ven,LocC,Jardines Alcalde,1,7500000.0,7500000.0,7500000.0,250.0,250.0,250.0,30000.0,30000.0,30000.0
Sep25,Gdl,Ven,LocC,Jardines de Los Arcos,1,21200000.0,21200000.0,21200000.0,381.0,381.0,381.0,55643.04462,55643.04462,55643.04462
Sep25,Gdl,Ven,LocC,Jardines de Los Historiadores,1,4990000.0,4990000.0,4990000.0,330.0,330.0,330.0,15121.21212,15121.21212,15121.21212
Sep25,Gdl,Ven,LocC,Jardines del Bosque,2,5752508.0,17826254.0,29900000.0,129.0,474.5,820.0,36463.41463,40528.24995,44593.08527
Sep25,Gdl,Ven,LocC,Juan Manuel,2,20000000.0,20000000.0,20000000.0,402.0,402.0,402.0,49751.24378,49751.24378,49751.24378
Sep25,Gdl,Ven,LocC,La Aurora,1,3490000.0,3490000.0,3490000.0,146.0,146.0,146.0,23904.10959,23904.10959,23904.10959
Sep25,Gdl,Ven,LocC,La Guadalupana,1,750000.0,750000.0,750000.0,100.0,100.0,100.0,7500.0,7500.0,7500.0
Sep25,Gdl,Ven,LocC,La Penal,3,1800000.0,9566666.666666666,18000000.0,150.0,524.0,872.0,12000.0,16274.673336666667,20642.20183
Sep25,Gdl,Ven,LocC,La Perla,2,1100000.0,3500000.0,5900000.0,81.0,152.5,224.0,13580.24691,19959.76631,26339.28571
Sep25,Gdl,Ven,LocC,Ladrón de Guevara,13,950000.0,7225521.538461538,32000000.0,31.0,172.6153846153846,837.0,5792.682927,49834.56773823077,72579.26531
Sep25,Gdl,Ven,LocC,Las Conchas,2,3950000.0,11057500.0,18165000.0,264.0,607.0,950.0,14962.12121,17041.586919999998,19121.05263
Sep25,Gdl,Ven,LocC,Las Huertas,1,3099000.0,3099000.0,3099000.0,211.0,211.0,211.0,14687.20379,14687.20379,14687.20379
Sep25,Gdl,Ven,LocC,Lomas de Polanco,1,1550000.0,1550000.0,1550000.0,148.0,148.0,148.0,10472.97297,10472.97297,10472.97297
Sep25,Gdl,Ven,LocC,Mexicaltzingo,2,4810569.0,5834202.5,6857836.0,100.0,121.5,143.0,47956.8951,48031.29255,48105.69
Sep25,Gdl,Ven,LocC,Mezquitán,3,2754548.0,5018182.666666667,7800000.0,67.0,229.0,376.0,18442.62295,26766.65350666667,41112.65672
Sep25,Gdl,Ven,LocC,Miravalle,1,4200000.0,4200000.0,4200000.0,218.0,218.0,218.0,19266.05505,19266.05505,19266.05505
Sep25,Gdl,Ven,LocC,Moderna,2,3800000.0,10500000.0,17200000.0,139.0,478.5,818.0,21026.89487,24182.512185,27338.1295
Sep25,Gdl,Ven,LocC,Monumental,1,7500000.0,7500000.0,7500000.0,243.0,243.0,243.0,30864.19753,30864.19753,30864.19753
Sep25,Gdl,Ven,LocC,Obrera,9,3080000.0,12328750.0,28000000.0,45.0,342.44444444444446,789.0,28782.89474,42850.096966666664,68444.44444
Sep25,Gdl,Ven,LocC,Olimpica,2,2850000.0,2975000.0,3100000.0,129.0,202.0,275.0,11272.72727,16682.875265000002,22093.02326
Sep25,Gdl,Ven,LocC,Progreso,1,4100000.0,4100000.0,4100000.0,520.0,520.0,520.0,7884.615385,7884.615385,7884.615385
Sep25,Gdl,Ven,LocC,Providencia,5,3411072.0,12146874.4,21191500.0,40.0,183.2,309.0,36836.75214,73839.72259399999,99303.0303
Sep25,Gdl,Ven,LocC,Real,1,4800000.0,4800000.0,4800000.0,404.0,404.0,404.0,11881.18812,11881.18812,11881.18812
Sep25,Gdl,Ven,LocC,San Andrés,2,3400000.0,9100000.0,14800000.0,260.0,289.5,319.0,13076.92308,29735.953705,46394.98433
Sep25,Gdl,Ven,LocC,San Carlos,1,6850000.0,6850000.0,6850000.0,300.0,300.0,300.0,22833.33333,22833.33333,22833.33333
Sep25,Gdl,Ven,LocC,San Juan de Dios,2,1800000.0,7650000.0,13500000.0,104.0,187.0,270.0,17307.69231,33653.846155,50000.0
