Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Gdl,Ven,Local comercial,8 de Julio,1,18800000.0,18800000.0,18800000.0,688.0,688.0,688.0,27325.58139534884,27325.58139534884,27325.58139534884
Sep25,Gdl,Ven,Local comercial,Americana,5,1390000.0,23408000.0,47000000.0,33.0,640.2,1552.0,26452.905811623248,39630.04694038333,54569.89247311828
Sep25,Gdl,Ven,Local comercial,Analco,1,2430000.0,2430000.0,2430000.0,255.0,255.0,255.0,9529.411764705885,9529.411764705885,9529.411764705885
Sep25,Gdl,Ven,Local comercial,Arcos,1,8500000.0,8500000.0,8500000.0,126.0,126.0,126.0,67460.31746031746,67460.31746031746,67460.31746031746
Sep25,Gdl,Ven,Local comercial,Arcos Vallarta,4,8808950.0,12337237.5,15590000.0,211.0,360.75,599.0,23372.28714524207,37999.579081171585,48666.66666666666
Sep25,Gdl,Ven,Local comercial,Barragán Hernández,1,3300000.0,3300000.0,3300000.0,130.0,130.0,130.0,25384.615384615383,25384.615384615383,25384.615384615383
Sep25,Gdl,Ven,Local comercial,Benito Juárez,1,3000000.0,3000000.0,3000000.0,168.0,168.0,168.0,17857.14285714286,17857.14285714286,17857.14285714286
Sep25,Gdl,Ven,Local comercial,Centro,1,12955000.0,12955000.0,12955000.0,381.0,381.0,381.0,34002.62467191601,34002.62467191601,34002.62467191601
Sep25,Gdl,Ven,Local comercial,Colomos Providencia,1,13500000.0,13500000.0,13500000.0,180.0,180.0,180.0,75000.0,75000.0,75000.0
Sep25,Gdl,Ven,Local comercial,Del Fresno,2,22000000.0,23400000.0,24800000.0,650.0,883.0,1116.0,19713.26164874552,28933.55390129584,38153.84615384616
Sep25,Gdl,Ven,Local comercial,El Carmen,1,4244526.0,4244526.0,4244526.0,90.0,90.0,90.0,47161.4,47161.4,47161.4
