Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Gdl,Ven,Ofc,Americana,3,1599999.0,9933333.0,18000000.0,51.0,474.6666666666667,812.0,18181.81818181818,23907.27842610398,31372.529411764703
Sep25,Gdl,Ven,Ofc,Arcos Vallarta,3,15990000.0,20756000.0,28928000.0,472.0,563.0,694.0,25000.0,38953.91645331692,61288.13559322034
Sep25,Gdl,Ven,Ofc,Chapalita,3,2805000.0,8865000.0,15990000.0,187.0,439.0,800.0,15000.0,19541.28787878788,23636.36363636364
Sep25,Gdl,Ven,Ofc,Circunvalación Vallarta,5,8650000.0,22140000.0,49700000.0,160.0,435.2,1214.0,30416.666666666668,62561.98324336909,95391.70506912442
Sep25,Gdl,Ven,Ofc,Country Club,8,6258000.0,18107875.0,72000000.0,100.0,276.0,1200.0,60000.0,70219.50809368645,107594.93670886075
Sep25,Gdl,Ven,Ofc,Independencia Oriente,1,1300000.0,1300000.0,1300000.0,49.0,49.0,49.0,26530.61224489796,26530.61224489796,26530.61224489796
Sep25,Gdl,Ven,Ofc,Jardines Plaza del Sol,1,11750000.0,11750000.0,11750000.0,275.0,275.0,275.0,42727.27272727273,42727.27272727273,42727.27272727273
Sep25,Gdl,Ven,Ofc,Jardines del Bosque,2,3500000.0,4125000.0,4750000.0,122.0,139.0,156.0,22435.89743589744,30685.16183270282,38934.42622950819
Sep25,Gdl,Ven,Ofc,Juan Manuel,1,3850000.0,3850000.0,3850000.0,141.0,141.0,141.0,27304.96453900709,27304.96453900709,27304.96453900709
Sep25,Gdl,Ven,Ofc,La Cruz,1,7600000.0,7600000.0,7600000.0,272.0,272.0,272.0,27941.176470588234,27941.176470588234,27941.176470588234
Sep25,Gdl,Ven,Ofc,La Perla,1,4690000.0,4690000.0,4690000.0,200.0,200.0,200.0,23450.0,23450.0,23450.0
Sep25,Gdl,Ven,Ofc,Ladrón de Guevara,7,14346976.0,15091679.142857144,15835778.0,193.0,239.57142857142858,300.0,51161.74333333333,64250.98261982468,74595.85492227979
Sep25,Gdl,Ven,Ofc,Prados Providencia,1,4500000.0,4500000.0,4500000.0,100.0,100.0,100.0,45000.0,45000.0,45000.0
Sep25,Gdl,Ven,Ofc,Providencia,1,8465746.0,8465746.0,8465746.0,135.0,135.0,135.0,62709.229629629626,62709.229629629626,62709.229629629626
Sep25,Gdl,Ven,Ofc,Providencia 2a Sección,2,15800000.0,16595000.0,17390000.0,275.0,282.0,289.0,57454.545454545456,58813.77791758415,60173.01038062284
Sep25,Gdl,Ven,Ofc,San Juan de Dios,1,4280000.0,4280000.0,4280000.0,177.0,177.0,177.0,24180.790960451977,24180.790960451977,24180.790960451977
Sep25,Gdl,Ven,Ofc,Vallarta,1,16380000.0,16380000.0,16380000.0,327.0,327.0,327.0,50091.74311926605,50091.74311926605,50091.74311926605
Sep25,Gdl,Ven,Ofc,Victoria,1,20000000.0,20000000.0,20000000.0,520.0,520.0,520.0,38461.53846153846,38461.53846153846,38461.53846153846
Sep25,Gdl,Ven,Ofc,Zona Industrial,1,4490000.0,4490000.0,4490000.0,233.0,233.0,233.0,19270.38626609442,19270.38626609442,19270.38626609442
