Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Gdl,Ven,Terreno / Lote,8 de Julio,1,5800000.0,5800000.0,5800000.0,353.0,353.0,353.0,16430.594900849857,16430.594900849857,16430.594900849857
Sep25,Gdl,Ven,Terreno / Lote,Arcos,1,26500000.0,26500000.0,26500000.0,649.0,649.0,649.0,40832.04930662558,40832.04930662558,40832.04930662558
Sep25,Gdl,Ven,Terreno / Lote,Arcos Vallarta,2,14500000.0,17700000.0,20900000.0,328.0,396.0,464.0,31250.0,47484.756097560974,63719.51219512195
Sep25,Gdl,Ven,Terreno / Lote,Circunvalación Oblatos,1,22220000.0,22220000.0,22220000.0,1587.0,1587.0,1587.0,14001.260239445495,14001.260239445495,14001.260239445495
Sep25,Gdl,Ven,Terreno / Lote,Del Fresno,1,2390000.0,2390000.0,2390000.0,129.0,129.0,129.0,18527.131782945737,18527.131782945737,18527.131782945737
Sep25,Gdl,Ven,Terreno / Lote,Ladrón de Guevara,1,9500000.0,9500000.0,9500000.0,345.0,345.0,345.0,27536.23188405797,27536.23188405797,27536.23188405797
Sep25,Gdl,Ven,Terreno / Lote,Lomas de Guevara,1,35000000.0,35000000.0,35000000.0,700.0,700.0,700.0,50000.0,50000.0,50000.0
Sep25,Gdl,Ven,Terreno / Lote,Moderna,1,5800000.0,5800000.0,5800000.0,307.0,307.0,307.0,18892.50814332248,18892.50814332248,18892.50814332248
Sep25,Gdl,Ven,Terreno / Lote,Obrera,1,10490000.0,10490000.0,10490000.0,364.0,364.0,364.0,28818.68131868132,28818.68131868132,28818.68131868132
Sep25,Gdl,Ven,Terreno / Lote,Providencia,1,14000000.0,14000000.0,14000000.0,400.0,400.0,400.0,35000.0,35000.0,35000.0
Sep25,Gdl,Ven,Terreno / Lote,Providencia 4a Sección,1,22000000.0,22000000.0,22000000.0,400.0,400.0,400.0,55000.0,55000.0,55000.0
Sep25,Gdl,Ven,Terreno / Lote,San Juan Bosco,1,4240000.0,4240000.0,4240000.0,170.0,170.0,170.0,24941.176470588234,24941.176470588234,24941.176470588234
Sep25,Gdl,Ven,Terreno / Lote,San Miguel de Mezquitán,2,4800000.0,6050000.0,7300000.0,175.0,315.0,455.0,16043.956043956045,21736.263736263736,27428.571428571428
Sep25,Gdl,Ven,Terreno / Lote,Sutaj,1,4500000.0,4500000.0,4500000.0,200.0,200.0,200.0,22500.0,22500.0,22500.0
Sep25,Gdl,Ven,Terreno / Lote,Vallarta Norte,1,9900000.0,9900000.0,9900000.0,446.0,446.0,446.0,22197.30941704036,22197.30941704036,22197.30941704036
Sep25,Gdl,Ven,Terreno / Lote,Vallarta Poniente,1,16500000.0,16500000.0,16500000.0,650.0,650.0,650.0,25384.615384615383,25384.615384615383,25384.615384615383
Sep25,Gdl,Ven,Terreno / Lote,Villaseñor (Santa Teresita),1,7990000.0,7990000.0,7990000.0,228.0,228.0,228.0,35043.85964912281,35043.85964912281,35043.85964912281
Sep25,Gdl,Ven,Terreno / Lote,Zona Centro,1,9900000.0,9900000.0,9900000.0,400.0,400.0,400.0,24750.0,24750.0,24750.0
