Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ren,CasC,Altamira,1,30000.0,30000.0,30000.0,208.0,208.0,208.0,144.23076923076923,144.23076923076923,144.23076923076923
Sep25,Zap,Ren,CasC,Armonía,2,18000.0,19000.0,20000.0,100.0,110.0,120.0,150.0,175.0,200.0
Sep25,Zap,Ren,CasC,Atlas Colomos,1,45000.0,45000.0,45000.0,380.0,380.0,380.0,118.42105263157896,118.42105263157896,118.42105263157896
Sep25,Zap,Ren,CasC,Autódromo,1,15000.0,15000.0,15000.0,127.0,127.0,127.0,118.11023622047244,118.11023622047244,118.11023622047244
Sep25,Zap,Ren,CasC,Bosque de Los Virreyes,1,115000.0,115000.0,115000.0,499.0,499.0,499.0,230.46092184368737,230.46092184368737,230.46092184368737
Sep25,Zap,Ren,CasC,Bosques Vallarta,1,30000.0,30000.0,30000.0,231.0,231.0,231.0,129.87012987012986,129.87012987012986,129.87012987012986
Sep25,Zap,Ren,CasC,Bosques de San Isidro (Las Cañadas),3,26000.0,40333.333333333336,66000.0,150.0,313.3333333333333,552.0,119.56521739130434,138.24909674014535,173.33333333333334
Sep25,Zap,Ren,CasC,Carrara,1,18000.0,18000.0,18000.0,171.0,171.0,171.0,105.26315789473684,105.26315789473684,105.26315789473684
Sep25,Zap,Ren,CasC,Colinas Virreyes,1,48000.0,48000.0,48000.0,460.0,460.0,460.0,104.34782608695652,104.34782608695652,104.34782608695652
Sep25,Zap,Ren,CasC,Coto Abie,2,16000.0,17500.0,19000.0,108.0,139.0,170.0,111.76470588235294,129.95642701525054,148.14814814814815
Sep25,Zap,Ren,CasC,Coto F2 Norte Sienna,1,17893.0,17893.0,17893.0,158.0,158.0,158.0,113.24683544303798,113.24683544303798,113.24683544303798
Sep25,Zap,Ren,CasC,Coto Vitana,1,19000.0,19000.0,19000.0,151.0,151.0,151.0,125.82781456953644,125.82781456953644,125.82781456953644
Sep25,Zap,Ren,CasC,De Los Novelistas,1,45000.0,45000.0,45000.0,301.0,301.0,301.0,149.5016611295681,149.5016611295681,149.5016611295681
Sep25,Zap,Ren,CasC,Del Valle,1,16600.0,16600.0,16600.0,130.0,130.0,130.0,127.6923076923077,127.6923076923077,127.6923076923077
Sep25,Zap,Ren,CasC,El Bajo Hábitat 2,2,45000.0,49000.0,53000.0,320.0,320.0,320.0,140.625,153.125,165.625
Sep25,Zap,Ren,CasC,El Campestre,1,17900.0,17900.0,17900.0,143.0,143.0,143.0,125.17482517482516,125.17482517482516,125.17482517482516
Sep25,Zap,Ren,CasC,El Centinela,1,16500.0,16500.0,16500.0,129.0,129.0,129.0,127.90697674418604,127.90697674418604,127.90697674418604
Sep25,Zap,Ren,CasC,El Fortín,1,18500.0,18500.0,18500.0,147.0,147.0,147.0,125.85034013605444,125.85034013605444,125.85034013605444
Sep25,Zap,Ren,CasC,Guadalajara (Technology Park),1,33000.0,33000.0,33000.0,207.0,207.0,207.0,159.42028985507247,159.42028985507247,159.42028985507247
Sep25,Zap,Ren,CasC,Jardín Real,2,28000.0,36500.0,45000.0,180.0,230.0,280.0,155.55555555555554,158.13492063492063,160.71428571428572
Sep25,Zap,Ren,CasC,La Ceiba,1,120000.0,120000.0,120000.0,500.0,500.0,500.0,240.0,240.0,240.0
Sep25,Zap,Ren,CasC,La Cima,4,21500.0,26250.0,30000.0,142.0,185.0,212.0,119.44444444444444,146.64348238583767,211.2676056338028
Sep25,Zap,Ren,CasC,La Moraleja,1,12500.0,12500.0,12500.0,100.0,100.0,100.0,125.0,125.0,125.0
Sep25,Zap,Ren,CasC,Las Fuentes,1,35000.0,35000.0,35000.0,250.0,250.0,250.0,140.0,140.0,140.0
Sep25,Zap,Ren,CasC,Las Lomas Golf Hábitat,1,130000.0,130000.0,130000.0,590.0,590.0,590.0,220.33898305084745,220.33898305084745,220.33898305084745
Sep25,Zap,Ren,CasC,Loma Bonita,1,30800.0,30800.0,30800.0,218.0,218.0,218.0,141.28440366972478,141.28440366972478,141.28440366972478
Sep25,Zap,Ren,CasC,Lomas Altas,1,29500.0,29500.0,29500.0,180.0,180.0,180.0,163.88888888888889,163.88888888888889,163.88888888888889
Sep25,Zap,Ren,CasC,Lomas del Batan,1,16000.0,16000.0,16000.0,98.0,98.0,98.0,163.26530612244898,163.26530612244898,163.26530612244898
Sep25,Zap,Ren,CasC,Los Pinos,1,50000.0,50000.0,50000.0,380.0,380.0,380.0,131.57894736842104,131.57894736842104,131.57894736842104
Sep25,Zap,Ren,CasC,Monarca,1,20600.0,20600.0,20600.0,110.0,110.0,110.0,187.27272727272728,187.27272727272728,187.27272727272728
Sep25,Zap,Ren,CasC,Olivos Residencial,2,53000.0,54000.0,55000.0,326.0,327.0,328.0,162.5766871165644,165.12980697291636,167.6829268292683
Sep25,Zap,Ren,CasC,Parque Real,1,20000.0,20000.0,20000.0,95.0,95.0,95.0,210.52631578947367,210.52631578947367,210.52631578947367
Sep25,Zap,Ren,CasC,Parques del Centinela,1,14500.0,14500.0,14500.0,106.0,106.0,106.0,136.7924528301887,136.7924528301887,136.7924528301887
Sep25,Zap,Ren,CasC,Pontevedra,1,100000.0,100000.0,100000.0,522.0,522.0,522.0,191.57088122605364,191.57088122605364,191.57088122605364
Sep25,Zap,Ren,CasC,Porta Real,2,19000.0,24500.0,30000.0,128.0,154.0,180.0,148.4375,157.55208333333331,166.66666666666666
Sep25,Zap,Ren,CasC,Puerta Las Lomas,7,110000.0,128571.42857142857,150000.0,453.0,504.7142857142857,600.0,236.3636363636364,255.0858154496206,268.9243027888446
Sep25,Zap,Ren,CasC,Puerta de Hierro,3,60000.0,77666.66666666667,98000.0,300.0,394.0,482.0,155.60165975103735,200.2005532503458,245.0
Sep25,Zap,Ren,CasC,Puerta del Tule,1,38000.0,38000.0,38000.0,280.0,280.0,280.0,135.71428571428572,135.71428571428572,135.71428571428572
Sep25,Zap,Ren,CasC,Residencial del Valle,1,16000.0,16000.0,16000.0,115.0,115.0,115.0,139.1304347826087,139.1304347826087,139.1304347826087
Sep25,Zap,Ren,CasC,San Isidro Residencial,1,17900.0,17900.0,17900.0,163.0,163.0,163.0,109.8159509202454,109.8159509202454,109.8159509202454
Sep25,Zap,Ren,CasC,San Juan de Ocotán,1,28000.0,28000.0,28000.0,171.0,171.0,171.0,163.74269005847952,163.74269005847952,163.74269005847952
Sep25,Zap,Ren,CasC,Sendas,1,20000.0,20000.0,20000.0,159.0,159.0,159.0,125.78616352201256,125.78616352201256,125.78616352201256
Sep25,Zap,Ren,CasC,Sendas Residencial G2,1,23600.0,23600.0,23600.0,185.0,185.0,185.0,127.56756756756756,127.56756756756756,127.56756756756756
Sep25,Zap,Ren,CasC,Soare Acantia I,1,31000.0,31000.0,31000.0,212.0,212.0,212.0,146.2264150943396,146.2264150943396,146.2264150943396
Sep25,Zap,Ren,CasC,Soare II Coto2,2,29000.0,29250.0,29500.0,200.0,207.0,214.0,135.51401869158877,141.5070093457944,147.5
Sep25,Zap,Ren,CasC,Solares,2,28000.0,30000.0,32000.0,180.0,205.0,230.0,139.1304347826087,147.34299516908212,155.55555555555554
Sep25,Zap,Ren,CasC,Solares Antara,1,26160.0,26160.0,26160.0,210.0,210.0,210.0,124.57142857142856,124.57142857142856,124.57142857142856
Sep25,Zap,Ren,CasC,Sole Real,1,27900.0,27900.0,27900.0,210.0,210.0,210.0,132.85714285714286,132.85714285714286,132.85714285714286
Sep25,Zap,Ren,CasC,Valeira,1,32500.0,32500.0,32500.0,180.0,180.0,180.0,180.55555555555557,180.55555555555557,180.55555555555557
Sep25,Zap,Ren,CasC,Valle Imperial,6,13500.0,21166.666666666668,25000.0,99.0,167.33333333333334,210.0,111.9047619047619,130.15096015096017,176.92307692307693
Sep25,Zap,Ren,CasC,Valle Real,2,23000.0,56500.0,90000.0,140.0,300.0,460.0,164.28571428571428,179.96894409937886,195.65217391304347
Sep25,Zap,Ren,CasC,Villa La Cima,1,50000.0,50000.0,50000.0,380.0,380.0,380.0,131.57894736842104,131.57894736842104,131.57894736842104
Sep25,Zap,Ren,CasC,Villa Verona,1,80000.0,80000.0,80000.0,400.0,400.0,400.0,200.0,200.0,200.0
Sep25,Zap,Ren,CasC,Villas de Asís,2,26500.0,33250.0,40000.0,170.0,202.0,234.0,155.88235294117646,163.41126194067368,170.94017094017093
Sep25,Zap,Ren,CasC,Villas del Tepeyac,1,16500.0,16500.0,16500.0,94.0,94.0,94.0,175.53191489361703,175.53191489361703,175.53191489361703
Sep25,Zap,Ren,CasC,Vistas del Valle 1,1,27000.0,27000.0,27000.0,260.0,260.0,260.0,103.84615384615384,103.84615384615384,103.84615384615384
