Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_representativo,precio_min,precio_max,precio_skew,precio_metodo,area_m2_representativo,area_m2_min,area_m2_max,area_m2_skew,area_m2_metodo,PxM2_representativo,PxM2_min,PxM2_max,PxM2_skew,PxM2_metodo
Sep25,Zap,Ren,Dep,Arcos de Guadalupe,8,22450.0,6800.0,29000.0,-0.5223286503827133,mediana_rango,91.5,30.0,130.0,-0.18686574146915635,mediana_rango,251.45631065,170.0,366.6666667,0.5132820092490282,mediana_rango
Sep25,Zap,Ren,Dep,Camino Real,5,29000.0,28000.0,35000.0,1.0831350893714544,mediana_rango,140.0,100.0,176.0,-0.21684646195382254,mediana_rango,207.1428571,181.8181818,290.0,1.5312332664473416,mediana_rango
Sep25,Zap,Ren,Dep,Cañadas de San Lorenzo,7,13500.0,12000.0,22000.0,1.885138994874634,mediana_rango,72.0,60.0,76.0,-1.2338994452985692,mediana_rango,215.3846154,157.8947368,305.5555556,1.1213962493965424,mediana_rango
Sep25,Zap,Ren,Dep,Centro,5,20927.0,9000.0,23600.0,-0.9931652775892307,mediana_rango,77.0,39.0,90.0,-0.8556686682151066,mediana_rango,255.5555556,150.0,536.5897436,1.7150340056396363,mediana_rango
Sep25,Zap,Ren,Dep,Cima Real,6,32500.0,26500.0,38000.0,-0.05107493396064084,mediana_rango,121.0,95.0,228.0,1.7183699752946382,mediana_rango,287.48524199999997,166.6666667,305.785124,-0.928268165317945,mediana_rango
Sep25,Zap,Ren,Dep,Ciudad Granja,19,21500.0,13000.0,34000.0,0.3743986770007419,mediana_IQR,96.0,30.0,170.0,0.05748759839704222,mediana_IQR,236.3636364,199.3174603,433.3333333,1.162031580844311,mediana_IQR
Sep25,Zap,Ren,Dep,El Bajío,9,24500.0,17500.0,28000.0,-0.5285106410655569,mediana_rango,66.0,33.0,147.0,0.9981212961925348,mediana_rango,378.7878788,188.4615385,530.3030303,-0.2893835793870381,mediana_rango
Sep25,Zap,Ren,Dep,El Campanario,5,14000.0,9000.0,16500.0,-0.5640552253050982,mediana_rango,60.0,38.0,95.0,0.2971356292592659,mediana_rango,200.0,173.6842105,237.2881356,0.13186341871818252,mediana_rango
Sep25,Zap,Ren,Dep,Francisco Sarabia,8,15750.0,13000.0,17000.0,-0.5981717714583066,mediana_rango,70.0,57.0,89.0,0.356822479760918,mediana_rango,219.92598685000002,191.011236,253.968254,0.2918461579769959,mediana_rango
Sep25,Zap,Ren,Dep,Hacienda de Las Lomas,5,33000.0,28000.0,45000.0,1.2480095144099592,mediana_rango,125.0,90.0,151.0,-0.3251050034545563,mediana_rango,264.0,231.7880795,366.6666667,1.224111916885674,mediana_rango
Sep25,Zap,Ren,Dep,Jardines de La Patria,9,24900.0,23000.0,33500.0,0.7815559468397225,mediana_rango,106.0,87.0,152.0,0.273071506191965,mediana_rango,242.5742574,170.3703704,321.8390805,0.3768909430849829,mediana_rango
Sep25,Zap,Ren,Dep,Jardines del Sol,5,19000.0,8000.0,23000.0,-0.46443551134808464,mediana_rango,71.0,30.0,107.0,-0.6665733587618842,mediana_rango,214.953271,144.9275362,267.6056338,-0.85302875348611,mediana_rango
Sep25,Zap,Ren,Dep,Jardín Real,11,30000.0,17000.0,35000.0,-0.5204260783817328,mediana_IQR,101.0,65.0,120.0,-0.7936248556253898,mediana_IQR,284.7457627,166.6666667,342.1052632,-1.2264908638228327,mediana_IQR
Sep25,Zap,Ren,Dep,Juan Manuel Vallarta,6,27000.0,19000.0,30000.0,-1.2721017693032428,mediana_rango,100.0,90.0,153.0,2.160530755383652,mediana_rango,257.5,192.8104575,283.0188679,-0.6400368143780044,mediana_rango
Sep25,Zap,Ren,Dep,Las Arboledas,6,15000.0,11600.0,15000.0,-2.431272387069314,mediana_rango,80.0,50.0,86.0,-0.9787810020170241,mediana_rango,187.96992484999998,174.1176471,245.9016393,0.7744546305626014,mediana_rango
Sep25,Zap,Ren,Dep,Lomas Altas,8,28408.5,13500.0,33500.0,-1.3916840802530641,mediana_rango,104.5,72.0,135.0,-0.08439288553426258,mediana_rango,254.65965964999998,187.5,303.5714286,-0.540121883546552,mediana_rango
