Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_representativo,precio_min,precio_max,precio_skew,precio_metodo,area_m2_representativo,area_m2_min,area_m2_max,area_m2_skew,area_m2_metodo,PxM2_representativo,PxM2_min,PxM2_max,PxM2_skew,PxM2_metodo
Sep25,Zap,Ven,CasC,Argenta Parque Residencial,6,6447500.0,4290000.0,7300000.0,-0.8920890827605148,mediana_rango,219.0,115.0,294.0,-0.5928054469663441,mediana_rango,29667.83216783217,24829.93197278912,37304.34782608696,0.9949930626830129,mediana_rango
Sep25,Zap,Ven,CasC,Atlas Colomos,5,28497000.0,18500000.0,30000000.0,-2.023798395086423,mediana_rango,600.0,289.0,600.0,-1.1874864279359152,mediana_rango,50000.0,47495.0,64013.84083044983,0.5511327606178,mediana_rango
Sep25,Zap,Ven,CasC,Azaleas,5,18550000.0,6470000.0,20800000.0,-0.542620829645646,mediana_rango,458.0,238.0,520.0,-0.9054664124835637,mediana_rango,39479.16666666666,19942.196531791906,40502.18340611354,-0.9287594299508843,mediana_rango
Sep25,Zap,Ven,CasC,Base Aérea Militar No 5,22,8995000.0,6500000.0,24500000.0,3.2756758071939185,mediana_IQR,237.0,144.0,410.0,0.8412599932567878,mediana_IQR,37511.56631887943,28517.110266159696,68402.77777777778,1.207632426241111,mediana_IQR
Sep25,Zap,Ven,CasC,Boreales,5,4750000.0,4350000.0,5700000.0,0.37777121075357073,mediana_rango,158.0,107.0,230.0,0.10170111610070323,mediana_rango,29113.92405063291,24782.60869565217,44392.52336448598,1.839923649582542,mediana_rango
Sep25,Zap,Ven,CasC,Bosques Vallarta,34,7845000.0,4750000.0,9495000.0,-0.6431452815511337,mediana_IQR,218.5,130.0,350.0,0.676659085697666,mediana_IQR,36343.54386945762,22568.571428571428,51454.545454545456,0.3512187597994011,media_desv
Sep25,Zap,Ven,CasC,Bosques de San Isidro (Las Cañadas),15,13500000.0,4381000.0,42000000.0,1.3139474779864717,mediana_IQR,400.0,155.0,847.0,0.3640527851716537,mediana_IQR,33122.02852614897,27692.30769230769,55769.230769230766,1.3492834183462026,mediana_IQR
Sep25,Zap,Ven,CasC,Campo Real,5,1933000.0,1590000.0,3200000.0,1.818172084015507,mediana_rango,86.0,72.0,105.0,-0.036321620416041915,mediana_rango,22289.156626506025,19523.809523809523,31372.549019607843,1.8182909372221732,mediana_rango
Sep25,Zap,Ven,CasC,Carrara,5,4420000.0,4270000.0,4899000.0,1.5970243150619565,mediana_rango,192.0,166.0,225.0,0.11864385344351969,mediana_rango,23020.83333333333,18977.777777777777,29512.048192771083,1.0700910933549566,mediana_rango
Sep25,Zap,Ven,CasC,Ciudad Bugambilias,29,10450000.0,3650000.0,35000000.0,2.127465940220926,mediana_IQR,420.0,113.0,937.0,1.026982553458583,mediana_IQR,27715.877437325904,13771.186440677966,42828.68525896414,0.2566683892360442,mediana_IQR
Sep25,Zap,Ven,CasC,Coto Galarza,7,4320000.0,3980000.0,4360000.0,-1.7424035727848275,mediana_rango,170.0,115.0,192.0,-1.1488131135917892,mediana_rango,24852.07100591716,22656.25,37913.04347826087,2.0635484749209163,mediana_rango
Sep25,Zap,Ven,CasC,El Campestre,10,4450000.0,1980000.0,5910000.0,-0.5560737697607387,mediana_IQR,164.0,61.0,230.0,-0.2375963829924531,mediana_IQR,28444.311536416797,20869.565217391304,45739.13043478261,1.7435066448287535,mediana_IQR
Sep25,Zap,Ven,CasC,El Colli Urbano,6,6525000.0,4050000.0,11500000.0,1.354034883659597,mediana_rango,162.5,72.0,250.0,-0.07871642603599445,mediana_rango,41964.28571428572,37579.61783439491,56250.0,1.4870743552151002,mediana_rango
Sep25,Zap,Ven,CasC,Fontee,8,9700000.0,7500000.0,9900000.0,-1.3639657838324226,mediana_rango,227.0,161.0,337.0,0.31917316021559994,mediana_rango,34632.99504366297,29080.11869436202,61490.68322981367,0.8461182380330012,mediana_rango
Sep25,Zap,Ven,CasC,Foret,5,4920000.0,2990000.0,5750000.0,-1.3207334636344992,mediana_rango,175.0,134.0,220.0,-0.15037261090308046,mediana_rango,26136.36363636364,22313.43283582089,31325.30120481928,0.9073200534483774,mediana_rango
Sep25,Zap,Ven,CasC,Francisco Sarabia,5,3500000.0,3232900.0,4185015.0,0.4196591369279562,mediana_rango,121.0,110.0,144.0,0.35493027386071846,mediana_rango,29062.5,26718.18181818182,31818.18181818182,0.22826687960917405,mediana_rango
Sep25,Zap,Ven,CasC,Guadalajara (Technology Park),7,8100000.0,6150000.0,10000000.0,0.35761379287782336,mediana_rango,215.0,201.0,287.0,1.404589590268572,mediana_rango,34843.20557491289,28604.6511627907,39130.434782608696,-0.5700399738143753,mediana_rango
