Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ven,CasC,Alamitos,1,5400000.0,5400000.0,5400000.0,165.0,165.0,165.0,32727.27273,32727.27273,32727.27273
Sep25,Zap,Ven,CasC,Albaterra,1,1050000.0,1050000.0,1050000.0,76.0,76.0,76.0,13815.78947,13815.78947,13815.78947
Sep25,Zap,Ven,CasC,Alcázar Oriente,1,28000000.0,28000000.0,28000000.0,422.0,422.0,422.0,66350.7109,66350.7109,66350.7109
Sep25,Zap,Ven,CasC,Alicante,4,3950000.0,4382500.0,4890000.0,115.0,155.0,217.0,22534.56221,29912.353797500004,37391.30435
Sep25,Zap,Ven,CasC,Alma Terra,1,2300000.0,2300000.0,2300000.0,140.0,140.0,140.0,16428.57143,16428.57143,16428.57143
Sep25,Zap,Ven,CasC,Altus Quintas,1,2890000.0,2890000.0,2890000.0,147.0,147.0,147.0,19659.86395,19659.86395,19659.86395
Sep25,Zap,Ven,CasC,Arauca I,3,14150000.0,17362000.0,20490000.0,343.0,408.0,450.0,40477.95824,42421.645293333335,45533.33333
Sep25,Zap,Ven,CasC,Arauca II,1,19990000.0,19990000.0,19990000.0,405.0,405.0,405.0,49358.02469,49358.02469,49358.02469
Sep25,Zap,Ven,CasC,Arboreto Residencial,3,2650000.0,2803333.3333333335,2880000.0,130.0,138.0,142.0,20281.69014,20315.99855333333,20384.61538
Sep25,Zap,Ven,CasC,Arcos de Guadalupe,1,8200000.0,8200000.0,8200000.0,110.0,110.0,110.0,74545.45455,74545.45455,74545.45455
Sep25,Zap,Ven,CasC,Argenta Parque Residencial,6,4290000.0,6229833.333333333,7300000.0,115.0,213.16666666666666,294.0,24829.93197,30075.433123333336,37304.34783
Sep25,Zap,Ven,CasC,Armonía,1,4800000.0,4800000.0,4800000.0,185.0,185.0,185.0,25945.94595,25945.94595,25945.94595
Sep25,Zap,Ven,CasC,Autódromo,2,2750000.0,2852500.0,2955000.0,89.0,101.5,114.0,25921.05263,28409.964515,30898.8764
Sep25,Zap,Ven,CasC,Azaleas,4,6470000.0,12717500.0,18950000.0,238.0,380.5,480.0,19942.19653,31777.10514,40502.18341
Sep25,Zap,Ven,CasC,Base Aérea Militar No 5,16,6500000.0,9128750.0,12600000.0,156.0,246.8125,337.0,28517.11027,37836.546468125,59615.38462
Sep25,Zap,Ven,CasC,Boreales,5,4350000.0,5020000.0,5700000.0,107.0,167.8,230.0,24782.6087,31307.161872000004,44392.52336
Sep25,Zap,Ven,CasC,Bosque de Las Lomas,1,28000000.0,28000000.0,28000000.0,365.0,365.0,365.0,76712.32877,76712.32877,76712.32877
Sep25,Zap,Ven,CasC,Bosque de Los Lagos,2,28000000.0,32552000.0,37104000.0,422.0,501.0,580.0,63972.41379,65161.562345,66350.7109
Sep25,Zap,Ven,CasC,Bosque de Valdepeñas,2,3250000.0,3887500.0,4525000.0,82.0,110.5,139.0,23381.29496,39282.110895,55182.92683
Sep25,Zap,Ven,CasC,Bosques Vallarta,26,4750000.0,7456346.153846154,9495000.0,130.0,208.42307692307693,250.0,26808.51064,36327.11163,49000.0
Sep25,Zap,Ven,CasC,Bosques de San Isidro (Las Cañadas),8,4381000.0,10860000.0,19450000.0,155.0,335.0,681.0,27692.30769,32255.343769999996,38905.77508
Sep25,Zap,Ven,CasC,Bosques del Centinela,1,3490000.0,3490000.0,3490000.0,170.0,170.0,170.0,20529.41176,20529.41176,20529.41176
Sep25,Zap,Ven,CasC,Callejón del Parque,2,13500000.0,13500000.0,13500000.0,320.0,382.5,445.0,30337.07865,36262.289325,42187.5
Sep25,Zap,Ven,CasC,Camino Real,1,18000000.0,18000000.0,18000000.0,475.0,475.0,475.0,37894.73684,37894.73684,37894.73684
Sep25,Zap,Ven,CasC,Campo Real,5,1590000.0,2124600.0,3200000.0,72.0,89.6,105.0,19523.80952,23549.118538,31372.54902
Sep25,Zap,Ven,CasC,Carrara,5,4270000.0,4487600.0,4899000.0,166.0,195.0,225.0,18977.77778,23338.590194,29512.04819
Sep25,Zap,Ven,CasC,Cañadas de San Lorenzo,1,3300000.0,3300000.0,3300000.0,92.0,92.0,92.0,35869.56522,35869.56522,35869.56522
Sep25,Zap,Ven,CasC,Centro,1,8950000.0,8950000.0,8950000.0,213.0,213.0,213.0,42018.77934,42018.77934,42018.77934
Sep25,Zap,Ven,CasC,Chapalita Inn,1,5250000.0,5250000.0,5250000.0,122.0,122.0,122.0,43032.78689,43032.78689,43032.78689
Sep25,Zap,Ven,CasC,Chapalita Sur,1,3990000.0,3990000.0,3990000.0,165.0,165.0,165.0,24181.81818,24181.81818,24181.81818
Sep25,Zap,Ven,CasC,Ciudad Bugambilias,23,3650000.0,10573000.0,24000000.0,113.0,394.4347826086956,900.0,13771.18644,27677.23096217391,42828.68526
Sep25,Zap,Ven,CasC,Ciudad Granja,4,4500000.0,6347500.0,7300000.0,100.0,167.25,260.0,24576.92308,43072.3916875,73000.0
Sep25,Zap,Ven,CasC,Colinas El Centinela,1,4540000.0,4540000.0,4540000.0,160.0,160.0,160.0,28375.0,28375.0,28375.0
