Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_representativo,precio_min,precio_max,precio_skew,precio_metodo,area_m2_representativo,area_m2_min,area_m2_max,area_m2_skew,area_m2_metodo,PxM2_representativo,PxM2_min,PxM2_max,PxM2_skew,PxM2_metodo
Sep25,Zap,Ven,Cas,Alcázar Oriente,7,33850000.0,27500000.0,38500000.0,-0.2987946714310837,mediana_rango,496.0,385.0,530.0,-0.49338580215132916,mediana_rango,72580.64516129032,53597.24528301887,83333.33333333333,-0.6320779484746982,mediana_rango
Sep25,Zap,Ven,Cas,Alcázar Poniente,14,30269866.0,13895000.0,43000000.0,-0.43705385183123796,mediana_IQR,500.0,300.0,665.0,0.1796205859585787,mediana_IQR,60848.38675,44455.6,80699.9975,0.15612511671716506,mediana_IQR
Sep25,Zap,Ven,Cas,Alianza de Cazadores Diana,9,15839999.0,10300000.0,18737000.0,-0.39966583490458407,mediana_rango,400.0,280.0,570.0,0.2057331926636506,mediana_rango,35517.24137931035,32199.138,47114.87142857143,0.7307961344047306,mediana_rango
Sep25,Zap,Ven,Cas,Alicante,12,4750000.0,4380000.0,4800000.0,-1.2238709866434685,mediana_IQR,186.5,115.0,220.0,-1.5150577736109696,mediana_IQR,25000.0,21818.18181818182,38086.95652173913,2.5760782455529854,mediana_IQR
Sep25,Zap,Ven,Cas,Altamira,8,13150000.0,7650000.0,20000000.0,0.1626706174114329,mediana_rango,350.5,250.0,409.0,-0.28453797269159004,mediana_rango,39364.22366668654,27700.831024930747,66919.41391941391,0.8531113331440305,mediana_rango
Sep25,Zap,Ven,Cas,Amaranto,6,2079000.0,1800000.0,2645000.0,0.3733053319649637,mediana_rango,92.0,87.0,130.0,1.35802085979436,mediana_rango,21018.984889577685,19977.36263736264,24279.56989247312,1.0941909379560808,mediana_rango
Sep25,Zap,Ven,Cas,Arauca I,14,18852499.5,13900000.0,23290999.0,-0.11380418874954996,mediana_IQR,395.0,280.0,500.0,0.11635952817048625,mediana_IQR,47480.813814814814,34760.86956521739,64104.46428571428,0.3402280842928035,mediana_IQR
Sep25,Zap,Ven,Cas,Arauca II,14,19225580.0,15702376.0,23930000.0,0.5426243064746361,mediana_IQR,380.0,300.0,550.0,1.2884600833090787,mediana_IQR,51036.87541666666,36304.34782608696,62973.68421052631,-0.32179010051817963,mediana_IQR
Sep25,Zap,Ven,Cas,Arcos de Guadalupe,15,12500000.0,7500000.0,18500000.0,0.2508548957232257,mediana_IQR,405.0,170.0,578.0,-0.23346459599100117,mediana_IQR,32093.827160493827,22340.42553191489,53888.88888888889,0.5399778095626109,mediana_IQR
Sep25,Zap,Ven,Cas,Argenta Parque Residencial,11,5980000.0,3877135.0,7200000.0,-0.8687532304075029,mediana_IQR,198.0,99.0,235.0,-0.8207893799152309,mediana_IQR,30764.957264957266,28805.97014925373,43987.62626262626,0.8556710318821009,mediana_IQR
Sep25,Zap,Ven,Cas,Atemajac del Valle,6,3820000.0,2500000.0,7100000.0,0.5878201231108149,mediana_rango,121.0,84.0,333.0,0.9906992518655202,mediana_rango,27584.54106280193,18918.91891891892,39732.142857142855,0.7165960416965678,mediana_rango
Sep25,Zap,Ven,Cas,Atlas Colomos,7,28000000.0,1900000.0,37400000.0,-1.7703513655193388,mediana_rango,515.0,90.0,600.0,-2.2176965973644784,mediana_rango,51488.54961832061,21111.11111111111,79914.52991452992,-0.4364688203254772,mediana_rango
Sep25,Zap,Ven,Cas,Ayamonte,10,35250499.5,28512327.0,42200999.0,0.014502874988303311,mediana_IQR,625.0,400.0,1000.0,0.5901809209832674,mediana_IQR,57333.146272727274,38000.0,74752.4975,-0.12708239847010014,mediana_IQR
Sep25,Zap,Ven,Cas,Azaleas,7,20800000.0,18400000.0,36950000.0,2.1400238619997287,mediana_rango,520.0,320.0,969.0,0.7530283931586377,mediana_rango,40000.0,28505.2790346908,60031.25,0.5549958481432573,mediana_rango
