Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ven,Cas,Agraria,1,6890000.0,6890000.0,6890000.0,169.0,169.0,169.0,40769.23077,40769.23077,40769.23077
Sep25,Zap,Ven,Cas,Agua Blanca Sur,1,4000000.0,4000000.0,4000000.0,274.0,274.0,274.0,14598.54015,14598.54015,14598.54015
Sep25,Zap,Ven,Cas,Alamitos,5,3660000.0,5620000.0,7120000.0,147.0,222.8,282.0,19488.37209,25228.322374000003,30956.52174
Sep25,Zap,Ven,Cas,Albaterra,6,979000.0,1266333.3333333333,1599000.0,59.0,71.33333333333333,110.0,11363.63636,18544.753428333333,25000.0
Sep25,Zap,Ven,Cas,Alcázar Oriente,3,26256999.0,27252333.0,28000000.0,350.0,398.6666666666667,423.0,65011.82033,68741.89030000001,75019.99714
Sep25,Zap,Ven,Cas,Alcázar Poniente,8,13895000.0,24126249.25,33184999.0,289.0,367.375,400.0,46316.66667,64720.6908425,82962.4975
Sep25,Zap,Ven,Cas,Alianza de Cazadores Diana,7,10300000.0,11877142.714285715,15839999.0,246.0,318.42857142857144,385.0,32704.40252,37661.30017285714,47560.97561
Sep25,Zap,Ven,Cas,Alicante,13,4099000.0,4638769.230769231,4800000.0,115.0,183.69230769230768,220.0,21818.18182,25728.588570769232,38086.95652
Sep25,Zap,Ven,Cas,Alma Terra,1,2999999.0,2999999.0,2999999.0,105.0,105.0,105.0,28571.41905,28571.41905,28571.41905
Sep25,Zap,Ven,Cas,Altaluz,2,2000000.0,2225000.0,2450000.0,84.0,102.0,120.0,20416.66667,22113.09524,23809.52381
Sep25,Zap,Ven,Cas,Altamira,10,7650000.0,14161100.0,20000000.0,250.0,341.4,412.0,27700.83102,41882.511602,66919.41392
Sep25,Zap,Ven,Cas,Altezza,1,2399000.0,2399000.0,2399000.0,91.0,91.0,91.0,26362.63736,26362.63736,26362.63736
Sep25,Zap,Ven,Cas,Altus Quintas,1,1850000.0,1850000.0,1850000.0,92.0,92.0,92.0,20108.69565,20108.69565,20108.69565
Sep25,Zap,Ven,Cas,Alviento II,2,2095000.0,2297500.0,2500000.0,134.0,137.0,140.0,14964.28571,16810.501065,18656.71642
Sep25,Zap,Ven,Cas,Amaranto,9,1320000.0,1985548.888888889,2645000.0,66.0,93.77777777777777,130.0,19977.36264,21126.19861888889,24279.56989
Sep25,Zap,Ven,Cas,Ampliación Santa Lucia,1,2800000.0,2800000.0,2800000.0,250.0,250.0,250.0,11200.0,11200.0,11200.0
Sep25,Zap,Ven,Cas,Arauca I,16,13900000.0,17961812.125,23290999.0,349.0,383.0625,500.0,35917.31266,46787.151440625,53625.0
Sep25,Zap,Ven,Cas,Arauca II,7,16700000.0,20761857.0,24900000.0,390.0,451.42857142857144,550.0,36304.34783,46424.474037142856,52564.10256
Sep25,Zap,Ven,Cas,Arboreto Residencial,5,2300000.0,2796598.0,3200000.0,86.0,139.0,175.0,18228.33333,20784.907837999996,26744.18605
Sep25,Zap,Ven,Cas,Arcos de Guadalupe,18,7500000.0,11803000.0,18500000.0,170.0,345.1666666666667,578.0,23716.01208,36025.81201333333,53888.88889
Sep25,Zap,Ven,Cas,Arcos de Zapopan,1,3150000.0,3150000.0,3150000.0,105.0,105.0,105.0,30000.0,30000.0,30000.0
Sep25,Zap,Ven,Cas,Arenales Tapatíos,6,1900000.0,2743000.0,5195000.0,48.0,111.66666666666667,168.0,14851.19048,26618.777208333337,39583.33333
Sep25,Zap,Ven,Cas,Argenta Parque Residencial,17,3877135.0,5980606.235294118,7200000.0,99.0,180.64705882352942,235.0,28805.97015,34586.72887,49743.5514
Sep25,Zap,Ven,Cas,Armonía,1,4685000.0,4685000.0,4685000.0,185.0,185.0,185.0,25324.32432,25324.32432,25324.32432
Sep25,Zap,Ven,Cas,Arrayanes Hábitat,2,2550000.0,2722500.0,2895000.0,98.0,103.0,108.0,26020.40816,26412.98186,26805.55556
Sep25,Zap,Ven,Cas,Arroyo Hondo,2,2950000.0,3412500.0,3875000.0,212.0,381.0,550.0,7045.454545,10480.2744425,13915.09434
Sep25,Zap,Ven,Cas,Atemajac del Valle,8,2500000.0,4223750.0,7100000.0,60.0,130.875,276.0,24538.46154,34307.30436625,53271.02804
Sep25,Zap,Ven,Cas,Atlas Colomos,4,1900000.0,12149750.0,19850000.0,90.0,340.25,471.0,21111.11111,33110.775955,42854.28571
Sep25,Zap,Ven,Cas,Autódromo,14,2850000.0,4094642.8571428573,8670000.0,89.0,138.28571428571428,330.0,20757.57576,31003.114930000007,42424.24242
Sep25,Zap,Ven,Cas,Ayamonte,2,29900999.0,31200999.0,32500999.0,400.0,450.0,500.0,65001.998,69877.24775,74752.4975
Sep25,Zap,Ven,Cas,Azaleas,5,15700000.0,19719800.0,23990000.0,320.0,460.8,663.0,28505.27903,45315.396973999996,60031.25
Sep25,Zap,Ven,Cas,Base Aérea Militar No 5,34,4500000.0,9705694.05882353,24950000.0,136.0,237.35294117647058,457.0,25280.89888,40262.55745764706,61458.33333
Sep25,Zap,Ven,Cas,Bellissimo,1,2200000.0,2200000.0,2200000.0,104.0,104.0,104.0,21153.84615,21153.84615,21153.84615
Sep25,Zap,Ven,Cas,Benito Juárez,3,3900000.0,4370000.0,4910000.0,205.0,230.0,254.0,15354.33071,19306.756276666667,23951.21951
Sep25,Zap,Ven,Cas,Boreales,11,4350000.0,5186363.636363637,6900000.0,105.0,171.27272727272728,260.0,26363.63636,31561.504586363633,54285.71429
Sep25,Zap,Ven,Cas,Bosque de Los Lagos,2,39800000.0,39800000.0,39800000.0,632.0,632.0,632.0,62974.68354,62974.68354,62974.68354
Sep25,Zap,Ven,Cas,Bosque de Los Virreyes,1,32058999.0,32058999.0,32058999.0,400.0,400.0,400.0,80147.4975,80147.4975,80147.4975
Sep25,Zap,Ven,Cas,Bosque de Valdepeñas,1,3688000.0,3688000.0,3688000.0,96.0,96.0,96.0,38416.66667,38416.66667,38416.66667
