Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ven,Dep,27 de Septiembre,7,3490000.0,3667142.8571428573,3800000.0,90.0,93.28571428571429,94.0,37127.65957446808,39309.986817879755,40860.21505376344
Sep25,Zap,Ven,Dep,Acacias,3,3995000.0,5458333.333333333,6190000.0,100.0,100.66666666666667,101.0,39950.0,54174.75247524752,61287.12871287129
Sep25,Zap,Ven,Dep,Agraria,1,8200000.0,8200000.0,8200000.0,293.0,293.0,293.0,27986.348122866893,27986.348122866893,27986.348122866893
Sep25,Zap,Ven,Dep,Agrícola,2,2195000.0,4592500.0,6990000.0,59.0,204.5,350.0,19971.42857142857,28587.40920096852,37203.38983050847
Sep25,Zap,Ven,Dep,Alma Terra,3,899000.0,1206333.3333333333,1790000.0,48.0,56.333333333333336,61.0,14737.704918032789,21315.346083788707,29833.33333333333
Sep25,Zap,Ven,Dep,Altagracia,1,1170000.0,1170000.0,1170000.0,53.0,53.0,53.0,22075.471698113208,22075.471698113208,22075.471698113208
Sep25,Zap,Ven,Dep,Altamira,4,4500000.0,8790625.0,19900000.0,72.0,156.75,327.0,40540.54054054054,54372.306045901234,62673.61111111111
Sep25,Zap,Ven,Dep,Alviento,1,1250000.0,1250000.0,1250000.0,47.0,47.0,47.0,26595.744680851065,26595.744680851065,26595.744680851065
Sep25,Zap,Ven,Dep,Arboledas de Tesistán,1,2600000.0,2600000.0,2600000.0,107.0,107.0,107.0,24299.065420560742,24299.065420560742,24299.065420560742
Sep25,Zap,Ven,Dep,Arcos de Guadalupe,13,2961432.0,5004223.923076923,6300000.0,54.0,97.84615384615384,168.0,30625.0,53902.70552416798,66829.08045977012
Sep25,Zap,Ven,Dep,Arcos de Zapopan,7,1275000.0,1595571.4285714286,2300000.0,61.0,67.71428571428571,80.0,17500.0,23625.070322271575,32177.41935483871
Sep25,Zap,Ven,Dep,Arenales Tapatíos,3,1750000.0,2170000.0,2380000.0,42.0,53.333333333333336,59.0,40338.983050847455,40781.54425612052,41666.66666666666
Sep25,Zap,Ven,Dep,Atemajac del Valle,1,1295000.0,1295000.0,1295000.0,54.0,54.0,54.0,23981.48148148148,23981.48148148148,23981.48148148148
Sep25,Zap,Ven,Dep,Atlas Chapalita,7,5400000.0,5824285.714285715,6390000.0,85.0,98.42857142857143,115.0,55102.04081632653,59380.11520439617,64588.23529411765
Sep25,Zap,Ven,Dep,Atlas Colomos,1,5346410.0,5346410.0,5346410.0,100.0,100.0,100.0,53464.1,53464.1,53464.1
Sep25,Zap,Ven,Dep,Auditorio,2,1850000.0,3533500.0,5217000.0,66.0,106.5,147.0,28030.303030303032,31760.04947433519,35489.795918367345
Sep25,Zap,Ven,Dep,Base Aérea Militar No 5,12,2650000.0,4235800.25,5451452.0,37.0,83.0,168.0,32449.11904761905,56694.3038193215,74775.67567567568
Sep25,Zap,Ven,Dep,Boreales,8,2590000.0,3248750.0,3990000.0,70.0,88.5,146.0,23904.10958904109,38586.4983193068,52054.79452054795
Sep25,Zap,Ven,Dep,Bosque de Las Lomas,3,4608620.0,6748140.0,10000000.0,84.0,117.0,183.0,54644.8087431694,58867.39656518345,67092.85714285714
Sep25,Zap,Ven,Dep,Bosque de Los Virreyes,5,10000000.0,12258000.0,14500000.0,220.0,239.0,288.0,45000.0,51465.51973479286,65909.09090909091
Sep25,Zap,Ven,Dep,Bosques de San Isidro (Las Cañadas),2,2880000.0,2880000.0,2880000.0,90.0,91.0,92.0,31304.34782608696,31652.17391304348,32000.0
Sep25,Zap,Ven,Dep,Camichines Vallarta,1,6493448.0,6493448.0,6493448.0,93.0,93.0,93.0,69822.02150537634,69822.02150537634,69822.02150537634
Sep25,Zap,Ven,Dep,Camino Real,7,6190000.0,7018571.428571428,8150000.0,101.0,147.42857142857142,220.0,36363.63636363636,49710.65638913272,61287.12871287129
Sep25,Zap,Ven,Dep,Carrara,1,2250000.0,2250000.0,2250000.0,104.0,104.0,104.0,21634.615384615383,21634.615384615383,21634.615384615383
Sep25,Zap,Ven,Dep,Cañadas de San Lorenzo,4,2300000.0,2581250.0,2775000.0,64.0,72.5,81.0,32394.3661971831,35745.96548573221,39843.75
Sep25,Zap,Ven,Dep,Centinela Garden Life,2,2750000.0,2775000.0,2800000.0,98.0,98.0,98.0,28061.22448979592,28316.326530612245,28571.42857142857
Sep25,Zap,Ven,Dep,Centro,7,2940000.0,3779472.1428571427,5388000.0,40.0,59.857142857142854,110.0,40000.0,67917.24378848851,85416.66666666667
Sep25,Zap,Ven,Dep,Chapalita Inn,1,11162611.0,11162611.0,11162611.0,154.0,154.0,154.0,72484.48701298701,72484.48701298701,72484.48701298701
Sep25,Zap,Ven,Dep,Chapalita Sur,1,4250000.0,4250000.0,4250000.0,81.0,81.0,81.0,52469.135802469136,52469.135802469136,52469.135802469136
Sep25,Zap,Ven,Dep,Chapalita de Occidente,5,3300000.0,4518572.2,7893950.0,61.0,82.0,141.0,53102.31081081081,54953.11717289485,56438.06451612903
Sep25,Zap,Ven,Dep,Cima Real,34,5950000.0,10131476.705882354,23000000.0,94.0,183.85294117647058,333.0,38265.30612244898,57152.589080581165,89677.41935483871
Sep25,Zap,Ven,Dep,Ciudad Bugambilias,1,2850000.0,2850000.0,2850000.0,68.0,68.0,68.0,41911.76470588235,41911.76470588235,41911.76470588235
Sep25,Zap,Ven,Dep,Ciudad Granja,145,2141523.0,4461789.668965518,11000000.0,40.0,91.13103448275862,246.0,30158.73015873016,52325.25296845806,110972.22222222222
Sep25,Zap,Ven,Dep,Ciudad de Los Niños,1,4249000.0,4249000.0,4249000.0,99.0,99.0,99.0,42919.19191919192,42919.19191919192,42919.19191919192
Sep25,Zap,Ven,Dep,Ciudad del Sol,12,2980000.0,4956354.333333333,6400000.0,53.0,116.75,162.0,28417.26618705036,44499.84345177329,56764.64150943396
Sep25,Zap,Ven,Dep,Colinas Virreyes,1,12500000.0,12500000.0,12500000.0,276.0,276.0,276.0,45289.85507246377,45289.85507246377,45289.85507246377
Sep25,Zap,Ven,Dep,Colinas de La Abadía,1,12500000.0,12500000.0,12500000.0,220.0,220.0,220.0,56818.181818181816,56818.181818181816,56818.181818181816
Sep25,Zap,Ven,Dep,Colinas de Las Águilas,1,1850000.0,1850000.0,1850000.0,66.0,66.0,66.0,28030.303030303032,28030.303030303032,28030.303030303032
Sep25,Zap,Ven,Dep,Colinas de San Javier,1,4650000.0,4650000.0,4650000.0,85.0,85.0,85.0,54705.882352941175,54705.882352941175,54705.882352941175
Sep25,Zap,Ven,Dep,Colinas del Rey,1,2350000.0,2350000.0,2350000.0,55.0,55.0,55.0,42727.27272727273,42727.27272727273,42727.27272727273
Sep25,Zap,Ven,Dep,Colinas del Rio,2,2900000.0,3041000.0,3182000.0,69.0,70.5,72.0,40277.77777777778,43196.85990338164,46115.942028985504
Sep25,Zap,Ven,Dep,Colli Ctm,1,4880000.0,4880000.0,4880000.0,110.0,110.0,110.0,44363.63636363636,44363.63636363636,44363.63636363636
Sep25,Zap,Ven,Dep,Colli Sitio,3,1800000.0,3453333.3333333335,4360000.0,54.0,74.66666666666667,95.0,33333.333333333336,45076.023391812865,56000.0
Sep25,Zap,Ven,Dep,Conjunto Patria,2,3600000.0,3766580.5,3933161.0,59.0,80.5,102.0,35294.117647058825,50978.93170488535,66663.74576271187
Sep25,Zap,Ven,Dep,Constitución,2,3250000.0,3524500.0,3799000.0,67.0,80.5,94.0,40414.89361702128,44461.17815179422,48507.46268656717
Sep25,Zap,Ven,Dep,Copala,1,680000.0,680000.0,680000.0,47.0,47.0,47.0,14468.08510638298,14468.08510638298,14468.08510638298
Sep25,Zap,Ven,Dep,Cordilleras,4,2800000.0,4058750.0,6300000.0,94.0,103.5,131.0,29787.23404255319,38339.67008026808,48091.60305343512
Sep25,Zap,Ven,Dep,Coto Zoi,4,2800000.0,3020873.75,3250000.0,71.0,74.75,86.0,32558.13953488372,40827.897559777266,45774.64788732395
Sep25,Zap,Ven,Dep,De La Azalea,2,4475000.0,5562500.0,6650000.0,79.0,102.0,125.0,53200.0,54922.784810126584,56645.56962025316
Sep25,Zap,Ven,Dep,De Los Novelistas,1,13000000.0,13000000.0,13000000.0,155.0,155.0,155.0,83870.96774193548,83870.96774193548,83870.96774193548
Sep25,Zap,Ven,Dep,Del Parque,21,4042500.0,5347377.0,8051121.0,77.0,107.85714285714286,180.0,36055.55555555556,51397.84446674875,74547.41666666667
Sep25,Zap,Ven,Dep,Del Sol,2,6495000.0,6497500.0,6500000.0,208.0,210.0,212.0,30636.79245283019,30943.396226415094,31250.0
Sep25,Zap,Ven,Dep,Del Valle,4,3564380.0,4083486.25,4760886.0,65.0,73.5,79.0,48167.2972972973,55807.931457389466,65102.24615384615
Sep25,Zap,Ven,Dep,Don Bosco Vallarta,1,5436000.0,5436000.0,5436000.0,104.0,104.0,104.0,52269.230769230766,52269.230769230766,52269.230769230766
Sep25,Zap,Ven,Dep,El Bajío,37,3313000.0,4647103.702702703,6967866.0,71.0,116.67567567567568,208.0,33499.355769230766,40553.138118557086,51388.88888888889
Sep25,Zap,Ven,Dep,El Bosque,1,3150000.0,3150000.0,3150000.0,96.0,96.0,96.0,32812.5,32812.5,32812.5
Sep25,Zap,Ven,Dep,El Campanario,12,1500000.0,2802916.6666666665,3650000.0,38.0,74.33333333333333,95.0,30681.81818181818,38542.817158515536,51315.78947368421
Sep25,Zap,Ven,Dep,El Centinela,7,2830000.0,2864285.714285714,2880000.0,90.0,92.42857142857143,97.0,29381.443298969072,31003.767262171572,31666.666666666668
Sep25,Zap,Ven,Dep,El Colli Urbano,6,2950000.0,3625461.3333333335,4300000.0,97.0,112.33333333333333,135.0,24444.444444444445,32789.36526818926,40186.91588785047
Sep25,Zap,Ven,Dep,El Fortín,1,1900000.0,1900000.0,1900000.0,59.0,59.0,59.0,32203.389830508477,32203.389830508477,32203.389830508477
Sep25,Zap,Ven,Dep,El Vigía,12,2600000.0,3345275.8333333335,4906000.0,49.0,60.333333333333336,86.0,41974.6835443038,56114.000203001626,62101.26582278481
Sep25,Zap,Ven,Dep,El Zapote,3,3799000.0,4714046.666666667,5486800.0,65.0,80.66666666666667,94.0,58370.21276595745,58442.16236467966,58510.12048192771
Sep25,Zap,Ven,Dep,Elite,13,3196000.0,4556699.769230769,5500000.0,60.0,83.53846153846153,101.0,45930.232558139534,55096.533532054666,66666.66666666667
