Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ven,LocC,Agraria,1,6600000.0,6600000.0,6600000.0,373.0,373.0,373.0,17694.36997,17694.36997,17694.36997
Sep25,Zap,Ven,LocC,Agua Blanca Poblado,1,4900000.0,4900000.0,4900000.0,571.0,571.0,571.0,8581.436077,8581.436077,8581.436077
Sep25,Zap,Ven,LocC,Albaterra,1,974000.0,974000.0,974000.0,31.0,31.0,31.0,31419.35484,31419.35484,31419.35484
Sep25,Zap,Ven,LocC,Alicante,1,1880000.0,1880000.0,1880000.0,40.0,40.0,40.0,47000.0,47000.0,47000.0
Sep25,Zap,Ven,LocC,Arcos de Guadalupe,1,4556000.0,4556000.0,4556000.0,91.0,91.0,91.0,50065.93407,50065.93407,50065.93407
Sep25,Zap,Ven,LocC,Base Aérea Militar No 5,1,900000.0,900000.0,900000.0,100.0,100.0,100.0,9000.0,9000.0,9000.0
Sep25,Zap,Ven,LocC,Centro,5,5000000.0,11533200.0,18000000.0,83.0,296.6,537.0,29934.42623,42310.250046,60240.96386
Sep25,Zap,Ven,LocC,Chapalita Oriente,2,4800000.0,12400000.0,20000000.0,50.0,250.0,450.0,44444.44444,70222.22222,96000.0
Sep25,Zap,Ven,LocC,Chapalita Sur,1,5200000.0,5200000.0,5200000.0,76.0,76.0,76.0,68421.05263,68421.05263,68421.05263
Sep25,Zap,Ven,LocC,Ciudad Granja,7,3590000.0,4361571.428571428,6189000.0,71.0,89.71428571428571,145.0,42682.75862,49342.394548571436,53333.33333
Sep25,Zap,Ven,LocC,Ciudad del Sol,2,3751150.0,4625575.0,5500000.0,56.0,56.5,57.0,65809.64912,82011.96741499999,98214.28571
Sep25,Zap,Ven,LocC,Colinas de La Primavera,1,2650000.0,2650000.0,2650000.0,322.0,322.0,322.0,8229.813665,8229.813665,8229.813665
Sep25,Zap,Ven,LocC,Conjunto Patria,1,2934000.0,2934000.0,2934000.0,65.0,65.0,65.0,45138.46154,45138.46154,45138.46154
Sep25,Zap,Ven,LocC,Coto F2 Norte Sienna,1,2507014.0,2507014.0,2507014.0,34.0,34.0,34.0,73735.70588,73735.70588,73735.70588
Sep25,Zap,Ven,LocC,El Campestre,1,16490000.0,16490000.0,16490000.0,600.0,600.0,600.0,27483.33333,27483.33333,27483.33333
Sep25,Zap,Ven,LocC,El Fortín,1,2305000.0,2305000.0,2305000.0,84.0,84.0,84.0,27440.47619,27440.47619,27440.47619
Sep25,Zap,Ven,LocC,El Pedregal de Milpillas,1,6800000.0,6800000.0,6800000.0,132.0,132.0,132.0,51515.15152,51515.15152,51515.15152
Sep25,Zap,Ven,LocC,El Vigía,1,18000000.0,18000000.0,18000000.0,360.0,360.0,360.0,50000.0,50000.0,50000.0
Sep25,Zap,Ven,LocC,Guadalajara (Technology Park),2,2650000.0,2675000.0,2700000.0,91.0,91.5,92.0,28804.34783,29237.33875,29670.32967
Sep25,Zap,Ven,LocC,Hacienda del Sol,2,10990000.0,10990000.0,10990000.0,399.0,426.5,454.0,24207.04846,25875.454055000002,27543.85965
Sep25,Zap,Ven,LocC,Jardines de Guadalupe,1,12186000.0,12186000.0,12186000.0,253.0,253.0,253.0,48166.00791,48166.00791,48166.00791
Sep25,Zap,Ven,LocC,Jardines de La Patria,1,10000000.0,10000000.0,10000000.0,900.0,900.0,900.0,11111.11111,11111.11111,11111.11111
Sep25,Zap,Ven,LocC,Jardines de San Ignacio,1,3950000.0,3950000.0,3950000.0,61.0,61.0,61.0,64754.09836,64754.09836,64754.09836
Sep25,Zap,Ven,LocC,La Calma,3,7100000.0,9783333.333333334,13500000.0,208.0,292.0,408.0,33088.23529,33625.56560666666,34134.61538
Sep25,Zap,Ven,LocC,La Cima,1,7150000.0,7150000.0,7150000.0,180.0,180.0,180.0,39722.22222,39722.22222,39722.22222
Sep25,Zap,Ven,LocC,La Estancia,1,2364660.0,2364660.0,2364660.0,40.0,40.0,40.0,59116.5,59116.5,59116.5
Sep25,Zap,Ven,LocC,La Magdalena,1,1900000.0,1900000.0,1900000.0,161.0,161.0,161.0,11801.24224,11801.24224,11801.24224
Sep25,Zap,Ven,LocC,La Toscana,2,18000000.0,18159840.0,18319680.0,275.0,328.0,381.0,48083.14961,56768.84753,65454.54545
Sep25,Zap,Ven,LocC,Las Arboledas,3,2300000.0,2814174.6666666665,3249624.0,33.0,43.0,55.0,59084.07273,66446.52634,70558.53659
Sep25,Zap,Ven,LocC,Las Águilas,2,4190000.0,5845000.0,7500000.0,186.0,268.0,350.0,21428.57143,21977.726575,22526.88172
Sep25,Zap,Ven,LocC,Lomas del Seminario,1,13200000.0,13200000.0,13200000.0,241.0,241.0,241.0,54771.78423,54771.78423,54771.78423
Sep25,Zap,Ven,LocC,Los Maestros,1,2750000.0,2750000.0,2750000.0,80.0,80.0,80.0,34375.0,34375.0,34375.0
Sep25,Zap,Ven,LocC,Mariano Otero,3,2100000.0,3630000.0,4400000.0,78.0,127.66666666666667,155.0,26923.07692,28192.28012,29266.66667
Sep25,Zap,Ven,LocC,Misión La Floresta,1,2350000.0,2350000.0,2350000.0,112.0,112.0,112.0,20982.14286,20982.14286,20982.14286
Sep25,Zap,Ven,LocC,Parques de Tesistán III,1,1490000.0,1490000.0,1490000.0,54.0,54.0,54.0,27592.59259,27592.59259,27592.59259
Sep25,Zap,Ven,LocC,Paseos del Sol,1,4350000.0,4350000.0,4350000.0,180.0,180.0,180.0,24166.66667,24166.66667,24166.66667
Sep25,Zap,Ven,LocC,Pinar de La Calma,1,19488000.0,19488000.0,19488000.0,528.0,528.0,528.0,36909.09091,36909.09091,36909.09091
Sep25,Zap,Ven,LocC,Poniente,1,1200000.0,1200000.0,1200000.0,92.0,92.0,92.0,13043.47826,13043.47826,13043.47826
Sep25,Zap,Ven,LocC,Praderas de San Antonio,1,3250000.0,3250000.0,3250000.0,135.0,135.0,135.0,24074.07407,24074.07407,24074.07407
Sep25,Zap,Ven,LocC,Puerta de Hierro,3,4500000.0,8226853.333333333,12990000.0,76.0,137.0,185.0,30000.0,64942.94926666666,94612.63158
Sep25,Zap,Ven,LocC,Puerta del Valle,1,5308945.0,5308945.0,5308945.0,56.0,56.0,56.0,94802.58929,94802.58929,94802.58929
Sep25,Zap,Ven,LocC,San Juan de Ocotán,1,2700000.0,2700000.0,2700000.0,42.0,42.0,42.0,64285.71429,64285.71429,64285.71429
Sep25,Zap,Ven,LocC,Santa Ana Tepetitlán,4,3370000.0,3370000.0,3370000.0,131.0,140.5,169.0,19940.8284,24279.10023,25725.19084
Sep25,Zap,Ven,LocC,Santa María del Pueblito,1,3161000.0,3161000.0,3161000.0,70.0,70.0,70.0,45157.14286,45157.14286,45157.14286
Sep25,Zap,Ven,LocC,Sin Nombre,1,2000000.0,2000000.0,2000000.0,50.0,50.0,50.0,40000.0,40000.0,40000.0
Sep25,Zap,Ven,LocC,Valle Real,1,2700000.0,2700000.0,2700000.0,42.0,42.0,42.0,64285.71429,64285.71429,64285.71429
Sep25,Zap,Ven,LocC,Valle de La Providencia,1,3200000.0,3200000.0,3200000.0,143.0,143.0,143.0,22377.62238,22377.62238,22377.62238
Sep25,Zap,Ven,LocC,Victoria,1,2760000.0,2760000.0,2760000.0,68.0,68.0,68.0,40588.23529,40588.23529,40588.23529
Sep25,Zap,Ven,LocC,Vista Hermosa,1,7750000.0,7750000.0,7750000.0,432.0,432.0,432.0,17939.81481,17939.81481,17939.81481
