Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ven,Local comercial,Arboledas de Tesistán,1,3650000.0,3650000.0,3650000.0,105.0,105.0,105.0,34761.90476190476,34761.90476190476,34761.90476190476
Sep25,Zap,Ven,Local comercial,Chapalita Oriente,1,20000000.0,20000000.0,20000000.0,450.0,450.0,450.0,44444.444444444445,44444.444444444445,44444.444444444445
Sep25,Zap,Ven,Local comercial,Ciudad Granja,3,3590000.0,3863333.3333333335,4000000.0,71.0,78.33333333333333,89.0,44943.8202247191,49613.511279914186,53333.333333333336
Sep25,Zap,Ven,Local comercial,El Vigía,1,18000000.0,18000000.0,18000000.0,360.0,360.0,360.0,50000.0,50000.0,50000.0
Sep25,Zap,Ven,Local comercial,Hacienda del Sol,2,10990000.0,10990000.0,10990000.0,399.0,426.5,454.0,24207.04845814978,25875.45405363629,27543.859649122805
Sep25,Zap,Ven,Local comercial,Jardines de Guadalupe,1,12186000.0,12186000.0,12186000.0,253.0,253.0,253.0,48166.007905138336,48166.007905138336,48166.007905138336
Sep25,Zap,Ven,Local comercial,Jardines de La Patria,1,10000000.0,10000000.0,10000000.0,900.0,900.0,900.0,11111.111111111111,11111.111111111111,11111.111111111111
Sep25,Zap,Ven,Local comercial,La Calma,2,7100000.0,10300000.0,13500000.0,208.0,308.0,408.0,33088.23529411765,33611.42533936651,34134.61538461538
Sep25,Zap,Ven,Local comercial,La Cima,1,7150000.0,7150000.0,7150000.0,180.0,180.0,180.0,39722.22222222222,39722.22222222222,39722.22222222222
Sep25,Zap,Ven,Local comercial,Las Arboledas,2,2300000.0,2596450.0,2892900.0,33.0,37.0,41.0,69696.9696969697,70127.75314116778,70558.53658536586
Sep25,Zap,Ven,Local comercial,Las Águilas,1,7500000.0,7500000.0,7500000.0,350.0,350.0,350.0,21428.571428571428,21428.571428571428,21428.571428571428
Sep25,Zap,Ven,Local comercial,Lomas del Seminario,1,13200000.0,13200000.0,13200000.0,241.0,241.0,241.0,54771.78423236514,54771.78423236514,54771.78423236514
Sep25,Zap,Ven,Local comercial,Mariano Otero,3,2100000.0,3630000.0,4400000.0,78.0,127.66666666666667,155.0,26923.07692307692,28192.28012131238,29266.666666666668
Sep25,Zap,Ven,Local comercial,Nextipac,1,990000.0,990000.0,990000.0,250.0,250.0,250.0,3960.0,3960.0,3960.0
Sep25,Zap,Ven,Local comercial,Parques de Tesistán III,1,1490000.0,1490000.0,1490000.0,54.0,54.0,54.0,27592.59259259259,27592.59259259259,27592.59259259259
Sep25,Zap,Ven,Local comercial,Paseos del Sol,1,4350000.0,4350000.0,4350000.0,180.0,180.0,180.0,24166.666666666668,24166.666666666668,24166.666666666668
Sep25,Zap,Ven,Local comercial,Pinar de La Calma,1,19488000.0,19488000.0,19488000.0,528.0,528.0,528.0,36909.09090909091,36909.09090909091,36909.09090909091
Sep25,Zap,Ven,Local comercial,Praderas de San Antonio,1,3250000.0,3250000.0,3250000.0,135.0,135.0,135.0,24074.074074074077,24074.074074074077,24074.074074074077
Sep25,Zap,Ven,Local comercial,Puerta de Hierro,1,7190560.0,7190560.0,7190560.0,76.0,76.0,76.0,94612.63157894736,94612.63157894736,94612.63157894736
Sep25,Zap,Ven,Local comercial,Santa Ana Tepetitlán,1,3370000.0,3370000.0,3370000.0,131.0,131.0,131.0,25725.190839694656,25725.190839694656,25725.190839694656
Sep25,Zap,Ven,Local comercial,Victoria,1,2760000.0,2760000.0,2760000.0,68.0,68.0,68.0,40588.23529411765,40588.23529411765,40588.23529411765
Sep25,Zap,Ven,Local comercial,Villa de Guadalupe,1,13200000.0,13200000.0,13200000.0,550.0,550.0,550.0,24000.0,24000.0,24000.0
Sep25,Zap,Ven,Local comercial,Vista Hermosa,1,7750000.0,7750000.0,7750000.0,432.0,432.0,432.0,17939.814814814814,17939.814814814814,17939.814814814814
