Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ven,Ofc,Agraria,5,8771328.0,10794188.2,12618936.0,104.0,129.6,168.0,72490.31404958677,84921.49097659017,101373.3596491228
Sep25,Zap,Ven,Ofc,Arcos de Guadalupe,1,28350000.0,28350000.0,28350000.0,600.0,600.0,600.0,47250.0,47250.0,47250.0
Sep25,Zap,Ven,Ofc,Chapalita Sur,1,17200000.0,17200000.0,17200000.0,498.0,498.0,498.0,34538.152610441764,34538.152610441764,34538.152610441764
Sep25,Zap,Ven,Ofc,Ciudad Granja,3,2272920.0,2520973.3333333335,2995000.0,31.0,35.0,37.0,62027.02702702703,72097.65765765765,80945.94594594595
Sep25,Zap,Ven,Ofc,Jacarandas,3,8771328.0,10031420.0,11556563.0,90.0,124.33333333333333,169.0,57789.16568047337,85540.57510986539,101373.3596491228
Sep25,Zap,Ven,Ofc,Jardines de San Ignacio,1,2792584.0,2792584.0,2792584.0,33.0,33.0,33.0,84623.75757575757,84623.75757575757,84623.75757575757
Sep25,Zap,Ven,Ofc,La Calma,2,1950000.0,13475000.0,25000000.0,100.0,291.0,482.0,19500.0,35683.609958506226,51867.21991701245
Sep25,Zap,Ven,Ofc,Las Arboledas,6,2673000.0,3045050.0,3608100.0,38.0,44.666666666666664,55.0,65601.81818181818,68522.72843972458,70705.26315789473
Sep25,Zap,Ven,Ofc,Pinar de La Calma,1,7090000.0,7090000.0,7090000.0,353.0,353.0,353.0,20084.98583569405,20084.98583569405,20084.98583569405
Sep25,Zap,Ven,Ofc,Puerta de Hierro,12,4212866.0,22793720.083333332,59368000.0,44.0,308.4166666666667,737.0,61058.3446404342,82313.12653947643,97513.2258064516
Sep25,Zap,Ven,Ofc,San Juan de Ocotán,1,25500000.0,25500000.0,25500000.0,629.0,629.0,629.0,40540.54054054054,40540.54054054054,40540.54054054054
Sep25,Zap,Ven,Ofc,San Miguel de La Colina,1,1700000.0,1700000.0,1700000.0,170.0,170.0,170.0,10000.0,10000.0,10000.0
Sep25,Zap,Ven,Ofc,Valle Real,1,15692226.0,15692226.0,15692226.0,161.0,161.0,161.0,97467.24223602485,97467.24223602485,97467.24223602485
