Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_representativo,precio_min,precio_max,precio_skew,precio_metodo,area_m2_representativo,area_m2_min,area_m2_max,area_m2_skew,area_m2_metodo,PxM2_representativo,PxM2_min,PxM2_max,PxM2_skew,PxM2_metodo
Sep25,Zap,Ven,Terreno / Lote,Alcázar Poniente,6,16871449.5,12878000.0,39764500.0,2.0277090528574453,mediana_rango,492.5,390.0,1187.0,2.160117904221621,mediana_rango,33271.77319587629,32043.67245657568,35433.558,0.40630766757016573,mediana_rango
Sep25,Zap,Ven,Terreno / Lote,Arauca I,10,8554000.0,6700000.0,11840000.0,0.7589511677812724,mediana_IQR,364.0,329.0,740.0,1.649811703069611,mediana_IQR,22250.0,14500.0,23626.373626373625,-1.4755301466806612,mediana_IQR
Sep25,Zap,Ven,Terreno / Lote,Ayamonte,22,19014925.0,7250000.0,23000000.0,-1.6636005064028685,mediana_IQR,1009.0,725.0,1347.0,0.42225882979576385,mediana_IQR,17753.380864765408,10000.0,23000.0,-0.8724948180637573,mediana_IQR
Sep25,Zap,Ven,Terreno / Lote,Base Aérea Militar No 5,23,7600000.0,3208415.0,22000000.0,1.475318259714448,mediana_IQR,510.0,133.0,1961.0,1.7002607724510768,mediana_IQR,18849.20634920635,1650.0,36912.75167785235,0.08094719571402037,mediana_IQR
Sep25,Zap,Ven,Terreno / Lote,Bosque de Las Lomas,5,36636300.0,3959475.0,42138500.0,-0.5532546909726404,mediana_rango,1218.0,1187.0,1485.0,2.1448037174397925,mediana_rango,30005.159705159705,3250.021548821549,35500.0,-0.5311937545179001,mediana_rango
Sep25,Zap,Ven,Terreno / Lote,Bosques Vallarta,21,3500000.0,2750000.0,8340000.0,2.4571369233199833,mediana_IQR,165.0,160.0,301.0,1.9159269271747204,mediana_IQR,20366.02109704641,15813.953488372092,41700.0,3.7614486077732785,mediana_IQR
Sep25,Zap,Ven,Terreno / Lote,Bosques de San Isidro (Las Cañadas),41,7882000.0,3500000.0,21543600.0,1.2223490841891707,mediana_IQR,843.0,282.0,1892.0,0.676475818794822,mediana_IQR,10483.785500914108,3154.071900220102,21905.82959641256,0.3488479419589134,media_desv
Sep25,Zap,Ven,Terreno / Lote,Carrara,6,1531950.5,1365000.0,1650000.0,-0.6361912089925985,mediana_rango,121.5,111.0,135.0,0.4220074335574939,mediana_rango,12560.247713209577,12222.222222222224,12956.521739130434,0.14765786107160195,mediana_rango
Sep25,Zap,Ven,Terreno / Lote,Ciudad Bugambilias,29,5200000.0,3325000.0,9300000.0,0.9926661272072913,mediana_IQR,565.0,250.0,1247.0,1.069615221913737,mediana_IQR,9412.955465587043,6816.359262229351,21000.0,2.603638014177061,mediana_IQR
Sep25,Zap,Ven,Terreno / Lote,Ciudad Granja,11,18000000.0,3052000.0,25000000.0,-0.7638140276907707,mediana_IQR,1000.0,105.0,1243.0,-1.1099563922362037,mediana_IQR,18496.969696969696,16333.333333333334,41714.28571428572,3.1896186314576025,mediana_IQR
