Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ven,Terreno / Lote,Argenta Parque Residencial,1,5295000.0,5295000.0,5295000.0,198.0,198.0,198.0,26742.424242424244,26742.424242424244,26742.424242424244
Sep25,Zap,Ven,Terreno / Lote,Atemajac del Valle,2,2500000.0,6150000.0,9800000.0,210.0,315.0,420.0,11904.761904761905,17619.04761904762,23333.33333333333
Sep25,Zap,Ven,Terreno / Lote,Base Aérea Militar No 5,1,22000000.0,22000000.0,22000000.0,1427.0,1427.0,1427.0,15416.958654519973,15416.958654519973,15416.958654519973
Sep25,Zap,Ven,Terreno / Lote,Bosques Vallarta,1,8340000.0,8340000.0,8340000.0,200.0,200.0,200.0,41700.0,41700.0,41700.0
Sep25,Zap,Ven,Terreno / Lote,Bosques de San Isidro (Las Cañadas),1,33000000.0,33000000.0,33000000.0,900.0,900.0,900.0,36666.66666666666,36666.66666666666,36666.66666666666
Sep25,Zap,Ven,Terreno / Lote,Ciudad Granja,1,4380000.0,4380000.0,4380000.0,105.0,105.0,105.0,41714.28571428572,41714.28571428572,41714.28571428572
Sep25,Zap,Ven,Terreno / Lote,Colinas de La Abadía,1,23900000.0,23900000.0,23900000.0,400.0,400.0,400.0,59750.0,59750.0,59750.0
Sep25,Zap,Ven,Terreno / Lote,Coto Creta,1,3665000.0,3665000.0,3665000.0,145.0,145.0,145.0,25275.86206896552,25275.86206896552,25275.86206896552
Sep25,Zap,Ven,Terreno / Lote,Del Valle,1,4300000.0,4300000.0,4300000.0,90.0,90.0,90.0,47777.77777777778,47777.77777777778,47777.77777777778
Sep25,Zap,Ven,Terreno / Lote,Hacienda del Sol,1,4390000.0,4390000.0,4390000.0,82.0,82.0,82.0,53536.58536585366,53536.58536585366,53536.58536585366
Sep25,Zap,Ven,Terreno / Lote,Ixcatán,1,2900000.0,2900000.0,2900000.0,70.0,70.0,70.0,41428.57142857143,41428.57142857143,41428.57142857143
Sep25,Zap,Ven,Terreno / Lote,Jardines del Valle,1,4450000.0,4450000.0,4450000.0,200.0,200.0,200.0,22250.0,22250.0,22250.0
Sep25,Zap,Ven,Terreno / Lote,Jardín Real,1,12490000.0,12490000.0,12490000.0,260.0,260.0,260.0,48038.46153846154,48038.46153846154,48038.46153846154
Sep25,Zap,Ven,Terreno / Lote,Las Arboledas,1,5850000.0,5850000.0,5850000.0,236.0,236.0,236.0,24788.13559322034,24788.13559322034,24788.13559322034
Sep25,Zap,Ven,Terreno / Lote,Lindavista,1,9990000.0,9990000.0,9990000.0,213.0,213.0,213.0,46901.40845070423,46901.40845070423,46901.40845070423
Sep25,Zap,Ven,Terreno / Lote,Mirador de San Isidro,1,4550000.0,4550000.0,4550000.0,160.0,160.0,160.0,28437.5,28437.5,28437.5
Sep25,Zap,Ven,Terreno / Lote,Nuevo México,2,14000000.0,18790000.0,23580000.0,700.0,1389.0,2078.0,11347.449470644851,15673.724735322427,20000.0
Sep25,Zap,Ven,Terreno / Lote,Parques del Centinela,3,6545000.0,6579666.666666667,6599000.0,140.0,140.0,140.0,46750.0,46997.619047619046,47135.71428571428
Sep25,Zap,Ven,Terreno / Lote,Pinar de La Venta,1,12000000.0,12000000.0,12000000.0,1500.0,1500.0,1500.0,8000.0,8000.0,8000.0
Sep25,Zap,Ven,Terreno / Lote,Pontevedra,1,4100000.0,4100000.0,4100000.0,115.0,115.0,115.0,35652.17391304348,35652.17391304348,35652.17391304348
Sep25,Zap,Ven,Terreno / Lote,Praderas de San Antonio,1,4150000.0,4150000.0,4150000.0,168.0,168.0,168.0,24702.380952380958,24702.380952380958,24702.380952380958
Sep25,Zap,Ven,Terreno / Lote,Puerta Las Lomas,1,19800000.0,19800000.0,19800000.0,265.0,265.0,265.0,74716.98113207547,74716.98113207547,74716.98113207547
Sep25,Zap,Ven,Terreno / Lote,Puerta de Hierro,15,17990000.0,32070000.0,67000000.0,344.0,657.8666666666667,1200.0,37171.3508612874,50220.40830101053,70345.67901234567
Sep25,Zap,Ven,Terreno / Lote,Puerta del Tule,1,2862750.0,2862750.0,2862750.0,165.0,165.0,165.0,17350.0,17350.0,17350.0
Sep25,Zap,Ven,Terreno / Lote,Santa Isabel,1,27850000.0,27850000.0,27850000.0,862.0,862.0,862.0,32308.584686774942,32308.584686774942,32308.584686774942
Sep25,Zap,Ven,Terreno / Lote,Solares,1,11905000.0,11905000.0,11905000.0,167.0,167.0,167.0,71287.4251497006,71287.4251497006,71287.4251497006
Sep25,Zap,Ven,Terreno / Lote,Valle Imperial,2,4190000.0,4945000.0,5700000.0,115.0,153.5,192.0,29687.5,33061.141304347824,36434.782608695656
Sep25,Zap,Ven,Terreno / Lote,Valle Real,1,18000000.0,18000000.0,18000000.0,360.0,360.0,360.0,50000.0,50000.0,50000.0
